,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Dr. Anthony Fauci of the National Institute of Health,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,11.2,14.4,34.9,39.5,0,21133,,,,,,,,,,,,,,,,,,,
AK,13.3,12.5,29.5,44.7,13.2,123,,,,,,,,,,,,,,,,,,,
AL,19,19.6,35.7,25.7,5.2,518,,,,,,,,,,,,,,,,,,,
AR,16.6,14.3,35,34.1,6.1,387,,,,,,,,,,,,,,,,,,,
AZ,8.8,16.7,35.9,38.6,5.8,464,,,,,,,,,,,,,,,,,,,
CA,8.8,12.4,38.5,40.4,4.3,804,,,,,,,,,,,,,,,,,,,
CO,13.2,16.5,33.4,36.9,5.3,475,,,,,,,,,,,,,,,,,,,
CT,6.3,9.6,33.2,51,5.8,412,,,,,,,,,,,,,,,,,,,
DC,3.7,8.3,30.4,57.6,9,235,,,,,,,,,,,,,,,,,,,
DE,8.4,16.9,40.3,34.4,7.8,279,,,,,,,,,,,,,,,,,,,
FL,8.2,13.9,36.7,41.2,4.7,580,,,,,,,,,,,,,,,,,,,
GA,10,14,41.8,34.2,4.8,601,,,,,,,,,,,,,,,,,,,
HI,12.7,14,43.3,30,8.4,255,,,,,,,,,,,,,,,,,,,
IA,11.8,12.3,39.9,36,7.3,251,,,,,,,,,,,,,,,,,,,
ID,21.3,16.8,32.8,29.1,7.5,266,,,,,,,,,,,,,,,,,,,
IL,10.6,11.6,30.1,47.7,4.8,507,,,,,,,,,,,,,,,,,,,
IN,13.2,13.8,34.2,38.8,5.2,464,,,,,,,,,,,,,,,,,,,
KS,15.7,14.7,36.9,32.7,5.7,434,,,,,,,,,,,,,,,,,,,
KY,13.8,17.2,38.7,30.3,5.1,511,,,,,,,,,,,,,,,,,,,
LA,13.1,16.7,32,38.2,6.3,441,,,,,,,,,,,,,,,,,,,
MA,4,11.8,32.2,52,4.9,600,,,,,,,,,,,,,,,,,,,
MD,7.7,7.7,31.7,52.9,5,537,,,,,,,,,,,,,,,,,,,
ME,6.9,9.4,37.5,46.2,7,286,,,,,,,,,,,,,,,,,,,
MI,11,15,32.8,41.2,5,578,,,,,,,,,,,,,,,,,,,
MN,10.3,13.2,30.7,45.8,5.3,526,,,,,,,,,,,,,,,,,,,
MO,12.8,20.6,30.7,35.9,5.1,507,,,,,,,,,,,,,,,,,,,
MS,21.1,16.6,34.8,27.4,7.1,398,,,,,,,,,,,,,,,,,,,
MT,13.9,14.1,38,33.9,8.2,210,,,,,,,,,,,,,,,,,,,
NC,11.5,14.3,33.3,40.9,4.7,520,,,,,,,,,,,,,,,,,,,
ND,11.6,12.4,36.1,40,8.9,184,,,,,,,,,,,,,,,,,,,
NE,20.7,15,33.6,30.7,6.9,305,,,,,,,,,,,,,,,,,,,
NH,9,12.9,33.5,44.6,8.3,202,,,,,,,,,,,,,,,,,,,
NJ,6.5,15.2,37,41.3,4.9,514,,,,,,,,,,,,,,,,,,,
NM,10.5,13.4,36.7,39.4,7.7,312,,,,,,,,,,,,,,,,,,,
NV,13.9,16.1,34.6,35.4,6,437,,,,,,,,,,,,,,,,,,,
NY,6.6,14.3,38,41.1,4.8,616,,,,,,,,,,,,,,,,,,,
OH,11.2,14.2,33.3,41.2,4.7,517,,,,,,,,,,,,,,,,,,,
OK,13,16.6,41.1,29.3,5.8,484,,,,,,,,,,,,,,,,,,,
OR,15,15.2,31.5,38.3,5.5,471,,,,,,,,,,,,,,,,,,,
PA,12.7,16.8,29.4,41.1,5,511,,,,,,,,,,,,,,,,,,,
RI,7.1,10.2,30.9,51.9,8.4,254,,,,,,,,,,,,,,,,,,,
SC,14.8,16.2,34.2,34.8,5.7,451,,,,,,,,,,,,,,,,,,,
SD,19.6,11.8,34.6,34,9.6,183,,,,,,,,,,,,,,,,,,,
TN,15.8,17.1,36.7,30.4,4.9,496,,,,,,,,,,,,,,,,,,,
TX,13.4,11.2,37.9,37.5,4.5,637,,,,,,,,,,,,,,,,,,,
UT,15.6,18,33.1,33.3,7.1,271,,,,,,,,,,,,,,,,,,,
VA,8.1,17.4,36.4,38.1,4.7,541,,,,,,,,,,,,,,,,,,,
VT,3.6,14.9,34.1,47.5,10.8,131,,,,,,,,,,,,,,,,,,,
WA,6.9,14.5,36.6,42,5.1,487,,,,,,,,,,,,,,,,,,,
WI,12.1,18.6,32.4,36.9,5.2,450,,,,,,,,,,,,,,,,,,,
WV,16.2,18.4,32.7,32.7,6.8,368,,,,,,,,,,,,,,,,,,,
WY,26,16.8,37.9,19.3,11,142,,,,,,,,,,,,,,,,,,,
