,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Donald Trump ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,42.1,15.4,22.8,19.8,0.9,21111,,,,,,,,,,,,,,,,,,,
AK,45.4,10.8,30.8,13.1,13.3,123,,,,,,,,,,,,,,,,,,,
AL,30.2,15.9,24.1,29.9,5,519,,,,,,,,,,,,,,,,,,,
AR,33.3,13.7,23.8,29.3,6.1,387,,,,,,,,,,,,,,,,,,,
AZ,43.6,16.6,18.9,20.9,5.9,462,,,,,,,,,,,,,,,,,,,
CA,49.4,15.8,21.2,13.6,4.4,804,,,,,,,,,,,,,,,,,,,
CO,44.2,12.4,26,17.4,5.4,473,,,,,,,,,,,,,,,,,,,
CT,45.5,19.2,21.6,13.7,5.7,413,,,,,,,,,,,,,,,,,,,
DC,52.6,14.4,14.7,18.3,9.1,234,,,,,,,,,,,,,,,,,,,
DE,41.5,18.2,22.4,17.9,7.8,279,,,,,,,,,,,,,,,,,,,
FL,42.7,16.6,23.1,17.6,4.7,577,,,,,,,,,,,,,,,,,,,
GA,42.6,12.4,21,23.9,4.8,598,,,,,,,,,,,,,,,,,,,
HI,36.4,24.3,21.9,17.4,8.2,256,,,,,,,,,,,,,,,,,,,
IA,39.4,16.2,27.8,16.6,7.3,251,,,,,,,,,,,,,,,,,,,
ID,32.3,15.6,28.3,23.8,7.4,267,,,,,,,,,,,,,,,,,,,
IL,48,14.1,22.5,15.4,4.8,507,,,,,,,,,,,,,,,,,,,
IN,36.1,17.8,25.3,20.9,5.2,462,,,,,,,,,,,,,,,,,,,
KS,33.7,16.7,28.1,21.4,5.5,434,,,,,,,,,,,,,,,,,,,
KY,34.3,12.7,28.6,24.4,5,510,,,,,,,,,,,,,,,,,,,
LA,32.5,13,28.6,26,6.1,439,,,,,,,,,,,,,,,,,,,
MA,49.9,16.4,20.3,13.4,4.9,602,,,,,,,,,,,,,,,,,,,
MD,51.9,14,17.1,17,5,534,,,,,,,,,,,,,,,,,,,
ME,36.4,17.4,27.2,18.9,6.7,286,,,,,,,,,,,,,,,,,,,
MI,46.5,12.6,22.1,18.9,5.1,579,,,,,,,,,,,,,,,,,,,
MN,47.1,14,22.5,16.4,5.3,525,,,,,,,,,,,,,,,,,,,
MO,34.9,16.2,25.1,23.8,5.1,506,,,,,,,,,,,,,,,,,,,
MS,35.2,13.3,25,26.5,7.1,398,,,,,,,,,,,,,,,,,,,
MT,44.6,9.4,22.9,23.1,8.4,209,,,,,,,,,,,,,,,,,,,
NC,42.4,13.6,23.1,20.9,4.7,519,,,,,,,,,,,,,,,,,,,
ND,43.7,9,28.4,18.9,9,185,,,,,,,,,,,,,,,,,,,
NE,37.7,19.3,22.1,21,7,306,,,,,,,,,,,,,,,,,,,
NH,46.4,13.6,23,17,8.4,198,,,,,,,,,,,,,,,,,,,
NJ,49.1,15.5,18.7,16.6,5,513,,,,,,,,,,,,,,,,,,,
NM,48.3,11.8,25.4,14.5,7.9,313,,,,,,,,,,,,,,,,,,,
NV,41.1,19.3,20.4,19.2,6.2,435,,,,,,,,,,,,,,,,,,,
NY,46.7,16.1,19.7,17.6,4.9,615,,,,,,,,,,,,,,,,,,,
OH,42.1,11.1,25.8,21,4.7,515,,,,,,,,,,,,,,,,,,,
OK,33.2,17.8,24.1,24.9,5.5,485,,,,,,,,,,,,,,,,,,,
OR,51.4,15.7,16.7,16.2,5.6,470,,,,,,,,,,,,,,,,,,,
PA,42.5,15.1,22.4,20,5,509,,,,,,,,,,,,,,,,,,,
RI,52.8,16.1,18.3,12.8,8.3,255,,,,,,,,,,,,,,,,,,,
SC,33.4,15.2,24.9,26.4,5.6,452,,,,,,,,,,,,,,,,,,,
SD,40.9,11.6,27.2,20.3,9.9,183,,,,,,,,,,,,,,,,,,,
TN,34.5,11.6,29.2,24.7,4.8,498,,,,,,,,,,,,,,,,,,,
TX,43.8,16.9,20.9,18.3,4.6,637,,,,,,,,,,,,,,,,,,,
UT,33.9,17.7,24.5,23.9,7.2,271,,,,,,,,,,,,,,,,,,,
VA,45.9,13.8,20.9,19.5,4.9,539,,,,,,,,,,,,,,,,,,,
VT,46.5,18.1,12.7,22.7,10.8,131,,,,,,,,,,,,,,,,,,,
WA,48.6,14.4,22.6,14.4,5.2,489,,,,,,,,,,,,,,,,,,,
WI,47.5,14.7,24,13.7,5.4,449,,,,,,,,,,,,,,,,,,,
WV,28,12.2,30.4,29.4,6.6,369,,,,,,,,,,,,,,,,,,,
WY,33,13.2,22.8,31,10.7,141,,,,,,,,,,,,,,,,,,,
