,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Joe Biden ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,28.2,21.5,32.6,17.6,0.8,21100,,,,,,,,,,,,,,,,,,,
AK,30.8,23.3,35.6,10.4,12.7,123,,,,,,,,,,,,,,,,,,,
AL,37.5,24.3,26.1,12.2,5.3,518,,,,,,,,,,,,,,,,,,,
AR,41.8,19.9,24.4,13.9,6.3,386,,,,,,,,,,,,,,,,,,,
AZ,28.8,22.3,32,16.8,5.5,464,,,,,,,,,,,,,,,,,,,
CA,23.7,17.9,39.2,19.1,4.3,804,,,,,,,,,,,,,,,,,,,
CO,32.1,21,31.4,15.4,5.1,475,,,,,,,,,,,,,,,,,,,
CT,17.8,25.7,37.7,18.8,5.6,411,,,,,,,,,,,,,,,,,,,
DC,5.3,15.7,46.7,32.3,9.1,233,,,,,,,,,,,,,,,,,,,
DE,16.7,24.8,37.5,20.9,7.7,278,,,,,,,,,,,,,,,,,,,
FL,21,24.3,30.2,24.5,4.4,577,,,,,,,,,,,,,,,,,,,
GA,28.8,18.7,33.7,18.8,4.6,599,,,,,,,,,,,,,,,,,,,
HI,28.5,29,32.7,9.8,8,255,,,,,,,,,,,,,,,,,,,
IA,28.9,23.8,31.6,15.8,6.9,251,,,,,,,,,,,,,,,,,,,
ID,40.5,20.5,27.5,11.5,7.8,267,,,,,,,,,,,,,,,,,,,
IL,27.9,17,33.2,21.9,4.5,507,,,,,,,,,,,,,,,,,,,
IN,34.7,23.2,30.2,11.8,5.1,464,,,,,,,,,,,,,,,,,,,
KS,34.9,23.5,30,11.7,5.6,433,,,,,,,,,,,,,,,,,,,
KY,36.8,21.9,28.8,12.5,5.1,509,,,,,,,,,,,,,,,,,,,
LA,29.2,21.2,32.9,16.6,6.1,441,,,,,,,,,,,,,,,,,,,
MA,16.2,20.2,40,23.5,4.8,597,,,,,,,,,,,,,,,,,,,
MD,19.8,19.5,35.4,25.3,4.8,535,,,,,,,,,,,,,,,,,,,
ME,28.2,22.9,31.7,17.1,6.5,284,,,,,,,,,,,,,,,,,,,
MI,29.5,17.4,34.1,19,4.8,576,,,,,,,,,,,,,,,,,,,
MN,25.3,26.4,32.4,16,5,526,,,,,,,,,,,,,,,,,,,
MO,33.9,23.9,28.8,13.3,5.1,506,,,,,,,,,,,,,,,,,,,
MS,36.9,23.5,25,14.7,7.1,399,,,,,,,,,,,,,,,,,,,
MT,37.8,16.7,29.6,16,8.2,208,,,,,,,,,,,,,,,,,,,
NC,26.9,23.4,31.3,18.4,4.4,521,,,,,,,,,,,,,,,,,,,
ND,31.6,22.6,34.6,11.2,8.6,185,,,,,,,,,,,,,,,,,,,
NE,43.1,19.9,26.5,10.6,7.2,305,,,,,,,,,,,,,,,,,,,
NH,23,22.2,34.5,20.3,7.9,202,,,,,,,,,,,,,,,,,,,
NJ,18.8,23.9,36.6,20.6,4.8,514,,,,,,,,,,,,,,,,,,,
NM,26.3,17,37.6,19.1,7.6,313,,,,,,,,,,,,,,,,,,,
NV,35.9,21.9,26.2,15.9,6,435,,,,,,,,,,,,,,,,,,,
NY,20.7,24.8,34,20.5,4.6,615,,,,,,,,,,,,,,,,,,,
OH,29.3,21.6,30.9,18.2,4.5,510,,,,,,,,,,,,,,,,,,,
OK,41.3,19.9,28.9,9.9,5.8,484,,,,,,,,,,,,,,,,,,,
OR,30.6,23.8,30.3,15.3,5.2,471,,,,,,,,,,,,,,,,,,,
PA,29.9,23.3,29.2,17.6,4.6,511,,,,,,,,,,,,,,,,,,,
RI,24.5,19.1,38,18.4,8.1,255,,,,,,,,,,,,,,,,,,,
SC,38.2,19.5,26,16.3,5.8,451,,,,,,,,,,,,,,,,,,,
SD,34.5,21.6,29.4,14.4,9.6,183,,,,,,,,,,,,,,,,,,,
TN,40.2,20,25.8,14,4.9,498,,,,,,,,,,,,,,,,,,,
TX,26.5,18.8,37.6,17.1,4.5,638,,,,,,,,,,,,,,,,,,,
UT,40.2,28.8,24.7,6.2,7.4,270,,,,,,,,,,,,,,,,,,,
VA,26.5,23,32.1,18.3,4.6,538,,,,,,,,,,,,,,,,,,,
VT,24,25.9,40.1,10.1,10.6,131,,,,,,,,,,,,,,,,,,,
WA,22.6,22.7,37,17.6,5,488,,,,,,,,,,,,,,,,,,,
WI,32.7,19.2,33.6,14.5,5.1,449,,,,,,,,,,,,,,,,,,,
WV,42,22.4,21.3,14.3,7.1,369,,,,,,,,,,,,,,,,,,,
WY,58.3,22.2,12,7.5,11.3,138,,,,,,,,,,,,,,,,,,,
