,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The White House ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,30.6,23.4,30,16,0.8,21141,,,,,,,,,,,,,,,,,,,
AK,27,30.5,35.3,7.3,12.7,123,,,,,,,,,,,,,,,,,,,
AL,21.8,25.3,34,18.9,5.2,519,,,,,,,,,,,,,,,,,,,
AR,25,20.7,30.8,23.6,5.9,388,,,,,,,,,,,,,,,,,,,
AZ,31.4,22.9,29.3,16.5,5.5,464,,,,,,,,,,,,,,,,,,,
CA,34.4,24.5,27.8,13.4,4.2,805,,,,,,,,,,,,,,,,,,,
CO,36.3,22.6,28.8,12.3,5.2,476,,,,,,,,,,,,,,,,,,,
CT,34,25.7,25.9,14.3,5.5,413,,,,,,,,,,,,,,,,,,,
DC,38.4,23.3,21.8,16.5,8.8,235,,,,,,,,,,,,,,,,,,,
DE,31.5,24.9,28.7,14.9,7.4,279,,,,,,,,,,,,,,,,,,,
FL,31.4,20.8,31.6,16.2,4.5,577,,,,,,,,,,,,,,,,,,,
GA,29.7,19.9,33.6,16.8,4.6,602,,,,,,,,,,,,,,,,,,,
HI,24.3,29.5,29.4,16.8,7.8,256,,,,,,,,,,,,,,,,,,,
IA,30.8,20.7,33.3,15.2,7,251,,,,,,,,,,,,,,,,,,,
ID,24.9,22.6,38.6,13.8,7.7,267,,,,,,,,,,,,,,,,,,,
IL,36.8,21.3,28.3,13.6,4.6,508,,,,,,,,,,,,,,,,,,,
IN,27.1,26.1,29.9,16.9,4.9,464,,,,,,,,,,,,,,,,,,,
KS,27,23.1,34.6,15.3,5.6,433,,,,,,,,,,,,,,,,,,,
KY,23.5,25,32.8,18.7,4.9,510,,,,,,,,,,,,,,,,,,,
LA,22.3,21.6,34.1,22,6.1,442,,,,,,,,,,,,,,,,,,,
MA,35.9,25.2,26.3,12.7,4.7,601,,,,,,,,,,,,,,,,,,,
MD,37.2,23.3,24.9,14.6,4.8,538,,,,,,,,,,,,,,,,,,,
ME,24.5,26.2,38.4,11,6.8,286,,,,,,,,,,,,,,,,,,,
MI,34.4,22.6,26.7,16.3,4.8,580,,,,,,,,,,,,,,,,,,,
MN,36.7,20.2,30.9,12.2,5.1,525,,,,,,,,,,,,,,,,,,,
MO,26.8,19.5,33.7,20.1,5,508,,,,,,,,,,,,,,,,,,,
MS,28.3,20.5,33.9,17.3,7,399,,,,,,,,,,,,,,,,,,,
MT,36.5,18.2,30,15.3,8.1,209,,,,,,,,,,,,,,,,,,,
NC,29.8,21.4,33.5,15.2,4.5,520,,,,,,,,,,,,,,,,,,,
ND,28.8,18.8,39,13.5,8.9,184,,,,,,,,,,,,,,,,,,,
NE,26.2,26.1,33.8,13.9,6.9,306,,,,,,,,,,,,,,,,,,,
NH,36.3,21.2,29.5,13,8,201,,,,,,,,,,,,,,,,,,,
NJ,34.3,26.9,25.2,13.5,4.7,513,,,,,,,,,,,,,,,,,,,
NM,34.9,24.7,25.8,14.6,7.5,312,,,,,,,,,,,,,,,,,,,
NV,32.8,23.4,28.3,15.4,5.9,436,,,,,,,,,,,,,,,,,,,
NY,30,25.1,26.9,17.9,4.5,615,,,,,,,,,,,,,,,,,,,
OH,32.5,19.1,33.2,15.2,4.5,516,,,,,,,,,,,,,,,,,,,
OK,24.5,23,33.8,18.8,5.6,484,,,,,,,,,,,,,,,,,,,
OR,38,26.7,24.1,11.2,5.5,471,,,,,,,,,,,,,,,,,,,
PA,33.1,21.8,29.6,15.6,4.8,512,,,,,,,,,,,,,,,,,,,
RI,34.3,26.5,27.2,11.9,7.9,255,,,,,,,,,,,,,,,,,,,
SC,24.5,23.7,30,21.8,5.4,452,,,,,,,,,,,,,,,,,,,
SD,33.2,17.6,29.9,19.4,9.5,183,,,,,,,,,,,,,,,,,,,
TN,25.9,18.8,36.6,18.8,4.9,497,,,,,,,,,,,,,,,,,,,
TX,31.8,24.4,28.8,15,4.3,638,,,,,,,,,,,,,,,,,,,
UT,25.4,23.5,35.2,15.9,7.3,270,,,,,,,,,,,,,,,,,,,
VA,34.8,22.3,23.7,19.3,4.6,541,,,,,,,,,,,,,,,,,,,
VT,27.4,34,24.3,14.3,10.3,131,,,,,,,,,,,,,,,,,,,
WA,33.6,21.9,32.7,11.7,5,483,,,,,,,,,,,,,,,,,,,
WI,35.9,22.2,30.1,11.7,5.2,450,,,,,,,,,,,,,,,,,,,
WV,22.5,30.6,27.3,19.6,6.6,371,,,,,,,,,,,,,,,,,,,
WY,29.7,24.8,21.7,23.8,10.3,142,,,,,,,,,,,,,,,,,,,
