How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Banks 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",14.4,27.5,43.3,14.8,0.9,21136
"AK",19.3,21.9,44.2,14.7,13.2,123
"AL",13.1,28.1,43.7,15.1,5.4,515
"AR",13.9,22.5,46.1,17.5,6.4,388
"AZ",13.6,26.2,45.5,14.6,5.9,463
"CA",14.8,29.3,44.5,11.3,4.4,802
"CO",19.6,26.1,41,13.3,5.4,473
"CT",10.5,30.8,47.5,11.2,5.8,413
"DC",14.9,24.6,42.1,18.4,9,235
"DE",12.7,33.4,40,13.9,7.8,279
"FL",14.9,29.1,38.8,17.2,4.7,580
"GA",12.7,27.5,43.1,16.6,4.8,601
"HI",14.6,20.2,45.3,19.9,8.5,257
"IA",13.2,29.7,45.2,11.9,7.5,249
"ID",15,26.9,42.7,15.4,7.9,266
"IL",14.4,28,41.5,16.1,4.7,507
"IN",17.1,24.2,44.5,14.1,5.3,463
"KS",17.8,29,38.7,14.6,5.7,436
"KY",12.7,23.3,51.5,12.6,5.3,510
"LA",14.2,26.1,44.9,14.9,6.4,441
"MA",13.9,27.4,41,17.6,4.8,602
"MD",14.4,31.3,39,15.2,4.9,537
"ME",12.5,22.6,44.5,20.3,7,284
"MI",13.1,29.4,42.6,14.9,5,580
"MN",14.9,27.4,42.4,15.2,5.3,525
"MO",10.5,29.8,48,11.7,5.3,507
"MS",16.1,19.1,53.2,11.7,7.4,397
"MT",15.4,24.7,48.8,11.1,8.4,209
"NC",11.6,28.9,44.8,14.8,4.7,521
"ND",15.3,24,48,12.8,9.1,185
"NE",19.1,23.8,41.8,15.4,7.2,306
"NH",15.6,25,46.3,13.1,8.3,202
"NJ",9,31.5,43.4,16.1,4.9,515
"NM",16.2,27.8,45.8,10.1,7.9,313
"NV",21.1,28.6,39.3,10.9,6.1,436
"NY",11.7,26.7,44.7,17,4.9,616
"OH",14,25.5,45.8,14.7,4.8,518
"OK",21.5,26.9,39.4,12.2,5.7,486
"OR",16.6,32.5,38.8,12.1,5.5,472
"PA",15.9,23.4,45.7,15,5.1,511
"RI",12.2,25.3,46.2,16.3,8.3,255
"SC",15.7,24.3,41.3,18.7,5.8,450
"SD",16.7,29.4,39.9,14,9.9,182
"TN",16.3,24.5,45.3,13.9,5,499
"TX",18,24.3,44.6,13.1,4.6,636
"UT",19.7,26,44,10.3,7.5,271
"VA",14.5,32,40.7,12.7,4.8,542
"VT",12.1,28.1,39.9,19.9,10.6,131
"WA",17.6,26.7,41.9,13.8,5.2,486
"WI",14.9,34.5,40.2,10.4,5.3,450
"WV",12.2,33.2,40.9,13.6,7.1,369
"WY",12.3,26.2,47.3,14.2,11.3,142
