,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The news media ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,25.6,27.4,36.3,10.7,0.8,21121,,,,,,,,,,,,,,,,,,,
AK,22.6,30.9,36.8,9.7,12.8,123,,,,,,,,,,,,,,,,,,,
AL,30.4,30.4,29.7,9.6,5,518,,,,,,,,,,,,,,,,,,,
AR,32.9,28.2,29.8,9.1,6,387,,,,,,,,,,,,,,,,,,,
AZ,27.8,26.2,38.7,7.3,5.8,463,,,,,,,,,,,,,,,,,,,
CA,18.1,27.2,44.3,10.4,4.4,806,,,,,,,,,,,,,,,,,,,
CO,34.1,24.9,32.6,8.4,5.2,475,,,,,,,,,,,,,,,,,,,
CT,22.4,29.5,36.8,11.4,5.6,412,,,,,,,,,,,,,,,,,,,
DC,8.2,19.9,52.4,19.4,9.1,234,,,,,,,,,,,,,,,,,,,
DE,24.9,32.7,31.2,11.1,7.5,279,,,,,,,,,,,,,,,,,,,
FL,21,28.4,37.9,12.7,4.6,578,,,,,,,,,,,,,,,,,,,
GA,24,24.8,36.8,14.4,4.7,602,,,,,,,,,,,,,,,,,,,
HI,23.3,25.9,38.2,12.6,8.3,257,,,,,,,,,,,,,,,,,,,
IA,31.6,30.2,28.9,9.3,6.9,251,,,,,,,,,,,,,,,,,,,
ID,36.9,24.5,29.8,8.8,7.7,267,,,,,,,,,,,,,,,,,,,
IL,25.5,29.1,33.5,11.9,4.5,506,,,,,,,,,,,,,,,,,,,
IN,30.7,27.2,35,7.2,5.1,462,,,,,,,,,,,,,,,,,,,
KS,36.2,23.5,32.5,7.8,5.7,433,,,,,,,,,,,,,,,,,,,
KY,26.6,32.1,33.3,8,5,509,,,,,,,,,,,,,,,,,,,
LA,30,24.5,33.9,11.6,6.1,440,,,,,,,,,,,,,,,,,,,
MA,19.3,25.6,42,13.1,4.8,601,,,,,,,,,,,,,,,,,,,
MD,19.5,24.6,40.7,15.1,4.9,536,,,,,,,,,,,,,,,,,,,
ME,22.6,39.4,29.1,9,6.8,286,,,,,,,,,,,,,,,,,,,
MI,27,28.9,34.3,9.8,4.8,577,,,,,,,,,,,,,,,,,,,
MN,27,31,35.9,6.1,5.1,525,,,,,,,,,,,,,,,,,,,
MO,28.7,28.6,33.7,9,5.1,506,,,,,,,,,,,,,,,,,,,
MS,29.7,29.9,31.1,9.2,6.9,397,,,,,,,,,,,,,,,,,,,
MT,36.9,23.2,33.8,6.2,8.1,210,,,,,,,,,,,,,,,,,,,
NC,25.2,27.2,35.5,12,4.6,520,,,,,,,,,,,,,,,,,,,
ND,26.1,34.1,34.6,5.2,8.7,184,,,,,,,,,,,,,,,,,,,
NE,33.4,25.5,34.2,6.8,6.9,306,,,,,,,,,,,,,,,,,,,
NH,24.4,29.2,36.8,9.5,8,202,,,,,,,,,,,,,,,,,,,
NJ,18.3,27,39.7,15,4.8,515,,,,,,,,,,,,,,,,,,,
NM,25,25.6,41.5,7.8,7.8,312,,,,,,,,,,,,,,,,,,,
NV,31.6,29.1,27.9,11.4,5.8,434,,,,,,,,,,,,,,,,,,,
NY,16.8,26.4,42.9,13.9,4.8,615,,,,,,,,,,,,,,,,,,,
OH,25.4,28.2,35.8,10.6,4.6,515,,,,,,,,,,,,,,,,,,,
OK,32.6,30.6,30,6.8,5.5,486,,,,,,,,,,,,,,,,,,,
OR,32.4,25.6,34.2,7.8,5.3,470,,,,,,,,,,,,,,,,,,,
PA,28.1,29.8,34,8,4.8,510,,,,,,,,,,,,,,,,,,,
RI,24,24.2,37.7,14.1,8.1,255,,,,,,,,,,,,,,,,,,,
SC,27.9,28.2,34,9.9,5.6,451,,,,,,,,,,,,,,,,,,,
SD,37.1,29.6,25.2,8.1,9.8,182,,,,,,,,,,,,,,,,,,,
TN,33,25.8,32.6,8.6,4.7,499,,,,,,,,,,,,,,,,,,,
TX,22.2,29.2,38.4,10.2,4.5,636,,,,,,,,,,,,,,,,,,,
UT,36.3,32.5,26.4,4.9,7.3,271,,,,,,,,,,,,,,,,,,,
VA,30.5,26.2,32.4,10.9,4.6,541,,,,,,,,,,,,,,,,,,,
VT,19.2,27.1,49.9,3.9,10.8,131,,,,,,,,,,,,,,,,,,,
WA,25.1,25.5,39.2,10.2,5.1,485,,,,,,,,,,,,,,,,,,,
WI,28,33,33,6,5,449,,,,,,,,,,,,,,,,,,,
WV,32.3,30.1,27.7,10,6.7,370,,,,,,,,,,,,,,,,,,,
WY,44.7,33.8,14.1,7.3,11.3,142,,,,,,,,,,,,,,,,,,,
