,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Pharmaceutical companies ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,9.8,22.4,45.2,22.6,0.9,21134,,,,,,,,,,,,,,,,,,,
AK,14.7,28.6,34.5,22.2,12.7,123,,,,,,,,,,,,,,,,,,,
AL,9.6,24.3,42.2,24,5.4,517,,,,,,,,,,,,,,,,,,,
AR,11.9,20.3,46.8,21,6.4,388,,,,,,,,,,,,,,,,,,,
AZ,10.3,24.3,46.8,18.6,5.9,464,,,,,,,,,,,,,,,,,,,
CA,9.6,19.6,48.7,22.1,4.4,805,,,,,,,,,,,,,,,,,,,
CO,15.3,24.1,40.6,20,5.4,475,,,,,,,,,,,,,,,,,,,
CT,7.4,19.6,50.8,22.1,5.8,413,,,,,,,,,,,,,,,,,,,
DC,8.2,16.6,43,32.1,9,235,,,,,,,,,,,,,,,,,,,
DE,8.9,18.4,51,21.8,8,278,,,,,,,,,,,,,,,,,,,
FL,6.9,21.1,45.7,26.2,4.8,579,,,,,,,,,,,,,,,,,,,
GA,9,17.8,49.6,23.6,4.9,601,,,,,,,,,,,,,,,,,,,
HI,8.7,16.3,53.8,21.1,8.5,257,,,,,,,,,,,,,,,,,,,
IA,7.5,29.7,46.1,16.7,7.4,251,,,,,,,,,,,,,,,,,,,
ID,11.2,19.6,52.5,16.6,7.9,267,,,,,,,,,,,,,,,,,,,
IL,9,22,44.5,24.6,4.7,507,,,,,,,,,,,,,,,,,,,
IN,12.2,24.1,41.4,22.3,5.3,464,,,,,,,,,,,,,,,,,,,
KS,13.8,24.2,41.9,20,5.8,435,,,,,,,,,,,,,,,,,,,
KY,8.9,23,44.5,23.7,5.2,511,,,,,,,,,,,,,,,,,,,
LA,8,22.5,46.9,22.6,6.5,440,,,,,,,,,,,,,,,,,,,
MA,8.7,20.5,46.7,24.1,4.9,600,,,,,,,,,,,,,,,,,,,
MD,7.7,22,44.4,26,4.9,537,,,,,,,,,,,,,,,,,,,
ME,10.4,27.3,46,16.3,7,285,,,,,,,,,,,,,,,,,,,
MI,10.4,26.9,42.8,19.9,5,580,,,,,,,,,,,,,,,,,,,
MN,10.2,25.5,44.1,20.1,5.3,527,,,,,,,,,,,,,,,,,,,
MO,11.2,20.7,46.2,21.9,5.3,509,,,,,,,,,,,,,,,,,,,
MS,14.2,18.8,48.5,18.5,7.4,397,,,,,,,,,,,,,,,,,,,
MT,9.5,24,44.8,21.8,8.4,209,,,,,,,,,,,,,,,,,,,
NC,7.7,20.5,47.2,24.6,4.8,521,,,,,,,,,,,,,,,,,,,
ND,7.4,29.3,48.4,14.9,9.1,185,,,,,,,,,,,,,,,,,,,
NE,14.8,22.3,41.2,21.6,7.2,304,,,,,,,,,,,,,,,,,,,
NH,11,26.2,45.3,17.4,8.3,202,,,,,,,,,,,,,,,,,,,
NJ,5,20.6,49.3,25,5,514,,,,,,,,,,,,,,,,,,,
NM,10.7,25.9,40.8,22.6,7.7,313,,,,,,,,,,,,,,,,,,,
NV,14.4,24,40.2,21.4,6.1,437,,,,,,,,,,,,,,,,,,,
NY,7.9,18.9,46.4,26.8,4.9,616,,,,,,,,,,,,,,,,,,,
OH,7.4,22.8,45.3,24.5,4.8,515,,,,,,,,,,,,,,,,,,,
OK,11.1,26.8,39,23.1,5.7,486,,,,,,,,,,,,,,,,,,,
OR,14,27.6,42.7,15.8,5.6,471,,,,,,,,,,,,,,,,,,,
PA,13.5,19.1,50.3,17.1,5.1,512,,,,,,,,,,,,,,,,,,,
RI,10.2,21.1,42.5,26.2,8.3,254,,,,,,,,,,,,,,,,,,,
SC,7.4,21.9,47.5,23.2,5.9,452,,,,,,,,,,,,,,,,,,,
SD,11.5,25.7,43.9,18.9,10,183,,,,,,,,,,,,,,,,,,,
TN,12.8,24.4,44.4,18.4,5,496,,,,,,,,,,,,,,,,,,,
TX,12.6,17.1,46.3,24,4.6,635,,,,,,,,,,,,,,,,,,,
UT,12,23.2,45.3,19.5,7.6,267,,,,,,,,,,,,,,,,,,,
VA,8.3,26,44.7,21,4.9,540,,,,,,,,,,,,,,,,,,,
VT,5.5,33.1,32.8,28.4,10.3,129,,,,,,,,,,,,,,,,,,,
WA,9.2,26.9,47.1,16.8,5.2,486,,,,,,,,,,,,,,,,,,,
WI,9.7,32.4,44.5,13.5,5.3,449,,,,,,,,,,,,,,,,,,,
WV,13,24.9,41.1,21,7.1,371,,,,,,,,,,,,,,,,,,,
WY,19.6,23.7,40.6,16,11.1,142,,,,,,,,,,,,,,,,,,,
