,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Social media companies ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,30.8,35.7,26.9,6.6,0.8,21046,,,,,,,,,,,,,,,,,,,
AK,22.7,39.9,32.3,5.1,13.1,122,,,,,,,,,,,,,,,,,,,
AL,32.7,37.3,22,8,5.3,516,,,,,,,,,,,,,,,,,,,
AR,36.9,29.9,26.4,6.9,6.2,386,,,,,,,,,,,,,,,,,,,
AZ,34.4,34.7,25.5,5.4,5.7,460,,,,,,,,,,,,,,,,,,,
CA,26.3,34.6,33.2,6,4.2,799,,,,,,,,,,,,,,,,,,,
CO,38.9,33.2,24.1,3.8,5.3,475,,,,,,,,,,,,,,,,,,,
CT,29.4,35.5,31.2,3.9,5.5,410,,,,,,,,,,,,,,,,,,,
DC,15,38.5,27.5,19,8.9,233,,,,,,,,,,,,,,,,,,,
DE,29.8,43.5,18.4,8.3,7.9,278,,,,,,,,,,,,,,,,,,,
FL,26.4,37.9,28.1,7.7,4.7,575,,,,,,,,,,,,,,,,,,,
GA,27.5,32.9,29.9,9.7,4.6,601,,,,,,,,,,,,,,,,,,,
HI,30,30,32.9,7.1,8,257,,,,,,,,,,,,,,,,,,,
IA,35.2,41.3,18.9,4.7,7.4,249,,,,,,,,,,,,,,,,,,,
ID,38.5,32.1,23.9,5.5,7.7,267,,,,,,,,,,,,,,,,,,,
IL,33.9,35.3,23.1,7.8,4.6,502,,,,,,,,,,,,,,,,,,,
IN,32.5,37.5,25.8,4.3,5.2,461,,,,,,,,,,,,,,,,,,,
KS,38,31.6,26.6,3.8,5.7,430,,,,,,,,,,,,,,,,,,,
KY,30.7,37.2,26.5,5.6,5.1,510,,,,,,,,,,,,,,,,,,,
LA,29.4,42.2,21,7.4,6.4,440,,,,,,,,,,,,,,,,,,,
MA,25.2,36.3,30.9,7.6,4.7,599,,,,,,,,,,,,,,,,,,,
MD,26.2,37.9,27.6,8.3,4.9,531,,,,,,,,,,,,,,,,,,,
ME,35.2,37.3,21.4,6.1,6.8,283,,,,,,,,,,,,,,,,,,,
MI,34.7,37.2,22.6,5.5,4.9,577,,,,,,,,,,,,,,,,,,,
MN,35.2,39.5,21.4,3.8,5.2,524,,,,,,,,,,,,,,,,,,,
MO,32.9,33.8,28.8,4.5,5.1,507,,,,,,,,,,,,,,,,,,,
MS,33.6,30.2,28.6,7.6,7,393,,,,,,,,,,,,,,,,,,,
MT,45.1,38.1,12.7,4.2,8.4,208,,,,,,,,,,,,,,,,,,,
NC,26.6,38.9,27.1,7.4,4.7,517,,,,,,,,,,,,,,,,,,,
ND,30.1,42.6,24.9,2.4,9,185,,,,,,,,,,,,,,,,,,,
NE,35.2,37.2,23.3,4.3,7,306,,,,,,,,,,,,,,,,,,,
NH,30.5,41.4,24.3,3.8,8.3,200,,,,,,,,,,,,,,,,,,,
NJ,26.3,36,30.7,7.1,4.8,513,,,,,,,,,,,,,,,,,,,
NM,33.9,34,26.4,5.8,7.5,312,,,,,,,,,,,,,,,,,,,
NV,36.9,37.2,20.5,5.5,6.1,432,,,,,,,,,,,,,,,,,,,
NY,23.7,35.4,32.5,8.5,4.7,616,,,,,,,,,,,,,,,,,,,
OH,31.2,34.7,29.4,4.7,4.6,517,,,,,,,,,,,,,,,,,,,
OK,36.2,32.1,26.2,5.5,5.7,481,,,,,,,,,,,,,,,,,,,
OR,34.1,39.2,23.5,3.2,5.5,471,,,,,,,,,,,,,,,,,,,
PA,35.7,34.6,24.9,4.7,4.9,509,,,,,,,,,,,,,,,,,,,
RI,30.3,33.4,26.2,10.2,7.9,254,,,,,,,,,,,,,,,,,,,
SC,30.3,34.4,28.3,7,5.6,451,,,,,,,,,,,,,,,,,,,
SD,39.5,37,21.6,1.9,9.9,182,,,,,,,,,,,,,,,,,,,
TN,35.8,37.6,22.6,4.1,4.9,496,,,,,,,,,,,,,,,,,,,
TX,29,36.6,28.2,6.2,4.5,631,,,,,,,,,,,,,,,,,,,
UT,43.5,37.8,16,2.7,7.5,270,,,,,,,,,,,,,,,,,,,
VA,35,33,21.9,10,4.7,539,,,,,,,,,,,,,,,,,,,
VT,27.5,45.4,21.8,5.4,10.8,131,,,,,,,,,,,,,,,,,,,
WA,28,39.9,26.4,5.7,5.1,484,,,,,,,,,,,,,,,,,,,
WI,37.4,38.3,21.2,3.1,5.2,448,,,,,,,,,,,,,,,,,,,
WV,31.9,36.6,24.7,6.8,6.9,368,,,,,,,,,,,,,,,,,,,
WY,49,32.1,13.7,5.3,11.4,140,,,,,,,,,,,,,,,,,,,
