,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Your state government ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,12.1,20.4,44,23.6,0.9,21131,,,,,,,,,,,,,,,,,,,
AK,0.7,20.1,57.3,21.9,13.2,123,,,,,,,,,,,,,,,,,,,
AL,11.8,24.5,47.9,15.8,5.5,516,,,,,,,,,,,,,,,,,,,
AR,11.4,24.8,40.2,23.5,6.3,386,,,,,,,,,,,,,,,,,,,
AZ,12.8,30.2,44.5,12.6,5.9,464,,,,,,,,,,,,,,,,,,,
CA,12.2,16.9,46.4,24.6,4.4,803,,,,,,,,,,,,,,,,,,,
CO,14.2,19.1,43.1,23.6,5.4,476,,,,,,,,,,,,,,,,,,,
CT,5.1,12,45.4,37.6,5.7,413,,,,,,,,,,,,,,,,,,,
DC,6,11.8,45.1,37.1,9,236,,,,,,,,,,,,,,,,,,,
DE,6.6,19.9,44.3,29.2,7.9,277,,,,,,,,,,,,,,,,,,,
FL,20.2,27.8,38,14.1,4.6,576,,,,,,,,,,,,,,,,,,,
GA,19.8,26.6,42,11.6,4.8,600,,,,,,,,,,,,,,,,,,,
HI,23,19.6,42.7,14.8,8.4,257,,,,,,,,,,,,,,,,,,,
IA,22.2,27,41.2,9.6,7.4,251,,,,,,,,,,,,,,,,,,,
ID,11.3,29.4,49.2,10.1,7.9,267,,,,,,,,,,,,,,,,,,,
IL,18.4,13.2,39,29.3,4.7,507,,,,,,,,,,,,,,,,,,,
IN,10,21.4,50.9,17.8,5.4,464,,,,,,,,,,,,,,,,,,,
KS,9.8,22.3,47,20.9,5.9,433,,,,,,,,,,,,,,,,,,,
KY,9.1,18.9,45,27,5.3,511,,,,,,,,,,,,,,,,,,,
LA,10.1,21.6,47,21.3,6.4,441,,,,,,,,,,,,,,,,,,,
MA,6.1,10.6,40.9,42.5,4.8,601,,,,,,,,,,,,,,,,,,,
MD,5.6,13.9,42.5,38,4.9,535,,,,,,,,,,,,,,,,,,,
ME,9.2,16.5,47.5,26.7,7,286,,,,,,,,,,,,,,,,,,,
MI,16.1,12.6,31.9,39.4,5,578,,,,,,,,,,,,,,,,,,,
MN,10,19,45.8,25.2,5.3,525,,,,,,,,,,,,,,,,,,,
MO,9.6,26.2,52.4,11.9,5.3,508,,,,,,,,,,,,,,,,,,,
MS,20.6,20.6,50.7,8.2,7.4,400,,,,,,,,,,,,,,,,,,,
MT,8.7,17,54.1,20.2,8.4,210,,,,,,,,,,,,,,,,,,,
NC,11.6,20.9,43.5,23.9,4.7,520,,,,,,,,,,,,,,,,,,,
ND,5.6,17.5,53.7,23.2,9.1,185,,,,,,,,,,,,,,,,,,,
NE,12.7,25.1,45.9,16.4,7.2,306,,,,,,,,,,,,,,,,,,,
NH,5.2,17.7,54.3,22.8,8.3,201,,,,,,,,,,,,,,,,,,,
NJ,8.9,19.7,41.1,30.3,4.9,515,,,,,,,,,,,,,,,,,,,
NM,12.9,17.4,33.6,36.1,7.6,312,,,,,,,,,,,,,,,,,,,
NV,15.5,23,41.5,20.1,6.2,437,,,,,,,,,,,,,,,,,,,
NY,10.3,17.7,39.3,32.7,4.8,616,,,,,,,,,,,,,,,,,,,
OH,9.2,15.4,45.8,29.5,4.8,516,,,,,,,,,,,,,,,,,,,
OK,16.1,29.5,41.3,13.1,5.8,483,,,,,,,,,,,,,,,,,,,
OR,18.4,22.9,41.9,16.8,5.6,470,,,,,,,,,,,,,,,,,,,
PA,19.2,18.3,39.2,23.3,5,510,,,,,,,,,,,,,,,,,,,
RI,7.4,13.3,44,35.3,8.3,253,,,,,,,,,,,,,,,,,,,
SC,16,26,42.7,15.2,5.9,451,,,,,,,,,,,,,,,,,,,
SD,14.4,24,32.5,29.1,9.5,183,,,,,,,,,,,,,,,,,,,
TN,14.6,22.4,50.5,12.5,5,498,,,,,,,,,,,,,,,,,,,
TX,14.4,23.6,44.9,17.2,4.6,639,,,,,,,,,,,,,,,,,,,
UT,15,19.7,49.1,16.2,7.6,271,,,,,,,,,,,,,,,,,,,
VA,14.6,21,41.4,22.9,4.8,542,,,,,,,,,,,,,,,,,,,
VT,3.1,8.1,48,40.8,10.9,130,,,,,,,,,,,,,,,,,,,
WA,11.2,18,45.3,25.5,5.2,487,,,,,,,,,,,,,,,,,,,
WI,15.2,23.2,49,12.6,5.4,449,,,,,,,,,,,,,,,,,,,
WV,8.1,22.9,50.2,18.7,7.2,371,,,,,,,,,,,,,,,,,,,
WY,9.3,24.4,43.1,23.2,11.2,142,,,,,,,,,,,,,,,,,,,
