,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The CDC (Centers for Disease Control and Prevention) ,,,,,,,,,,,,,,,,,,,,,,,,,
,Not at all,Not too much,Some,A lot,Error Margin,N,,,,,,,,,,,,,,,,,,,
National,7.3,13.3,41,38.4,0.9,21130,,,,,,,,,,,,,,,,,,,
AK,8.1,6,28.9,57,13.2,123,,,,,,,,,,,,,,,,,,,
AL,11,17.9,39.4,31.7,5.3,518,,,,,,,,,,,,,,,,,,,
AR,10.3,13.3,44.3,32.1,6.4,387,,,,,,,,,,,,,,,,,,,
AZ,7,13.1,48.1,31.8,5.9,464,,,,,,,,,,,,,,,,,,,
CA,7.1,12.7,41.1,39.1,4.3,806,,,,,,,,,,,,,,,,,,,
CO,10.3,15.8,39.3,34.6,5.3,474,,,,,,,,,,,,,,,,,,,
CT,4.5,9.5,44.8,41.2,5.7,412,,,,,,,,,,,,,,,,,,,
DC,3.8,7,39.1,50.2,9.1,234,,,,,,,,,,,,,,,,,,,
DE,4.3,14.8,41.7,39.2,7.9,278,,,,,,,,,,,,,,,,,,,
FL,8,11.8,41,39.2,4.7,578,,,,,,,,,,,,,,,,,,,
GA,7.4,12.9,41.9,37.8,4.8,600,,,,,,,,,,,,,,,,,,,
HI,8.4,14.5,46.7,30.4,8.5,255,,,,,,,,,,,,,,,,,,,
IA,7.6,11.4,39.2,41.8,7.4,251,,,,,,,,,,,,,,,,,,,
ID,12.9,15.8,39.8,31.5,7.8,267,,,,,,,,,,,,,,,,,,,
IL,8.4,11.3,37.8,42.4,4.7,508,,,,,,,,,,,,,,,,,,,
IN,7.4,19.9,38,34.7,5.2,463,,,,,,,,,,,,,,,,,,,
KS,9.9,15.9,42.1,32.1,5.8,433,,,,,,,,,,,,,,,,,,,
KY,8.5,13.6,45.2,32.7,5.3,511,,,,,,,,,,,,,,,,,,,
LA,7.9,13.6,38.9,39.6,6.3,440,,,,,,,,,,,,,,,,,,,
MA,5.2,8.2,40.1,46.5,4.9,599,,,,,,,,,,,,,,,,,,,
MD,4.3,9.4,39,47.3,5,538,,,,,,,,,,,,,,,,,,,
ME,4.6,7.2,46.2,42,7,286,,,,,,,,,,,,,,,,,,,
MI,6.6,14.7,41.4,37.3,5,580,,,,,,,,,,,,,,,,,,,
MN,6.1,12.1,36.8,45,5.3,526,,,,,,,,,,,,,,,,,,,
MO,8.2,15.4,39.2,37.2,5.2,508,,,,,,,,,,,,,,,,,,,
MS,12.6,18.1,36.8,32.5,7.2,397,,,,,,,,,,,,,,,,,,,
MT,9.6,15.3,44.9,30.2,8.4,210,,,,,,,,,,,,,,,,,,,
NC,6.3,13.6,40.8,39.3,4.7,518,,,,,,,,,,,,,,,,,,,
ND,3.1,10.2,40.6,46,9.1,185,,,,,,,,,,,,,,,,,,,
NE,14.3,10.2,42.3,33.2,7.2,305,,,,,,,,,,,,,,,,,,,
NH,7.4,8.6,37.5,46.6,8.3,202,,,,,,,,,,,,,,,,,,,
NJ,5.9,11.9,48.4,33.8,5,514,,,,,,,,,,,,,,,,,,,
NM,7.1,13.9,38.7,40.3,7.7,313,,,,,,,,,,,,,,,,,,,
NV,7.1,16,43.1,33.8,6.2,437,,,,,,,,,,,,,,,,,,,
NY,4.6,12.9,47.1,35.4,4.9,615,,,,,,,,,,,,,,,,,,,
OH,8.6,9.3,39.8,42.2,4.7,518,,,,,,,,,,,,,,,,,,,
OK,9.4,15.1,41.6,33.9,5.8,484,,,,,,,,,,,,,,,,,,,
OR,7,14.6,41.8,36.6,5.5,470,,,,,,,,,,,,,,,,,,,
PA,10,12.8,44,33.1,5,509,,,,,,,,,,,,,,,,,,,
RI,5.3,6.2,42.7,45.8,8.4,253,,,,,,,,,,,,,,,,,,,
SC,5.9,15.5,42.2,36.3,5.8,452,,,,,,,,,,,,,,,,,,,
SD,9.7,18.6,38.1,33.6,9.8,182,,,,,,,,,,,,,,,,,,,
TN,10.5,16.8,44.6,28,5,498,,,,,,,,,,,,,,,,,,,
TX,10.4,11.7,39.1,38.8,4.5,638,,,,,,,,,,,,,,,,,,,
UT,7.3,17.5,35.3,39.8,7.4,271,,,,,,,,,,,,,,,,,,,
VA,6.6,14.4,42.6,36.4,4.8,540,,,,,,,,,,,,,,,,,,,
VT,4,11,34.2,50.8,10.8,131,,,,,,,,,,,,,,,,,,,
WA,5,13,43.5,38.5,5.2,488,,,,,,,,,,,,,,,,,,,
WI,7,16.3,42.2,34.6,5.3,449,,,,,,,,,,,,,,,,,,,
WV,8.8,16,36.5,38.6,7,370,,,,,,,,,,,,,,,,,,,
WY,14,18.4,44,23.6,11.2,142,,,,,,,,,,,,,,,,,,,
