,"The COVID-19 Consortium for Understanding the Public’s Policy Preferences Across States 
(A joint project of: Northeastern University, Harvard University, Rutgers University, and Northwestern University) 
www.covidstates.org 

Wave 9 7-26 August 2020, 21,196 respondents.",,,,,,,,,,,,,,,,,,,,,,,,
" If a vaccine against COVID-19 was available to you, how likely would you be to get vaccinated?",,,,,,,,,,,,,,,,,,,,,,,,,
,Extremely unlikely,Somewhat unlikely,Neither likely nor unlikely,Somewhat likely,Extremely likely,Error Margin,N,,,,,,,,,,,,,,,,,,
National,15.9,7.4,17.6,21.4,37.8,0,21176,,,,,,,,,,,,,,,,,,
AK,18.7,7.6,20.6,21.7,31.4,12.4,123,,,,,,,,,,,,,,,,,,
AL,21.2,7.7,18.5,19.9,32.8,5.1,519,,,,,,,,,,,,,,,,,,
AR,22.9,8.1,19.4,20.4,29.3,5.8,387,,,,,,,,,,,,,,,,,,
AZ,12.1,8.6,19.1,21.8,38.4,5.7,464,,,,,,,,,,,,,,,,,,
CA,12.6,5.9,19.7,19.5,42.3,4.4,805,,,,,,,,,,,,,,,,,,
CO,19.2,9.4,13.9,19.6,37.8,5.3,476,,,,,,,,,,,,,,,,,,
CT,13.1,6.8,17.2,21,42,5.7,413,,,,,,,,,,,,,,,,,,
DC,12.9,4.4,21.6,12.9,48,9.1,235,,,,,,,,,,,,,,,,,,
DE,17,11.1,13.2,28.1,30.6,7.3,279,,,,,,,,,,,,,,,,,,
FL,14.3,7.5,19.4,19.8,38.9,4.7,580,,,,,,,,,,,,,,,,,,
GA,18.4,8.1,17.8,19.1,36.5,4.7,602,,,,,,,,,,,,,,,,,,
HI,16.8,2.6,18,21.1,41.5,8.4,257,,,,,,,,,,,,,,,,,,
IA,13.6,7.7,14.2,19.4,45,7.4,251,,,,,,,,,,,,,,,,,,
ID,20.6,3.4,15.9,18.8,41.4,7.8,267,,,,,,,,,,,,,,,,,,
IL,14.7,6.5,17.7,19.3,41.8,4.7,507,,,,,,,,,,,,,,,,,,
IN,17.4,9.1,18.5,21.2,33.8,5.1,462,,,,,,,,,,,,,,,,,,
KS,17.9,12.1,17.1,18.2,34.7,5.6,434,,,,,,,,,,,,,,,,,,
KY,18.4,7.2,21.7,18.1,34.7,5,512,,,,,,,,,,,,,,,,,,
LA,17.4,13,19.4,19.1,31.1,6,442,,,,,,,,,,,,,,,,,,
MA,8.8,8.2,15.1,24.3,43.7,4.8,603,,,,,,,,,,,,,,,,,,
MD,14.2,8.2,15.1,22.3,40.2,4.9,537,,,,,,,,,,,,,,,,,,
ME,15.4,7.9,19,19.7,38.1,6.8,286,,,,,,,,,,,,,,,,,,
MI,18.3,8,17.4,20.4,35.9,4.9,581,,,,,,,,,,,,,,,,,,
MN,14.3,5.4,15.2,21.5,43.5,5.3,528,,,,,,,,,,,,,,,,,,
MO,19.5,8.2,17.2,20.9,34.3,5.1,509,,,,,,,,,,,,,,,,,,
MS,26.8,9.1,21.1,15.6,27.4,6.6,401,,,,,,,,,,,,,,,,,,
MT,13.1,8.4,14.1,21.4,43,8.3,210,,,,,,,,,,,,,,,,,,
NC,16.6,8.9,15.7,21.7,37,4.6,520,,,,,,,,,,,,,,,,,,
ND,17.2,8.6,15.6,22.4,36.2,8.7,185,,,,,,,,,,,,,,,,,,
NE,18,7.6,15.7,20.5,38.2,7.1,306,,,,,,,,,,,,,,,,,,
NH,18,4.6,17.4,19,41,8.2,202,,,,,,,,,,,,,,,,,,
NJ,12.3,10.8,15.6,27.1,34.2,4.7,515,,,,,,,,,,,,,,,,,,
NM,17.8,5.9,17.3,22.7,36.4,7.6,313,,,,,,,,,,,,,,,,,,
NV,19.3,7.2,19,19.1,35.4,6,437,,,,,,,,,,,,,,,,,,
NY,13.4,6.5,17.6,24.1,38.5,4.8,617,,,,,,,,,,,,,,,,,,
OH,18.1,7,18.6,17.7,38.6,4.7,518,,,,,,,,,,,,,,,,,,
OK,21.6,8.4,18.7,18.6,32.7,5.5,486,,,,,,,,,,,,,,,,,,
OR,19.7,6.3,17.2,18.8,38,5.5,472,,,,,,,,,,,,,,,,,,
PA,17.6,5.7,19.9,23.8,33,4.8,511,,,,,,,,,,,,,,,,,,
RI,15.8,5.3,18.3,18.8,41.7,8.3,254,,,,,,,,,,,,,,,,,,
SC,21.9,6.8,18.4,22.1,30.8,5.5,452,,,,,,,,,,,,,,,,,,
SD,23,6.9,18.7,19.9,31.4,9.3,184,,,,,,,,,,,,,,,,,,
TN,21.6,9.5,19.8,19.6,29.5,4.6,499,,,,,,,,,,,,,,,,,,
TX,11.9,5.9,19.1,24.6,38.5,4.5,638,,,,,,,,,,,,,,,,,,
UT,17.2,3.9,15.2,23.6,40,7.4,271,,,,,,,,,,,,,,,,,,
VA,13.2,8.2,16.7,19.9,41.9,4.8,542,,,,,,,,,,,,,,,,,,
VT,13.1,7.5,12.3,27.9,39.2,10.6,131,,,,,,,,,,,,,,,,,,
WA,10.6,5.4,13.3,25.1,45.5,5.2,489,,,,,,,,,,,,,,,,,,
WI,15.2,9.5,15.2,20.4,39.8,5.3,450,,,,,,,,,,,,,,,,,,
WV,21.4,7.3,23,17.8,30.5,6.6,372,,,,,,,,,,,,,,,,,,
WY,26.1,8.7,11.5,26.4,27.3,10.1,142,,,,,,,,,,,,,,,,,,
