"","W1_gov","W2_gov","W3_gov","W5_gov","W7_gov","W9_gov","W10_gov","W11_gov","W1_trump","W2_trump","W3_trump","W5_trump","W7_trump","W9_trump","W10_trump","W11_trump"
"National",63.7,58.6,54.5,52.8,51.2,48.4,47.4,48.5,42.1,39.7,34.4,34.1,32.3,33.7,34.4,35.1
"AK",60.8,53,47.7,50.5,47.1,42.3,34.5,48.2,55.1,41.1,35.2,36.8,31.6,25.8,30.3,33.9
"AL",59.7,51.8,45.7,47.7,47.3,44.4,46.3,51,53.6,51.9,42.2,45.4,46.5,46.1,50.2,52
"AR",65,61.2,52.2,46.7,41.2,42.8,51.6,52.3,54.9,50.9,46,40.4,39.2,44.4,43.9,44.1
"AZ",55.6,57,41.4,32.8,29.5,30.1,37,35.8,42.3,43.3,34.4,34.9,37.8,30.8,36.2,35.8
"CA",70.3,67.2,58,58.1,58.3,47.4,50.7,47.8,32.4,33.7,26.6,25.3,30,27.8,25.3,27.1
"CO",64,53.7,52.3,52.3,51.1,51.6,52.1,57.3,41.8,36.9,33.9,30.9,26.6,32.7,29.7,40.2
"CT",66.2,65.5,63.6,58.9,59.4,64.7,56.9,62.2,33.9,32.5,30.7,26,21.9,30.2,23.3,25.8
"DE",69,62.4,53,53.8,51.1,60.4,47.9,43.7,37.2,38.4,30.1,27.6,24.3,33.5,28.8,29.9
"FL",46.4,46.5,49.5,42.9,40.4,29.2,33.5,39.5,41.8,41.7,37.6,39.6,39.1,29.3,34,39
"GA",53.2,33.1,35.2,43.1,36.5,36.2,37.6,39.4,46.1,42.1,34.8,42.5,37.9,35.2,39.1,37.3
"HI",36.4,35.5,40.8,42.9,38.6,30.7,30.6,26,30.7,29.7,19.7,22.8,20.2,27.4,21.3,19.5
"IA",52.3,36.3,36.8,36.9,28.1,25.5,27.2,26.9,43.3,38.8,33.5,28.8,29.1,33.7,40.3,31.6
"ID",63.8,54,50.5,48.7,42.4,34,46.1,39.9,51,46.3,42.3,35.9,36.3,48.7,42.1,37.7
"IL",63.2,53.5,52.2,57.9,51.6,56.6,49.7,49.4,36.5,35.9,34.3,28.2,26.3,30.3,30.1,28.4
"IN",71.4,59.4,56.4,56,50.2,47.1,46.2,49.7,50.2,48.9,38.8,36.9,30.3,37.5,38.7,43.8
"KS",68.2,57.9,57,51.2,50.3,46.3,50.9,57.3,47.6,44.2,38,36,35.3,39.4,42.2,36.4
"KY",78.8,70.9,62.9,62.1,59.3,57.5,56.9,53.5,52.4,47,44.1,47.2,45,42.2,45.8,40.7
"LA",67.1,67.3,60,64.2,49.5,52.5,43.3,48.8,50.1,50.4,45.4,48.8,38.2,44.3,42,42.3
"MA",80.2,77.3,71.8,69.5,69.6,68,70.7,65.1,34.9,34.3,26.8,24.2,25.9,24.1,27,27.5
"MD",78.5,72.2,69.4,68.8,75.5,70.6,67.2,68.2,37.8,26.9,24.4,29.5,21.9,26.1,25.8,27.1
"ME",67.4,56.9,50.1,50,54.5,54.2,51.8,52.7,46.1,37.1,34.3,33.3,31.4,40.2,37.6,37.7
"MI",61.5,62,59.4,68.9,67,63.7,53.4,55.7,36.5,33.8,29,26.4,30.2,32.5,33.2,34.7
"MN",70.8,62.3,59.4,53.7,52.1,50.5,49.3,51.1,44.3,39.1,33.3,32.6,36.3,35,30.2,40.1
"MO",59.5,49.2,41.6,44,38.2,39,37,41.2,49.8,46.8,36,41.8,39.3,43.1,44.2,46.2
"MS",56,52.7,54.2,50.2,41.9,33.5,34.9,40.2,46.3,49.6,47.6,47.8,36.6,45.1,45.3,46.3
"MT",59,62.3,56.6,56.5,52.7,49.1,45,47.4,48.9,49,37.7,40.5,34.7,32,45,40.7
"NC",60.4,60.3,52.4,49.4,47.7,51.7,51.3,48.1,47.8,46.1,40.4,34.8,35.5,33.8,39.8,40.4
"ND",65.9,54.5,63.2,63.7,58.2,52.6,51.5,46.4,53.3,41.8,45.3,51.7,36.3,37.8,39.8,39.6
"NE",63.3,53.3,50.8,49.6,41.4,40.3,42,36,54,48.7,37.8,40.5,39.2,34.4,38.4,34.9
"NH",73.6,71.4,67.9,71.5,63.5,63.1,65,55,38.9,33.6,25.6,29.5,30,32.9,28.1,29
"NJ",65.1,66.7,57.8,66.1,59.6,59.6,58.2,65,37.4,37,30,29,27.8,29.7,30.3,32.5
