,State,Spring,Summer,Fall
1,AK,43,47,42
2,AL,56,47,43
3,AR,47,43,39
4,AZ,55,52,46
5,CA,67,57,55
6,CO,54,40,42
7,CT,67,49,46
8,DC,68,61,57
9,DE,67,53,50
10,FL,65,54,48
11,GA,62,48,49
12,HI,56,48,53
13,IA,51,39,39
14,ID,46,33,33
15,IL,62,49,48
16,IN,56,40,39
17,KS,56,43,40
18,KY,57,47,45
19,LA,57,52,44
20,MA,67,48,49
21,MD,70,55,53
22,ME,59,44,45
23,MI,66,45,42
24,MN,57,40,38
25,MO,54,41,42
26,MS,53,47,43
27,MT,43,28,35
28,NC,60,49,48
29,ND,47,28,36
30,NE,53,34,39
31,NH,63,46,41
32,NJ,68,56,49
33,NM,52,50,48
34,NV,59,47,47
35,NY,71,56,50
36,OH,56,47,43
37,OK,52,40,41
38,OR,54,45,44
39,PA,62,46,41
40,RI,70,53,51
41,SC,55,49,46
42,SD,49,30,31
43,TN,60,42,44
44,TX,61,52,51
45,UT,53,41,39
46,VA,63,52,48
47,VT,64,46,48
48,WA,61,48,46
49,WI,54,42,43
50,WV,59,48,46
51,WY,45,35,33
