,State,Spring,Summer,Fall
1,AK,60,56,53
2,AL,68,55,52
3,AR,56,52,47
4,AZ,65,56,53
5,CA,74,66,62
6,CO,64,52,51
7,CT,74,65,62
8,DC,79,67,65
9,DE,76,66,61
10,FL,72,64,57
11,GA,71,56,53
12,HI,68,59,63
13,IA,65,53,48
14,ID,57,45,43
15,IL,70,61,57
16,IN,68,54,49
17,KS,66,52,48
18,KY,69,56,54
19,LA,69,61,53
20,MA,74,63,60
21,MD,81,67,64
22,ME,74,57,56
23,MI,74,59,51
24,MN,68,53,51
25,MO,68,51,50
26,MS,66,59,54
27,MT,59,45,44
28,NC,67,61,55
29,ND,59,38,46
30,NE,65,47,50
31,NH,74,59,56
32,NJ,76,68,62
33,NM,67,61,54
34,NV,70,56,54
35,NY,74,68,59
36,OH,68,57,53
37,OK,61,53,51
38,OR,66,56,55
39,PA,70,56,52
40,RI,78,65,63
41,SC,67,59,53
42,SD,62,44,43
43,TN,67,56,52
44,TX,70,61,56
45,UT,64,51,47
46,VA,71,63,56
47,VT,75,56,63
48,WA,71,59,55
49,WI,67,54,53
50,WV,70,56,56
51,WY,54,42,38
