,State,Spring,Summer,Fall
1,AK,6,14,11
2,AL,8,15,19
3,AR,7,15,13
4,AZ,8,16,18
5,CA,6,12,13
6,CO,6,16,15
7,CT,3,13,13
8,DC,5,8,15
9,DE,4,11,13
10,FL,6,12,15
11,GA,7,15,17
12,HI,4,15,8
13,IA,4,14,16
14,ID,8,18,17
15,IL,4,14,14
16,IN,6,16,19
17,KS,6,20,21
18,KY,6,13,13
19,LA,6,14,13
20,MA,3,14,13
21,MD,2,10,12
22,ME,3,9,11
23,MI,5,13,15
24,MN,4,16,17
25,MO,7,17,17
26,MS,5,15,15
27,MT,10,19,20
28,NC,8,14,14
29,ND,10,24,23
30,NE,5,20,16
31,NH,6,13,18
32,NJ,4,9,14
33,NM,8,10,13
34,NV,6,16,17
35,NY,3,9,13
36,OH,5,14,15
37,OK,7,16,17
38,OR,7,15,16
39,PA,3,12,13
40,RI,7,12,15
41,SC,8,16,18
42,SD,7,19,20
43,TN,7,16,15
44,TX,7,13,15
45,UT,10,16,19
46,VA,4,11,15
47,VT,4,8,10
48,WA,5,12,13
49,WI,5,16,14
50,WV,5,13,10
51,WY,3,15,25
