,State,Spring,Summer,Fall
1,AK,3,4,4
2,AL,3,7,9
3,AR,2,7,9
4,AZ,1,3,5
5,CA,1,3,3
6,CO,1,4,6
7,CT,2,4,3
8,DC,3,4,7
9,DE,1,3,3
10,FL,1,5,4
11,GA,2,6,6
12,HI,1,4,4
13,IA,1,3,7
14,ID,2,5,7
15,IL,1,4,6
16,IN,2,6,8
17,KS,1,6,5
18,KY,1,5,6
19,LA,2,8,8
20,MA,0,3,4
21,MD,3,4,4
22,ME,1,3,3
23,MI,1,4,5
24,MN,1,5,4
25,MO,2,6,6
26,MS,4,8,9
27,MT,3,3,8
28,NC,2,7,7
29,ND,2,5,8
30,NE,2,6,6
31,NH,0,2,2
32,NJ,1,3,5
33,NM,3,6,5
34,NV,1,2,3
35,NY,1,4,6
36,OH,1,6,5
37,OK,3,5,8
38,OR,1,3,5
39,PA,1,5,5
40,RI,2,4,5
41,SC,3,6,8
42,SD,1,9,9
43,TN,2,7,6
44,TX,2,6,7
45,UT,1,5,8
46,VA,2,5,6
47,VT,0,4,1
48,WA,1,2,3
49,WI,1,4,5
50,WV,2,5,5
51,WY,2,6,8
