,State,Spring,Summer,Fall
1,AK,52,47,45
2,AL,60,55,54
3,AR,53,51,53
4,AZ,55,54,52
5,CA,56,55,54
6,CO,52,52,51
7,CT,61,56,56
8,DC,61,56,56
9,DE,62,63,55
10,FL,60,57,56
11,GA,61,54,57
12,HI,53,53,56
13,IA,45,45,45
14,ID,48,45,42
15,IL,54,52,54
16,IN,55,54,52
17,KS,56,49,48
18,KY,56,53,52
19,LA,62,57,55
20,MA,61,53,55
21,MD,60,57,60
22,ME,55,52,49
23,MI,55,51,48
24,MN,48,43,44
25,MO,54,50,49
26,MS,60,59,57
27,MT,46,44,46
28,NC,60,54,55
29,ND,48,40,44
30,NE,57,50,44
31,NH,55,50,49
32,NJ,64,59,61
33,NM,59,54,52
34,NV,59,53,54
35,NY,61,59,56
36,OH,54,54,53
37,OK,55,56,52
38,OR,52,47,47
39,PA,56,51,51
40,RI,61,57,54
41,SC,59,54,50
42,SD,48,42,41
43,TN,61,55,53
44,TX,57,57,60
45,UT,56,50,49
46,VA,60,56,50
47,VT,57,43,47
48,WA,51,46,47
49,WI,50,44,46
50,WV,60,54,53
51,WY,48,41,41
