,State,Spring,Summer,Fall
1,AK,11,14,12
2,AL,5,13,13
3,AR,7,11,14
4,AZ,7,11,11
5,CA,6,10,9
6,CO,6,12,10
7,CT,5,10,11
8,DC,6,10,15
9,DE,3,9,13
10,FL,6,13,12
11,GA,6,11,13
12,HI,4,11,12
13,IA,5,12,12
14,ID,8,13,12
15,IL,4,8,13
16,IN,4,11,12
17,KS,6,12,11
18,KY,5,13,10
19,LA,6,15,14
20,MA,4,10,12
21,MD,3,10,9
22,ME,6,11,14
23,MI,4,10,11
24,MN,3,10,9
25,MO,5,11,10
26,MS,5,14,14
27,MT,7,9,13
28,NC,7,11,12
29,ND,4,10,11
30,NE,5,13,10
31,NH,4,10,12
32,NJ,5,8,11
33,NM,10,12,11
34,NV,6,10,10
35,NY,5,11,12
36,OH,6,11,12
37,OK,7,10,11
38,OR,3,10,10
39,PA,4,10,12
40,RI,6,9,13
41,SC,7,13,11
42,SD,6,12,9
43,TN,6,12,11
44,TX,6,11,12
45,UT,7,12,11
46,VA,5,11,10
47,VT,4,12,15
48,WA,6,11,9
49,WI,4,10,11
50,WV,6,14,12
51,WY,3,11,10
