,State,Spring,Summer,Fall
1,AK,38,48,46
2,AL,36,46,51
3,AR,39,46,50
4,AZ,34,42,42
5,CA,25,35,36
6,CO,32,46,41
7,CT,25,41,45
8,DC,30,39,39
9,DE,25,39,45
10,FL,27,38,42
11,GA,31,41,44
12,HI,30,44,38
13,IA,38,46,48
14,ID,40,55,49
15,IL,26,42,43
16,IN,32,49,52
17,KS,36,49,54
18,KY,32,39,43
19,LA,34,45,42
20,MA,28,39,44
21,MD,27,37,38
22,ME,33,44,46
23,MI,28,42,46
24,MN,30,48,47
25,MO,36,51,47
26,MS,35,48,50
27,MT,41,52,49
28,NC,30,40,42
29,ND,42,56,52
30,NE,37,54,49
31,NH,31,42,49
32,NJ,27,37,43
33,NM,31,41,40
34,NV,27,42,44
35,NY,24,37,40
36,OH,33,44,47
37,OK,37,44,47
38,OR,37,42,47
39,PA,30,42,45
40,RI,26,47,45
41,SC,34,44,44
42,SD,43,53,54
43,TN,33,47,46
44,TX,28,38,42
45,UT,38,51,52
46,VA,28,41,41
47,VT,28,43,45
48,WA,26,39,43
49,WI,32,47,44
50,WV,36,40,45
51,WY,41,56,53
