,State,Spring,Summer,Fall
1,AK,3,2,5
2,AL,2,4,8
3,AR,1,5,7
4,AZ,2,4,8
5,CA,1,4,5
6,CO,1,4,7
7,CT,1,4,6
8,DC,1,5,7
9,DE,1,5,8
10,FL,1,6,7
11,GA,2,6,7
12,HI,2,5,6
13,IA,1,5,6
14,ID,1,7,7
15,IL,1,5,6
16,IN,1,5,7
17,KS,2,9,8
18,KY,1,4,6
19,LA,2,6,6
20,MA,0,5,8
21,MD,1,3,7
22,ME,1,4,4
23,MI,1,2,7
24,MN,0,6,7
25,MO,2,5,7
26,MS,1,3,4
27,MT,1,7,9
28,NC,1,3,6
29,ND,1,5,8
30,NE,3,6,8
31,NH,1,5,8
32,NJ,1,2,8
33,NM,1,8,5
34,NV,0,7,8
35,NY,1,3,7
36,OH,1,5,6
37,OK,1,4,6
38,OR,1,5,7
39,PA,1,4,5
40,RI,1,8,9
41,SC,1,5,6
42,SD,2,6,4
43,TN,2,4,7
44,TX,1,6,7
45,UT,2,9,8
46,VA,1,6,8
47,VT,1,5,5
48,WA,1,5,6
49,WI,1,6,7
50,WV,2,3,3
51,WY,2,3,4
