"","state_id","Spring","Summer","Fall"
"1","AK",53,64,69
"2","AL",48,66,74
"3","AR",40,65,69
"4","AZ",49,69,75
"5","CA",71,78,78
"6","CO",57,67,72
"7","CT",72,80,82
"8","DC",76,81,84
"9","DE",74,84,84
"10","FL",63,72,77
"11","GA",57,66,71
"12","HI",75,83,88
"13","IA",39,54,62
"14","ID",34,47,63
"15","IL",63,73,77
"16","IN",52,61,70
"17","KS",46,60,72
"18","KY",47,66,71
"19","LA",52,70,71
"20","MA",73,81,81
"21","MD",76,82,84
"22","ME",56,65,75
"23","MI",64,74,71
"24","MN",45,57,72
"25","MO",48,59,68
"26","MS",53,68,72
"27","MT",31,50,68
"28","NC",50,67,74
"29","ND",34,40,60
"30","NE",44,55,68
"31","NH",59,68,74
"32","NJ",78,81,82
"33","NM",54,75,79
"34","NV",56,75,81
"35","NY",78,81,82
"36","OH",49,65,71
"37","OK",43,62,68
"38","OR",46,64,76
"39","PA",69,74,73
"40","RI",76,80,82
"41","SC",44,65,70
"42","SD",35,38,55
"43","TN",49,62,69
"44","TX",60,72,78
"45","UT",38,62,73
"46","VA",60,76,75
"47","VT",62,69,83
"48","WA",50,72,76
"49","WI",43,57,67
"50","WV",52,62,70
"51","WY",33,44,49
