"","State","Spring","Summer","Fall","Rank"
"1","HI",75,83,88,1
"2","DC",76,81,84,2
"3","DE",74,84,84,3
"4","MD",76,82,84,4
"5","VT",62,69,83,5
"6","CT",72,80,82,6
"7","NJ",78,81,82,7
"8","NY",78,81,82,8
"9","RI",76,80,82,9
"10","MA",73,81,81,10
"11","NV",56,75,81,11
"12","NM",54,75,79,12
"13","CA",71,78,78,13
"14","TX",60,72,78,14
"15","FL",63,72,77,15
"16","IL",63,73,77,16
"17","OR",46,64,76,17
"18","WA",50,72,76,18
"19","AZ",49,69,75,19
"20","ME",56,65,75,20
"21","VA",60,76,75,21
"22","AL",48,66,74,22
"23","NC",50,67,74,23
"24","NH",59,68,74,24
"25","PA",69,74,73,25
"26","UT",38,62,73,26
"27","CO",57,67,72,27
"28","KS",46,60,72,28
"29","MN",45,57,72,29
"30","MS",53,68,72,30
"31","GA",57,66,71,31
"32","KY",47,66,71,32
"33","LA",52,70,71,33
"34","MI",64,74,71,34
"35","OH",49,65,71,35
"36","IN",52,61,70,36
"37","SC",44,65,70,37
"38","WV",52,62,70,38
"39","AK",53,64,69,39
"40","AR",40,65,69,40
"41","TN",49,62,69,41
"42","MO",48,59,68,42
"43","MT",31,50,68,43
"44","NE",44,55,68,44
"45","OK",43,62,68,45
"46","WI",43,57,67,46
"47","ID",34,47,63,47
"48","IA",39,54,62,48
"49","ND",34,40,60,49
"50","SD",35,38,55,50
"51","WY",33,44,49,51
