,State,Spring,Summer,Fall
1,AK,0,2,1
2,AL,0,1,1
3,AR,1,1,1
4,AZ,2,4,4
5,CA,2,3,3
6,CO,1,4,2
7,CT,1,4,2
8,DC,4,11,13
9,DE,1,2,2
10,FL,2,1,4
11,GA,1,1,2
12,HI,2,2,4
13,IA,1,0,1
14,ID,1,1,2
15,IL,2,3,4
16,IN,1,1,2
17,KS,0,1,1
18,KY,1,1,1
19,LA,2,2,2
20,MA,1,3,5
21,MD,1,3,4
22,ME,1,0,1
23,MI,1,1,1
24,MN,2,2,2
25,MO,0,1,2
26,MS,0,1,0
27,MT,2,1,2
28,NC,1,1,2
29,ND,0,1,2
30,NE,1,1,1
31,NH,1,0,2
32,NJ,2,4,4
33,NM,0,1,2
34,NV,3,5,5
35,NY,3,8,9
36,OH,1,2,2
37,OK,0,1,1
38,OR,2,4,5
39,PA,2,2,3
40,RI,3,2,2
41,SC,0,1,2
42,SD,0,1,0
43,TN,1,2,1
44,TX,1,3,3
45,UT,3,5,3
46,VA,1,2,2
47,VT,1,2,3
48,WA,3,4,6
49,WI,1,2,2
50,WV,0,2,1
51,WY,0,1,1
