,State,Spring,Summer,Fall
1,AK,14,23,23
2,AL,15,19,19
3,AR,14,19,17
4,AZ,8,16,16
5,CA,7,13,14
6,CO,9,21,16
7,CT,10,15,15
8,DC,7,16,17
9,DE,7,15,13
10,FL,9,13,14
11,GA,10,15,15
12,HI,12,20,14
13,IA,12,17,19
14,ID,15,22,21
15,IL,7,16,18
16,IN,9,19,16
17,KS,12,22,17
18,KY,8,15,16
19,LA,14,15,19
20,MA,6,18,16
21,MD,7,15,15
22,ME,9,20,15
23,MI,7,18,14
24,MN,11,20,18
25,MO,12,20,20
26,MS,13,20,18
27,MT,13,23,20
28,NC,7,19,17
29,ND,14,24,23
30,NE,11,22,15
31,NH,9,17,17
32,NJ,8,18,16
33,NM,12,17,14
34,NV,9,16,16
35,NY,6,14,14
36,OH,9,16,17
37,OK,12,17,18
38,OR,11,17,19
39,PA,8,17,15
40,RI,9,19,15
41,SC,10,15,17
42,SD,12,25,17
43,TN,8,18,16
44,TX,8,13,15
45,UT,16,22,21
46,VA,8,16,14
47,VT,10,17,12
48,WA,9,16,16
49,WI,9,18,14
50,WV,11,18,17
51,WY,15,22,27
