,State,Spring,Summer,Fall
1,AK,73,68,66
2,AL,79,76,73
3,AR,73,72,68
4,AZ,78,75,72
5,CA,77,75,74
6,CO,72,68,69
7,CT,81,75,75
8,DC,82,78,73
9,DE,81,78,73
10,FL,79,74,75
11,GA,77,73,74
12,HI,81,74,77
13,IA,71,65,69
14,ID,73,68,65
15,IL,77,74,72
16,IN,75,72,72
17,KS,78,68,69
18,KY,75,77,70
19,LA,77,78,71
20,MA,79,74,72
21,MD,78,79,79
22,ME,76,73,69
23,MI,78,72,67
24,MN,73,65,67
25,MO,75,71,71
26,MS,79,76,71
27,MT,70,67,66
28,NC,78,72,74
29,ND,72,63,65
30,NE,76,67,66
31,NH,78,72,67
32,NJ,81,78,78
33,NM,78,73,71
34,NV,82,78,75
35,NY,79,76,74
36,OH,77,76,73
37,OK,74,72,73
38,OR,74,69,69
39,PA,75,71,70
40,RI,78,74,71
41,SC,80,74,70
42,SD,64,62,63
43,TN,78,76,74
44,TX,78,75,75
45,UT,78,75,72
46,VA,79,75,72
47,VT,75,67,70
48,WA,77,71,70
49,WI,74,67,65
50,WV,80,76,74
51,WY,74,61,62
