,State,Spring,Summer,Fall
1,AK,24,35,42
2,AL,30,33,36
3,AR,31,35,39
4,AZ,27,36,34
5,CA,25,31,35
6,CO,25,36,34
7,CT,24,31,39
8,DC,19,24,28
9,DE,23,32,34
10,FL,24,31,37
11,GA,28,31,40
12,HI,30,38,39
13,IA,32,36,40
14,ID,32,40,44
15,IL,25,32,38
16,IN,28,39,42
17,KS,27,41,42
18,KY,27,33,33
19,LA,30,35,38
20,MA,24,31,35
21,MD,22,30,36
22,ME,25,32,33
23,MI,23,30,36
24,MN,27,30,37
25,MO,28,35,41
26,MS,32,39,39
27,MT,33,40,45
28,NC,24,30,35
29,ND,34,48,47
30,NE,35,41,43
31,NH,25,32,36
32,NJ,22,32,37
33,NM,27,31,36
34,NV,25,35,35
35,NY,17,27,34
36,OH,27,35,38
37,OK,30,38,39
38,OR,26,33,36
39,PA,25,31,35
40,RI,21,34,35
41,SC,30,36,42
42,SD,32,40,37
43,TN,27,36,40
44,TX,27,31,40
45,UT,34,40,45
46,VA,25,34,39
47,VT,26,27,38
48,WA,22,31,35
49,WI,28,36,37
50,WV,28,30,34
51,WY,32,38,37
