"","state_id","Spring","Summer","Autumn"
"National","National","57.9","70","75.2"
"AK","AK","53.3","64","69.1"
"AL","AL","48.4","66.4","74.2"
"AR","AR","39.9","64.6","69.1"
"AZ","AZ","49","69","74.7"
"CA","CA","71.5","78","78"
"CO","CO","58","67.4","72.1"
"CT","CT","72.2","79.6","81.9"
"DC","DC","76.3","81","83.8"
"DE","DE","73.6","84.5","83.9"
"FL","FL","62.9","71.9","77.4"
"GA","GA","58.4","66.3","71.1"
"HI","HI","75.3","82.7","87.8"
"IA","IA","38.9","53.8","62.4"
"ID","ID","34.5","47","63"
"IL","IL","63.3","73.1","76.9"
"IN","IN","51.5","60.8","70.1"
"KS","KS","46","60.1","71.7"
"KY","KY","46.8","65.5","71.4"
"LA","LA","51.8","69.9","71.3"
"MA","MA","73.3","80.9","80.8"
"MD","MD","75.6","82.1","84.3"
"ME","ME","55.9","64.9","74.9"
"MI","MI","63.9","73.7","71.1"
"MN","MN","44.6","58.5","71.8"
"MO","MO","48.2","58.8","68.3"
"MS","MS","53.1","67.8","72.1"
"MT","MT","31.4","50.2","67.6"
"NC","NC","50.2","66.7","73.5"
"ND","ND","33.7","39.7","60"
"NE","NE","44.3","55.3","67.8"
"NH","NH","59.2","67.7","74"
"NJ","NJ","78.3","80.9","81.8"
"NM","NM","54","75.4","79.1"
"NV","NV","57.1","74.8","80.8"
"NY","NY","77.5","80.8","81.6"
"OH","OH","48.8","64.7","71.2"
"OK","OK","43","62.4","68.5"
"OR","OR","46.4","64.5","76.1"
"PA","PA","68.5","74","73.3"
"RI","RI","76.3","79.6","82.3"
"SC","SC","43.8","64.6","70.2"
"SD","SD","34.8","38.3","55.5"
"TN","TN","49.1","62.4","68.6"
"TX","TX","60.3","71.7","78.1"
"UT","UT","38","61.9","72.6"
"VA","VA","59.8","75.5","75.4"
"VT","VT","62","68.5","83"
"WA","WA","50.3","72.2","75.9"
"WI","WI","43","58.1","67.4"
"WV","WV","52.1","61.7","69.8"
"WY","WY","32.9","43.8","49.2"
