"","State","Spring","Summer","Fall","Rank"
"1","VT",84,64.27,66.18,1
"2","HI",76.77,57.23,65,2
"3","CA",83.07,68.09,64.65,3
"4","ME",81.69,61.58,62.95,4
"5","DC",85.71,71.48,62.63,5
"6","MD",86.59,70.36,61.95,6
"7","DE",86.12,65.76,60.93,7
"8","MA",86.92,65.16,59.88,8
"9","CT",83.34,63.91,59.16,9
"10","RI",84.62,58.05,59.06,10
"11","NY",89.01,70.75,58.81,11
"12","WV",76.81,61.2,58.81,12
"13","NM",73.38,58.04,57.49,13
"14","NJ",85.58,68.75,57.25,14
"15","WA",82.48,64.43,56.8,15
"16","KY",82.17,57.86,55.59,16
"17","FL",81.89,63.03,55.41,17
"18","NH",81.56,62.1,55.14,18
"19","IL",81.42,61.91,55.1,19
"20","NV",79.81,54.77,54.93,20
"21","PA",81.7,58.79,54.23,21
"22","TX",80.2,60.57,54.09,22
"23","NC",79.11,57.41,53.8,23
"24","WI",79.26,52.75,53.55,24
"25","OR",76.76,56.87,53.11,25
"26","MI",84.89,63.08,52.12,26
"27","OH",78.76,54.91,51.57,27
"28","AZ",75.67,60,51.44,28
"29","VA",82.69,61.26,50.9,29
"30","GA",77.59,56.8,50.4,30
"31","CO",77.2,49.95,50.17,31
"32","TN",75.98,50.63,50.05,32
"33","MN",80.41,51.72,49.12,33
"34","LA",74.15,52.98,48.77,34
"35","AK",72.77,52.31,48.56,35
"36","OK",70.03,51.47,46.01,36
"37","MS",71.48,53.34,46.01,37
"38","SC",73.18,54.54,45.6,38
"39","MO",72.94,48.65,44.28,39
"40","AL",71.84,53.76,43.64,40
"41","NE",72.75,40.53,43.55,41
"42","KS",75.87,41.62,42.83,42
"43","IA",75.51,53.93,42.19,43
"44","AR",69.31,51.57,41.64,44
"45","IN",75.75,46.92,41.34,45
"46","UT",69.2,45.19,39.22,46
"47","MT",70.3,42.7,38.72,47
"48","SD",71.13,32.11,38.71,48
"49","ID",66.5,38.57,36.58,49
"50","ND",67.73,33.76,34.22,50
"51","WY",66.77,38.06,32.7,51
