,Had to stop or scale back work to take care of their children,Error Margin,N
National,9.4,0.5,24017
AK,12.9,5.1,331
AL,8.7,3.3,444
AR,9.7,4.1,363
AZ,7.8,3.1,503
CA,7.7,2.3,706
CO,10.7,3.5,467
CT,9.7,3.5,427
DC,13,3.9,406
DE,10.3,3.8,395
FL,7.6,2.3,685
GA,10.1,2.9,601
HI,12.2,4.7,341
IA,7.9,3.1,397
ID,11.4,3.8,492
IL,8.2,2.7,550
IN,8.7,3.2,424
KS,9.6,3.5,403
KY,9.7,3.2,446
LA,10.3,3.5,408
MA,8.7,3,460
MD,12.6,3.9,380
ME,9.3,2.8,639
MI,10.5,2.8,556
MN,12.1,3.5,467
MO,7.1,2.6,531
MS,10.6,4.2,461
MT,9.7,3.5,461
NC,8.4,2.6,569
ND,13.4,4.1,396
NE,8.2,3.2,421
NH,9.8,3.4,389
NJ,9.7,3.4,478
NM,10.5,4.2,379
NV,8.9,3.6,459
NY,8.9,2.5,716
OH,9.9,3,533
OK,9,3.3,425
OR,10.1,3.1,479
PA,7.1,2.4,520
RI,9.4,3.2,493
SC,8.3,2.9,477
SD,9.7,3.7,407
TN,8.5,3.2,440
TX,10.4,2.7,684
UT,10.8,3.4,403
VA,9.7,3.4,448
VT,10.9,4.4,285
WA,9.6,3,497
WI,8.3,2.3,724
WV,10.5,4.3,365
WY,7.8,4,286
