,Was unable to make rent or mortgage payments,Error Margin,N
National,13.3,0.6,24017
AK,20.1,6.1,331
AL,11.2,3.7,444
AR,11.9,4.4,363
AZ,16.3,4.3,503
CA,10.1,2.7,706
CO,14.1,3.9,467
CT,12.5,3.9,427
DC,9.9,3.5,406
DE,13.9,4.4,395
FL,13.6,3,685
GA,14.1,3.4,601
HI,15.2,5.2,341
IA,12.5,3.8,397
ID,15.6,4.3,492
IL,12.6,3.3,550
IN,18.3,4.4,424
KS,12.6,3.9,403
KY,13.4,3.6,446
LA,24.2,4.9,408
MA,8.2,2.9,460
MD,12.6,3.9,380
ME,12.1,3.1,639
MI,10.1,2.8,556
MN,11.3,3.4,467
MO,15.5,3.7,531
MS,11.8,4.4,461
MT,14.9,4.2,461
NC,11.2,3,569
ND,12.8,4,396
NE,9.9,3.5,421
NH,12.1,3.7,389
NJ,11.3,3.6,478
NM,19.4,5.5,379
NV,14,4.3,459
NY,13,3,716
OH,15.1,3.6,533
OK,17.2,4.3,425
OR,11.3,3.3,479
PA,9.6,2.7,520
RI,12.3,3.6,493
SC,10.7,3.3,477
SD,15,4.4,407
TN,12.6,3.8,440
TX,14.9,3.1,684
UT,15.5,3.9,403
VA,9,3.3,448
VT,11.6,4.5,285
WA,12.3,3.4,497
WI,12.6,2.8,724
WV,17.3,5.3,365
WY,15.6,5.5,286
