,Was evicted from their home,Error Margin,N
National,2.8,0.3,24017
AK,4.2,3.1,331
AL,1.7,1.5,444
AR,4,2.7,363
AZ,3.3,2.1,503
CA,2.4,1.4,706
CO,2.9,1.9,467
CT,2,1.6,427
DC,3.2,2,406
DE,2.6,2,395
FL,2.7,1.4,685
GA,5.3,2.2,601
HI,2.6,2.3,341
IA,2.5,1.8,397
ID,2.7,1.9,492
IL,2.2,1.4,550
IN,3,1.9,424
KS,2.7,1.9,403
KY,1.2,1.2,446
LA,5.2,2.5,408
MA,2.2,1.5,460
MD,5.3,2.7,380
ME,1,1,639
MI,2.6,1.5,556
MN,1.1,1.1,467
MO,2.9,1.7,531
MS,1.6,1.7,461
MT,1.6,1.5,461
NC,2.8,1.6,569
ND,1.7,1.6,396
NE,2.7,1.9,421
NH,3.4,2,389
NJ,2.4,1.7,478
NM,4.9,3,379
NV,3.9,2.4,459
NY,2.9,1.5,716
OH,3.3,1.8,533
OK,4.3,2.3,425
OR,1.7,1.3,479
PA,1.7,1.2,520
RI,1.6,1.3,493
SC,2.1,1.5,477
SD,3.1,2.1,407
TN,1.9,1.6,440
TX,3.1,1.5,684
UT,3.4,2,403
VA,1.8,1.5,448
VT,0.8,1.3,285
WA,3.6,1.9,497
WI,2.8,1.4,724
WV,2.2,2,365
WY,2.7,2.4,286
