Age range 
"","18 to 24","25 to 44","45 to 64","65 and over","Error Margin","N"
"National",12.4,34.2,33.5,19.9,0.9,19489
"AK",14.7,38,36.5,10.7,13.9,92
"AL",12.6,33.3,33.1,21,5.4,420
"AR",11.7,34.2,33.6,20.5,5.8,425
"AZ",12.2,34.1,30.8,22.8,5.3,442
"CA",11.1,36.6,33.8,18.5,4.8,720
"CO",11.8,37.3,33.3,17.6,5.4,443
"CT",12.3,30.9,35.9,20.9,5.9,323
"DC",11.9,47.4,26.3,14.4,12.8,102
"DE",12.1,31.9,34,22,7.3,304
"FL",8.6,33,33.5,24.9,5.1,522
"GA",12.8,35.2,34.5,17.4,5.1,462
"HI",12.7,36.5,30.8,20,7.6,242
"IA",13.3,31.8,33.4,21.4,5.3,436
"ID",13.6,35.8,32.5,18,6.4,320
"IL",11.7,35,33.9,19.4,5.4,470
"IN",13,32.9,34,20.1,5.2,454
"KS",13.3,34.2,32.4,20.1,5.8,444
"KY",11.7,33.2,35,20.1,5.2,426
"LA",12.4,35.4,33.2,19,5.9,418
"MA",11.4,33.6,34.8,20.1,5,441
"MD",11.7,35.1,35.8,17.4,6.1,369
"ME",10.1,28.7,37.4,23.7,5.9,322
"MI",12,31.1,35.8,21.2,4.9,482
"MN",12.3,34.1,33.9,19.7,5,445
"MO",11.6,33,34,21.4,5.2,425
"MS",13.8,34.7,33.5,18,6.4,383
"MT",12.7,30.9,34.2,22.2,7.3,214
"NC",11.4,35.5,34.3,18.8,4.9,450
"ND",16.4,33.1,29.7,20.8,10.5,165
"NE",13.4,35.2,30.9,20.5,6.5,329
"NH",12.2,29.5,37.9,20.4,6.3,352
"NJ",11.5,33.2,34.9,20.4,5.1,476
"NM",11.6,30.2,34.9,23.2,12.6,121
"NV",11.3,35,34.1,19.6,5.9,437
"NY",12.2,33.8,34.5,19.4,4.8,542
"OH",10.8,32.6,35.4,21.3,4.7,477
"OK",13.3,34.8,32.7,19.2,5.6,426
"OR",11.3,35,32.2,21.5,5.1,443
"PA",12,31.4,35.1,21.5,4.8,467
"RI",13.9,31.5,35,19.6,6.9,298
"SC",11.6,32.8,34.2,21.4,5.3,434
"SD",13.9,34.1,32.3,19.7,9.1,182
"TN",11.1,33.8,33.9,21.2,5.2,436
"TX",13.3,37.8,32.5,16.4,5.3,538
"UT",15.9,40.5,28.2,15.4,5.9,411
"VA",12.2,35,33.9,18.9,5,471
"VT",13.6,29,35.9,21.5,8.6,176
"WA",11.3,36.4,32.9,19.4,6,368
"WI",11.7,31,36.2,21.1,5.1,436
"WV",11.3,30.6,34.1,24,6,363
"WY",12.4,34.2,35.8,17.6,10.5,145
