In the last week, how closely did you personally follow the health recommendations listed below? - Avoiding public or crowded places 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1.5,3.5,19.8,75.3,0.8,19369
"AK",0,3.4,23.2,73.4,12.6,92
"AL",0.8,5.2,17.5,76.5,4.9,416
"AR",2.1,4.6,23.8,69.5,5.6,420
"AZ",2,5.8,23.5,68.8,5.2,436
"CA",2.2,2.5,17.6,77.7,4.2,718
"CO",3.5,5.2,19.2,72.1,5,443
"CT",0.5,2,17.1,80.4,4.9,322
"DC",0.6,6.6,8.6,84.2,9.4,101
"DE",1.1,3,16.5,79.4,6.2,303
"FL",1.3,1.7,19.8,77.2,4.6,520
"GA",1.5,3.3,18.8,76.4,4.6,459
"HI",1.6,3.1,16.6,78.7,6.5,241
"IA",2.1,3.6,24.4,70,5.2,428
"ID",5.1,2.4,25.1,67.4,6.2,319
"IL",0.5,5.6,19.1,74.8,4.9,469
"IN",1.8,5.4,17.7,75.1,4.8,452
"KS",1.4,1.5,23.8,73.2,5.5,440
"KY",1.5,3.6,22.5,72.4,4.9,423
"LA",1.8,2.8,24.1,71.3,5.6,416
"MA",1.2,2.1,20.1,76.5,4.5,436
"MD",1,1.3,13.8,83.8,4.7,367
"ME",1.7,1.8,17.3,79.2,5,319
"MI",1.6,3.1,14.9,80.5,4.1,477
"MN",2.1,4.6,18,75.3,4.6,444
"MO",3.3,4.2,20.1,72.3,4.9,425
"MS",3.6,4.5,26.6,65.3,6.4,383
"MT",0.3,4.6,30,65.1,7.3,214
"NC",1.7,4.4,21.6,72.2,4.6,449
"ND",2,4.8,30.9,62.3,10.8,165
"NE",2.1,6.9,25.6,65.4,6.5,327
"NH",1.3,1.1,20.3,77.3,5.5,349
"NJ",1.2,1.7,13.5,83.5,4,474
"NM",1,6.2,17,75.8,11.4,121
"NV",1.1,4.2,16.3,78.3,5.1,434
"NY",0.8,0.9,18.1,80.2,4,539
"OH",1.5,2.8,20.6,75.1,4.3,469
"OK",1.1,6.5,24.7,67.7,5.5,424
"OR",1.3,2,17.9,78.7,4.4,442
"PA",0.9,3,20.6,75.6,4.3,464
"RI",0.9,2.7,19.2,77.2,6.1,296
"SC",1.7,4.3,21.5,72.6,5,433
"SD",0.4,4.2,25.6,69.8,8.8,180
"TN",1.1,3.9,18.5,76.5,4.7,434
"TX",0.3,3.3,19.2,77.2,4.6,533
"UT",2,5.4,21.4,71.2,5.4,409
"VA",0.4,3.8,20.9,74.9,4.5,464
"VT",0,2.7,16.4,81,7.1,174
"WA",1.3,4.8,19.9,74,5.5,367
"WI",1.3,4.1,22,72.5,4.8,432
"WV",2.7,3.7,18.2,75.4,5.4,362
"WY",6.3,4.5,28.6,60.6,10.7,145
