In the last week, how closely did you personally follow the health recommendations listed below? - Frequently washing hands 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",1,3,15.6,80.4,0.7,19358
"AK",0,1,16.4,82.6,10.8,92
"AL",1.1,2.7,15.4,80.8,4.5,418
"AR",1.4,3.4,14.5,80.8,4.8,421
"AZ",1.2,3.3,15.5,80,4.5,440
"CA",2,3.2,15.1,79.8,4.1,715
"CO",2.9,3.5,21.6,72,5,443
"CT",0,3.9,15.3,80.8,4.9,322
"DC",3.8,1.8,14.2,80.2,10.3,101
"DE",0.6,2.6,17.3,79.5,6.2,302
"FL",0.7,2.1,14,83.2,4.1,519
"GA",0.9,3.6,12.5,83.1,4,459
"HI",0.7,0.6,14.9,83.8,5.8,241
"IA",2.1,4.6,19.1,74.2,4.9,430
"ID",3,4.6,18.3,74.2,5.8,317
"IL",0.5,2.2,15.3,82.1,4.3,468
"IN",0.6,2.7,15.9,80.9,4.3,451
"KS",0.5,2,13.7,83.8,4.5,440
"KY",0,2.2,17.1,80.7,4.3,423
"LA",0.9,3.6,16.5,79,5.1,414
"MA",1,4.1,13.5,81.5,4.1,437
"MD",1,2.8,15.8,80.4,5.1,365
"ME",1.5,2.3,17.1,79.2,5,319
"MI",0.8,2.3,16.5,80.4,4.1,478
"MN",1.8,4,17.8,76.5,4.5,443
"MO",2.8,2.2,15.5,79.6,4.4,424
"MS",1.7,1.5,17.2,79.6,5.5,381
"MT",1.7,6,22.8,69.5,7.1,212
"NC",0.2,2.6,15.2,82,3.9,450
"ND",1.2,1.8,27,70,10.2,165
"NE",0.2,3.8,17.4,78.6,5.6,326
"NH",0.1,2.2,15.9,81.8,5,351
"NJ",0,2.4,14.7,82.9,4,474
"NM",2.6,1.4,11.2,84.9,9.5,121
"NV",0.9,2.2,10.4,86.5,4.2,433
"NY",0.6,2,14.3,83.2,3.8,540
"OH",1.4,2.9,14,81.7,3.8,471
"OK",1.5,3.4,15.3,79.8,4.7,423
"OR",0.9,3.7,16.3,79.1,4.4,443
"PA",0.2,4.4,15.8,79.6,4.1,463
"RI",2.1,5.4,17.2,75.3,6.2,295
"SC",1.3,1.9,15.5,81.4,4.4,428
"SD",0.9,1.2,24.4,73.6,8.5,178
"TN",0.7,3.8,13.4,82.1,4.3,433
"TX",0.6,2.6,13.8,83,4.1,533
"UT",1.3,2.5,16,80.2,4.8,408
"VA",0.1,2.9,14.7,82.2,4,467
"VT",3.9,1,15.8,79.4,7.3,176
"WA",0.6,2.6,18.8,78,5.2,367
"WI",1,2.3,20.8,76,4.6,432
"WV",1.3,3.6,13.3,81.8,4.9,361
"WY",1,7.8,18.4,72.8,9.8,145
