How concerned, if at all, do you currently feel about the following: - Financial hardships due to the virus outbreak or the measures against it 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",11.2,15.8,30.2,34.9,7.8,0.9,19375
"AK",6.9,18,37.3,33,4.7,13.8,92
"AL",13.9,13.3,33.4,32.7,6.7,5.4,417
"AR",15.1,11,28.4,37.1,8.3,5.9,424
"AZ",14.2,13.5,30.7,33.5,8.1,5.3,442
"CA",10.9,15.9,28.6,36.6,7.8,4.9,715
"CO",13.8,13.8,28.3,37.4,6.7,5.4,440
"CT",11.8,15.2,28.9,36.3,7.8,6,321
"DC",7.8,9,27.5,44.8,10.9,13,98
"DE",8.6,11,29.9,39,11.5,7.5,302
"FL",14.2,10.7,25.6,36.8,12.8,5.2,520
"GA",9.3,15.4,26.9,38.8,9.6,5.2,459
"HI",8,10.4,30.2,47,4.4,7.9,242
"IA",14.1,19.8,30.9,30.6,4.6,5.2,433
"ID",8.9,17.2,33.7,35.9,4.2,6.4,318
"IL",11.4,18.7,27.1,36.6,6.1,5.5,465
"IN",10.9,17.7,29.5,34.1,7.8,5.3,453
"KS",12.8,19.1,28.5,31.2,8.4,5.7,443
"KY",9.9,15.5,31,38.1,5.5,5.3,423
"LA",12.4,14.3,31.7,33.3,8.2,5.9,414
"MA",11.9,18.1,29.3,33.3,7.4,5,437
"MD",8.7,16.1,35,33.5,6.7,6.1,368
"ME",16.1,19.9,32.3,25.4,6.2,5.7,321
"MI",14.5,19.9,26,32.2,7.4,4.8,476
"MN",12.5,16,37.3,29,5.3,5.1,445
"MO",15.3,15.7,31.7,28.9,8.3,5.1,422
"MS",11.9,15.7,24.6,36.4,11.4,6.5,382
"MT",11.1,16.8,28.5,31.9,11.6,7.1,214
"NC",13.9,17.8,31.7,30.3,6.3,4.8,448
"ND",16.4,26.3,29.8,23.7,3.8,10.2,164
"NE",15.5,19.5,29,29.5,6.5,6.3,327
"NH",10,16.8,30.9,32.4,10,6.1,351
"NJ",11.2,15.3,36.3,34.3,2.9,5.2,470
"NM",15,20.4,24.8,35,4.7,12.6,120
"NV",6.1,14.6,27.9,45.1,6.3,6.1,432
"NY",9.6,15.4,33.6,32.4,8.9,4.8,539
"OH",12.7,19.5,26,31.4,10.4,4.6,473
"OK",11,14.2,29.1,40.2,5.5,5.7,426
"OR",12.5,17.9,30.7,31.5,7.4,5,442
"PA",8,18.9,30.6,33.6,8.9,4.7,466
"RI",12.9,11.8,31.2,36.1,8,6.9,296
"SC",10.8,14.9,33.9,33.8,6.6,5.3,433
"SD",10.8,15.3,38.1,31.8,4,9.3,180
"TN",11.2,12.1,28.2,41,7.5,5.5,431
"TX",9.4,14.9,25.3,43.2,7.2,5.4,534
"UT",6.7,17.6,35.7,33.4,6.6,5.7,410
"VA",10.8,15.7,32.1,34.5,6.9,5,468
"VT",7.1,15.9,41.9,31.2,3.8,8.9,176
"WA",11.2,14.5,38,28.5,7.9,6,366
"WI",14.5,20,29.9,28.2,7.4,4.9,435
"WV",11.1,17.4,31.8,32.7,6.9,6,357
"WY",17.8,17.7,31.2,26.8,6.5,10.2,145
