Have you or someone in your household experienced any of the following as a result of the coronavirus (COVID-19) outbreak 
"","Had to start working from home","Had their school or university closed","Had to stop or scale back work to take care of their children","Had to stop or scale back work to take care of someone who had COVID-19","Had to take a cut in pay due to reduced hours or demand for their work","Was laid off or lost a job","Error Margin","N"
"National",29.7,30.3,7.4,1.4,17.2,21,0,256
"AK",13.4,26.1,6.5,0.7,11.2,34.9,14.3,92
"AL",21.5,28.4,5.5,0.7,12.1,15.4,4.8,420
"AR",18.1,27.9,4.7,1.3,14.4,16.8,5.3,425
"AZ",24,25.6,5.7,0.3,20.2,21.4,5,442
"CA",30.4,32.1,8.1,1.7,17.5,20.2,4.6,720
"CO",35.6,30.5,4.7,1.5,22.9,22.4,5.3,443
"CT",33.7,32.1,5.7,1.3,19.4,20.9,5.8,323
"DC",63.1,32.7,5.9,2.6,20.4,16.8,12.7,102
"DE",27.1,31.1,7.6,1.2,14.4,20.8,7,304
"FL",28,24.3,7.9,0.7,13.5,18,4.8,522
"GA",31.1,34.9,10.2,2.9,16.9,18.6,5.2,462
"HI",35.7,32.5,12,0.7,24.1,35.1,7.6,242
"IA",21.6,28,5.2,0.8,14.1,19.8,4.7,436
"ID",28,35,6.6,1.4,18.9,18.9,6.1,320
"IL",33.7,29.9,4.9,1.1,15.5,20.5,5.2,470
"IN",22.2,34.9,5.8,0.4,17.9,23.6,5.4,454
"KS",35.4,33.8,7.7,1.7,17.1,21.9,5.9,444
"KY",24.8,29.8,7.1,0.9,16.2,22.5,4.9,426
"LA",25.2,31.5,7.2,1.1,15.6,20,5.4,418
"MA",35.7,36.6,8.3,1,16.1,19.5,5,441
"MD",40.7,30.5,6.2,0.6,15.8,20,6.1,369
"ME",25.8,23.1,4.4,0.4,13.2,18.1,5.3,322
"MI",27.8,28.9,4.9,1,15.6,30.7,4.7,482
"MN",33.2,29.5,9.1,3.2,19.7,22,5,445
"MO",23.6,27.1,6,0.4,14,22.2,4.7,425
"MS",21,30,4,0.2,12.1,23.3,5.8,383
"MT",20.1,29.5,6.6,1.4,19.3,21.6,6.9,214
"NC",27.9,31.2,8.4,1,16.8,20.2,4.7,450
"ND",30.1,35.7,5.2,3.3,23.2,17.7,10.9,165
"NE",28.9,34.3,7.4,2.2,16.2,15.3,6.3,329
"NH",33.8,33.4,9.9,0.8,19.2,21.6,5.9,352
"NJ",36.7,36,6.9,1.4,16.5,26,5.2,476
"NM",25.6,18.8,10.6,0,13.9,7.8,11.4,121
"NV",26.5,23,6.1,1.6,15.7,30.3,5.7,437
"NY",33.6,30,8.7,2.7,12.8,22.4,4.7,542
"OH",27.4,31,7.8,0.7,17.7,23.9,4.5,477
"OK",22.8,29.7,8.8,0.5,19.2,19.6,5.3,426
"OR",28.8,26,7.3,2.3,18.8,19.8,4.9,443
"PA",26.3,32.8,7.3,1.1,19.1,20.5,4.7,467
"RI",33.6,28.6,9,2.1,17.2,26.8,6.3,298
"SC",22.3,28.1,5.6,1.1,18.8,19.6,5,434
"SD",22.1,26.8,4.3,1,17.1,20.3,8.2,182
"TN",23.9,24.4,6,1.3,18.8,25.4,5,436
"TX",30.5,33.1,9.2,2.9,18.2,24,5.2,538
"UT",38.4,40.1,6.8,0.5,23.3,17.9,5.8,411
"VA",38.1,32.3,7.1,0.8,16.9,15.4,4.9,471
"VT",32.6,26.5,6.2,0.6,17.7,25.2,8,176
"WA",28,30.3,7.8,0.8,14.5,22.5,5.7,368
"WI",27.8,36.5,7.2,0.6,20.8,18.1,5.2,436
"WV",21,27.9,8.4,0.6,15.5,20.1,5.6,363
"WY",24.2,25.9,3.8,0.3,21.7,21.3,9.7,145
