Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Tracking people’s cell phone location to find out who was in contact with a sick person 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",32.5,23.3,24,20.3,0.9,19350
"AK",47.6,18.8,6,27.5,14.4,91
"AL",35.4,24.2,20.9,19.5,5.5,415
"AR",38.6,24.9,21,15.5,5.9,423
"AZ",38.2,20.8,23.8,17.2,5.5,438
"CA",26.1,21.8,29.9,22.1,4.6,716
"CO",36.4,24.8,25.2,13.5,5.4,442
"CT",30.3,27.7,23.7,18.4,5.7,323
"DC",21.8,29.3,22.2,26.7,11.8,100
"DE",33.4,21.9,25.4,19.3,7.3,300
"FL",31.1,21.4,18.9,28.6,5,519
"GA",36.4,23.6,19.7,20.4,5.2,458
"HI",26.2,27.1,22.9,23.8,7,242
"IA",36.3,26.5,23.8,13.4,5.4,430
"ID",41.9,25.5,20.2,12.4,6.6,318
"IL",31.9,24.3,22.2,21.6,5.3,469
"IN",37.1,24.8,21.2,16.9,5.4,452
"KS",34.1,22.6,23.1,20.3,5.8,443
"KY",32.6,25.5,21.4,20.4,5.1,423
"LA",36.8,23.3,20.1,19.8,6,416
"MA",23.4,23,26.9,26.7,4.7,435
"MD",31.8,20.3,26.7,21.1,6,365
"ME",35.8,21.5,21.7,21.1,5.9,319
"MI",38,18.8,26.6,16.6,5,477
"MN",39.4,22.2,21.1,17.2,5.2,440
"MO",35.4,24.7,19.9,19.9,5.2,422
"MS",40.8,22.6,24.8,11.8,6.6,381
"MT",46,21.3,19.9,12.8,7.7,213
"NC",34.6,22.6,24.9,17.9,4.9,447
"ND",33.4,15.7,41.8,9.2,11,164
"NE",32.1,22.5,22.8,22.5,6.4,328
"NH",33.2,23.9,25.6,17.3,6.1,351
"NJ",27.5,24.1,20.3,28.2,4.8,472
"NM",29.6,28.6,20.1,21.8,12.2,119
"NV",29.9,21.8,27.1,21.3,5.7,431
"NY",27.4,19.8,28.1,24.7,4.5,540
"OH",32.8,25.1,22,20.1,4.7,471
"OK",43.4,19.6,21.8,15.2,5.8,423
"OR",34.6,24.3,21.8,19.3,5.1,442
"PA",30.2,26.6,25.3,17.9,4.6,464
"RI",29.9,22.2,28,19.9,6.6,294
"SC",35.9,23.5,24.1,16.6,5.4,432
"SD",36.1,27.7,24.7,11.5,9.3,179
"TN",28.1,23.8,24.9,23.2,5,434
"TX",31.2,20.2,30.4,18.2,5,533
"UT",34.2,24.5,22,19.3,5.7,408
"VA",32.4,24.9,24,18.8,4.9,470
"VT",38.2,17.6,27.2,17,8.7,175
"WA",26.2,24.2,30.1,19.5,5.7,367
"WI",35,26.1,21.5,17.4,5.1,433
"WV",36.4,23.6,23.5,16.5,6.1,358
"WY",46.1,23,25.1,5.7,10.9,145
