How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The White House 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",18.1,23.3,36.5,22.1,0.9,19376
"AK",20.2,15.1,40,24.6,14.2,91
"AL",11.6,17.6,39.1,31.6,5.6,418
"AR",14,19,40.5,26.5,6,423
"AZ",18.6,19.4,39.4,22.6,5.5,442
"CA",21.9,24.8,34.2,19.1,4.8,717
"CO",22.4,21.3,36.2,20.1,5.4,440
"CT",20.1,30.5,33.3,16.1,5.8,322
"DC",23.4,39,23.6,14,12.5,101
"DE",23.6,20.4,33.9,22.1,7.3,299
"FL",17.1,24.4,37.2,21.2,5.2,520
"GA",20.4,18.4,38.1,23.1,5.2,458
"HI",16.8,29.6,37.7,15.8,7.6,242
"IA",16.7,26.8,35,21.5,5.4,432
"ID",19.8,20.3,40,19.9,6.5,319
"IL",21,25.9,31.1,21.9,5.2,466
"IN",14.8,21.3,39.2,24.7,5.4,451
"KS",17.1,16.1,39,27.8,6,440
"KY",13.8,19.5,39.2,27.4,5.3,425
"LA",15.4,25.5,35,24.1,5.9,418
"MA",19.5,22.9,32.9,24.7,5,435
"MD",16.4,28.4,34.4,20.8,6.1,368
"ME",17,20.8,42.9,19.4,6.1,317
"MI",20.4,25.7,32.5,21.4,4.8,479
"MN",14.9,23.7,41.2,20.3,5.2,445
"MO",16.6,18.5,43.5,21.4,5.4,423
"MS",19.3,17.7,37,26.1,6.5,380
"MT",19.8,22.4,33.2,24.7,7.2,213
"NC",16.6,19.8,40.7,23,5,449
"ND",12.9,24.8,40.1,22.1,10.9,164
"NE",11.6,21.6,37.4,29.4,6.6,329
"NH",20.7,22.1,41.3,15.8,6.4,352
"NJ",15.9,28.9,35.4,19.9,5.1,474
"NM",21.4,19,31.9,27.7,12.4,121
"NV",18.5,26.1,31.5,23.9,5.8,432
"NY",20,26.9,31,22.2,4.7,538
"OH",15.6,21.6,36.2,26.7,4.8,472
"OK",17.6,20.3,38.9,23.2,5.7,422
"OR",22.8,28.9,32.7,15.7,5.1,442
"PA",19.3,26.7,35.6,18.5,4.8,463
"RI",16.9,25.2,34.5,23.4,6.9,295
"SC",17.1,21.9,36.9,24.1,5.5,430
"SD",10,23.2,46.8,20.1,9.6,180
"TN",13.8,20.9,42.3,23,5.5,436
"TX",12.8,22.6,37.1,27.6,5.3,535
"UT",12.2,25.8,40.4,21.6,5.9,409
"VA",20.3,23.9,33.1,22.8,4.9,468
"VT",23.4,24.7,37.4,14.5,8.7,176
"WA",26,28,31.1,15,5.8,366
"WI",19.4,24.4,37.2,19,5.2,436
"WV",11.2,22,40.1,26.7,6.2,358
"WY",6.9,20.6,50.5,22.1,11,145
