How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Donald Trump 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",32.3,17.5,25,25.2,0.9,19351
"AK",25.4,16.8,16.4,41.4,14.3,90
"AL",22,14.9,27.6,35.5,5.5,418
"AR",23.9,11.7,31.4,33.1,5.7,423
"AZ",31,15.2,26.6,27.2,5.2,441
"CA",40.4,20.7,22.1,16.9,5,714
"CO",35.1,11.3,28.7,24.8,5.3,441
"CT",38.6,19.9,22.1,19.5,6,323
"DC",41,29.9,14.8,14.2,12.7,100
"DE",35.2,21.7,21,22.1,7.4,298
"FL",30.1,20.9,23.2,25.8,5,520
"GA",29.1,16.5,26.3,28.1,4.9,458
"HI",36.1,22.2,24.5,17.2,7.6,241
"IA",34.2,18.3,25.6,21.9,5.3,432
"ID",29.1,12,33.5,25.4,6.3,319
"IL",38.8,15.3,22.1,23.8,5.5,467
"IN",24.6,17.1,27,31.3,5.2,450
"KS",27.9,14.6,31,26.5,5.7,440
"KY",25.4,14.7,27.6,32.2,5.1,423
"LA",28.6,16.3,22.9,32.2,5.8,417
"MA",35.5,19.5,20.2,24.8,5.1,434
"MD",38,14.2,28.6,19.2,6.2,367
"ME",28.7,16.4,27.9,27.1,5.6,315
"MI",37.6,17.1,24.8,20.6,5,475
"MN",28.4,17.6,28.4,25.6,4.8,445
"MO",27.1,16,26.5,30.4,5,424
"MS",31.7,14.7,20.4,33.2,6.4,381
"MT",33.7,11.3,23.3,31.8,7.3,212
"NC",31,14.7,26.3,28,4.7,448
"ND",29.8,12.1,29.4,28.8,10.2,165
"NE",25,11.9,28.5,34.6,6.5,328
"NH",37.5,16,24.3,22.2,6.3,352
"NJ",31,20.1,28.1,20.9,5,474
"NM",37.3,14.7,21.7,26.2,12.8,121
"NV",35.4,17,19.3,28.3,5.9,430
"NY",36.6,17.8,23,22.6,4.9,538
"OH",27.2,17.1,25.7,29.9,4.6,472
"OK",31.1,12.7,28.2,28,5.4,424
"OR",42.5,17.6,22.5,17.4,5.3,443
"PA",33.7,18.7,25.9,21.6,4.8,463
"RI",35.8,17.5,24,22.8,6.9,297
"SC",31.2,15,25.9,27.9,5.2,431
"SD",20,21.7,37.3,21,9.3,178
"TN",23.7,17.1,30.1,29,5.1,434
"TX",26.6,21,24.9,27.6,4.9,534
"UT",22.8,23.6,25,28.7,5.4,409
"VA",35.2,16.9,20.8,27.1,5,468
"VT",42,23.7,22.7,11.6,8.9,175
"WA",46.7,18.1,21.1,14.1,6.2,365
"WI",32.9,21.2,24.9,20.9,5,435
"WV",18.3,19.1,28.3,34.3,6,354
"WY",20.8,11.6,32.3,35.4,10.5,145
