How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Joe Biden 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",24.1,24.9,36.2,14.8,0.9,19329
"AK",29.5,38.6,20.9,11,14.3,89
"AL",27.5,27.2,31.2,14.1,5.3,418
"AR",30.8,25.5,29.3,14.4,5.6,421
"AZ",30.4,18.1,33.5,18,5.3,440
"CA",17.9,24.3,36.4,21.4,4.9,715
"CO",30.4,25.5,33.9,10.2,5.3,439
"CT",19.1,23.6,41.8,15.5,6.1,322
"DC",12.4,23.5,41.2,22.8,12.8,99
"DE",16.3,20.6,42,21,7.6,299
"FL",20.4,27.3,33.4,19,5.1,518
"GA",26.7,22.7,34.1,16.5,5.1,460
"HI",26.2,22.3,39.7,11.8,7.8,240
"IA",27.4,28.3,33.9,10.4,5.4,430
"ID",33.5,28.7,29.7,8.1,6.3,317
"IL",24,22.9,41.1,12,5.6,467
"IN",25.2,27.1,36.1,11.6,5.3,451
"KS",24.7,25.5,34.1,15.6,5.8,438
"KY",25,27.3,33.8,13.9,5.1,425
"LA",28.2,28,32.6,11.2,5.8,417
"MA",14.2,22.8,44.1,18.9,5.3,434
"MD",20.7,19.5,40.4,19.3,6.3,367
"ME",23.8,24.9,39.1,12.2,6,316
"MI",27.7,24.4,33.4,14.5,4.9,478
"MN",25.3,27,35.7,12,5.1,444
"MO",26.5,26.4,36.2,10.9,5.2,423
"MS",32,23.8,30.6,13.7,6.3,380
"MT",36.2,19.9,32.9,11,7.4,211
"NC",25.1,25.2,37.2,12.5,4.9,446
"ND",34.6,26.3,34.1,5,10.6,165
"NE",28.6,30.4,31.9,9,6.4,329
"NH",23.1,23.7,38.4,14.8,6.3,352
"NJ",20.3,26.7,40.7,12.3,5.3,473
"NM",30.4,32.9,30.7,6,12.5,121
"NV",23.1,23.5,37.2,16.2,6,433
"NY",20.6,21.2,40,18.1,4.9,538
"OH",24.1,24.8,36.3,14.7,4.8,473
"OK",33.3,23.3,34.4,9,5.6,424
"OR",21.4,31.8,30.2,16.6,5,440
"PA",26.4,25.8,32.4,15.4,4.7,463
"RI",21.8,24.1,36.3,17.8,7,294
"SC",26.8,29.5,29.3,14.3,5.2,429
"SD",28.3,28.5,37,6.2,9.4,177
"TN",26.9,26.1,37,10,5.4,433
"TX",22,24.3,38.1,15.6,5.3,533
"UT",26.6,29.8,33.5,10.1,5.6,408
"VA",24.9,20.3,36.2,18.6,5,467
"VT",17.7,35.7,37.9,8.7,8.8,174
"WA",12.3,25.4,44.7,17.6,6.2,364
"WI",23.6,23.9,41.6,10.9,5.3,435
"WV",30.2,36.8,22.7,10.2,6.1,355
"WY",49.6,23.8,21.9,4.7,11,145
