How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The police 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",6.5,15.2,45.8,32.5,0.9,19366
"AK",5.5,23.9,39,31.6,14.1,91
"AL",5.4,21,44.6,29,5.7,417
"AR",6.7,16.9,46.4,30,6.1,423
"AZ",9.2,12.5,43.3,34.9,5.6,437
"CA",7.5,17.3,46.4,28.8,5,717
"CO",5.5,14.5,51.3,28.7,5.6,440
"CT",5.1,16.8,45.8,32.3,6.2,321
"DC",15,15.6,39.1,30.2,12.6,100
"DE",6.6,15.7,41.8,35.9,7.6,302
"FL",5.6,11.9,43.9,38.6,5.4,520
"GA",7.1,19.1,43.1,30.6,5.3,459
"HI",9.7,16.5,45.7,28.1,7.8,242
"IA",6.9,15.4,45.4,32.4,5.6,432
"ID",7.8,14.7,49,28.5,6.7,317
"IL",7.2,13,50.7,29.1,5.7,468
"IN",5.5,12,42.5,40,5.5,452
"KS",5.8,16.7,45.2,32.4,6.1,440
"KY",4.2,16.6,47.2,32,5.4,426
"LA",7.6,21,44,27.4,6.1,417
"MA",3,9.8,41.1,46.2,5.3,437
"MD",2.6,15.3,51.5,30.5,6.4,369
"ME",3.2,11.8,48.3,36.7,6.2,315
"MI",6.7,18.4,43.4,31.6,5.1,477
"MN",6.2,15.1,41.9,36.8,5.2,444
"MO",6.7,16.8,41.6,35,5.4,423
"MS",8.7,14.9,49.8,26.6,6.7,383
"MT",6.2,12.8,45.5,35.5,7.7,212
"NC",7.5,12.9,49.8,29.7,5.1,448
"ND",4.1,19.8,50.5,25.7,11.1,165
"NE",2.9,13.5,49.1,34.5,6.8,328
"NH",5.6,12.5,46.9,35,6.5,351
"NJ",4.7,13.1,44.8,37.5,5.3,474
"NM",2.3,20,36.6,41,13,121
"NV",6.9,15.2,43.8,34,6.1,433
"NY",6.4,12.7,44.4,36.6,5,538
"OH",7.3,9.9,46.2,36.5,5,472
"OK",7.5,23.3,40.9,28.3,5.8,423
"OR",5.9,14.9,52.6,26.6,5.4,443
"PA",5.7,17,51.3,26.1,5,463
"RI",7.1,13.4,41.9,37.7,7.1,296
"SC",5.8,17.4,45.1,31.7,5.6,431
"SD",3.3,23.6,51.4,21.8,9.6,179
"TN",5.7,14.8,43,36.5,5.5,433
"TX",6.7,16.5,46,30.8,5.4,533
"UT",6.2,16.2,47.8,29.8,6,408
"VA",6.3,17.9,48.3,27.5,5.2,465
"VT",3.6,14.1,48.1,34.1,9,176
"WA",5.4,14.7,47.6,32.3,6.2,367
"WI",2.5,17.9,48.5,31,5.3,436
"WV",6.4,16.3,46.7,30.6,6.3,357
"WY",2.1,13.9,51.7,32.3,11,145
