How often do you talk to people about the current coronavirus (COVID-19) outbreak,  either in person, over the phone, or electronically? 
"","Never","Less than once a week","Once a week","A few times a week","Daily","A few times a day","Error Margin","N"
"National",4.1,9.2,7.8,29.5,33,16.5,0.8,20292
"AK",8.3,8.2,9.3,34,30,10.2,9.8,135
"AL",2.4,12.4,10.5,30.9,26.9,16.9,5.9,384
"AR",5.3,17,8.6,31.4,23.3,14.4,6.6,366
"AZ",6.5,9.7,9.3,33,27.2,14.2,7.1,320
"CA",5.6,10.2,7.5,28.2,31.8,16.7,4.2,730
"CO",5.1,11.2,8.6,30.4,29.5,15.2,5.8,389
"CT",1.3,5.7,7.7,28.2,33.6,23.6,6.1,358
"DC",3.8,5,7.1,17,42.6,24.5,10.2,168
"DE",2.6,5.2,7.1,28.8,38.9,17.5,6.3,340
"FL",5.7,8.8,9.3,27.8,34.1,14.3,4.2,666
"GA",5.8,7.5,9.5,27.8,33.7,15.7,5.2,496
"HI",3.6,16.2,13.2,25.5,29.4,12,8.1,216
"IA",2,9.5,8,31.5,32.1,16.9,5.6,389
"ID",2.9,9.8,9.2,30.1,33.3,14.6,6,359
"IL",4.4,9,6.7,29.5,29.8,20.6,4.5,533
"IN",1.9,10.2,7.4,30.1,35,15.5,5.5,445
"KS",3.1,7.5,8.5,30.9,31.2,18.9,5.5,442
"KY",4.3,8.1,5.4,33.1,31.1,18,5.5,400
"LA",5.9,11.4,6.7,24.8,34,17.2,6.4,390
"MA",1.7,5,4.6,30.8,37.5,20.4,4.8,475
"MD",4.3,6.4,5,29.3,39.8,15.3,5.7,402
"ME",3.7,7.6,7.5,32.1,32.4,16.7,5.4,372
"MI",5.2,8.2,7,27.4,33,19.2,4.6,528
"MN",1.4,11.3,6.8,32.6,28,20,5.5,422
"MO",4.3,10.2,9.5,24.9,34.8,16.3,4.9,479
"MS",2.1,7.2,8.8,28.1,38.2,15.6,7.2,348
"MT",2.1,12.8,7.8,33.6,31.2,12.4,7.2,256
"NC",4.6,8.4,9.3,31.1,33.3,13.2,4.7,526
"ND",2.8,5.9,7.5,31.4,39,13.5,8.4,212
"NE",2.3,12,8,31.1,26.9,19.7,7.1,263
"NH",2.5,5.8,6,32.9,36.6,16.2,5.5,369
"NJ",3.2,6.6,5.4,29.5,36.2,19.1,4.6,541
"NM",4.9,9,9.3,34.3,28.1,14.4,9.9,211
"NV",5.4,10.1,7.8,28.7,28.7,19.4,5.6,395
"NY",3.4,9.2,5.8,28.9,32.8,20,4.3,625
"OH",3.2,8.4,7.4,28.7,36.5,15.9,4.6,531
"OK",2.1,15.8,12.3,31.5,24.6,13.7,6.8,333
"OR",4.1,13.4,8.7,30.9,30.4,12.5,5.1,410
"PA",5,10.9,5.3,31.1,31.4,16.3,4.2,566
"RI",3.7,5,5.7,25.2,46.4,14.1,6.6,319
"SC",4,10.7,5.8,33.4,31.3,14.8,5.8,424
"SD",3.1,11.4,11.4,27.9,37.9,8.2,7.8,230
"TN",4,12.2,6.2,32.1,32.7,12.8,5.2,454
"TX",3.7,9,9.3,27,35,16,5.2,582
"UT",4.2,9.5,6.5,34.7,30.2,14.8,6.8,314
"VA",4,9.2,5.7,29.9,35.1,16,4.6,511
"VT",2.3,10,8.3,24.1,35.8,19.5,7.4,241
"WA",3.4,8,11.7,28.5,30.1,18.3,5.1,436
"WI",3.2,11.7,7,25.3,36.5,16.3,4.8,549
"WV",5.3,9.2,10.5,25.9,35.2,13.9,6.4,327
"WY",1.9,11.9,8.8,30.4,26.8,20.2,11.7,115
