I feel well-informed about government guidelines with regard to the outbreak. 
"","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Error Margin","N"
"National",3.4,7.2,14.6,42.7,32.1,0.9,20258
"AK",2.7,23.2,17.5,37.6,19,10.2,130
"AL",3.9,7.8,15.9,40.8,31.6,6.3,384
"AR",2.7,7.4,18.5,47,24.4,7.1,366
"AZ",3.8,7.1,10.3,51.5,27.4,7.6,319
"CA",2.4,8.6,15,42,32,4.4,730
"CO",4.5,8.6,16.4,42.5,28.2,6.2,389
"CT",2.5,7.4,15,40.5,34.6,6.4,357
"DC",4.5,10.7,12.8,49.3,22.7,10.3,167
"DE",6.5,8.5,11.2,40.6,33.1,6.4,339
"FL",3.6,6.1,12.5,42.2,35.5,4.4,665
"GA",3.8,7.5,15.6,42.5,30.6,5.4,494
"HI",3.1,9.1,15,41.4,31.5,8.8,215
"IA",3,7.8,17.5,44.8,26.8,6,387
"ID",4.6,6.8,14.6,39.8,34.3,6.3,358
"IL",5,6.5,16.2,43.1,29.2,4.9,533
"IN",5,5.4,14.8,42.4,32.4,5.7,445
"KS",2.1,6.8,15.8,44.1,31.2,5.9,441
"KY",4.2,6.6,10.9,46.9,31.4,5.9,401
"LA",3.6,4.1,16.2,40.3,35.8,6.7,388
"MA",2.5,6.5,14.6,41,35.3,4.9,474
"MD",3.8,6.5,14.2,44.8,30.7,5.8,402
"ME",3.6,7.4,14.1,46.8,28.1,5.7,373
"MI",4.6,5.8,16.4,40.3,32.9,4.8,529
"MN",3.6,7.9,13.9,45.3,29.3,5.8,422
"MO",4.1,10.6,16.8,38.4,30,5,479
"MS",3.1,6.8,13.5,36.8,39.8,7.2,348
"MT",1.7,8.5,17.2,43.4,29.1,7.5,256
"NC",2.2,6.8,12.7,43.7,34.6,5,524
"ND",2.4,9.5,12.7,47,28.4,8.6,211
"NE",3.5,9,10.2,48.8,28.6,7.6,264
"NH",4.2,6.3,14.8,43.4,31.3,5.7,367
"NJ",2.4,5.8,13,46.9,32,4.8,539
"NM",4.6,5.9,15.3,46.2,27.9,10.4,211
"NV",4.2,4.6,16.6,42.7,32,6.1,396
"NY",1.7,5.8,10.2,45.2,37.1,4.5,625
"OH",2.6,5.8,13.8,44.4,33.5,4.8,527
"OK",1.9,6.2,18.4,40.2,33.4,7.2,332
"OR",4.4,9.3,15.6,42.8,27.8,5.5,409
"PA",3.6,6.5,13.5,41.4,35,4.5,566
"RI",3.7,5.1,10.4,48,32.8,6.6,319
"SC",2.2,8.7,13.9,41.5,33.8,6.1,420
"SD",1.7,7.1,18.9,43.1,29.1,8,230
"TN",4,7.7,12.8,45.1,30.3,5.5,455
"TX",3.8,6.8,16.4,37.7,35.2,5.2,582
"UT",4.8,5.9,14.7,43.8,30.8,7.1,314
"VA",2.2,8.2,14.4,43.4,31.8,4.8,509
"VT",2.8,8.3,9.8,46.1,33.1,7.7,241
"WA",3.5,11.1,13.9,45.3,26.1,5.5,436
"WI",3.4,10.7,14.7,42.6,28.6,4.9,548
"WV",1.5,4.7,9.4,45.8,38.6,6.7,327
"WY",3.9,6.4,13.6,39.5,36.6,12.4,115
