When should the country reopen the economy and resume business activity? 
"","Immediately","In the next two weeks","After two to four weeks","After four to six weeks","After six to eight weeks","After more than eight weeks","Error Margin","N"
"National",10.8,11.8,17.1,19,15.1,26.3,0.8,20266
"AK",17.3,11.9,14.7,19.3,12.9,23.9,8.9,135
"AL",15.5,13.7,17.2,18.9,11.1,23.6,5.4,384
"AR",17.2,18.5,15.5,15.1,10,23.8,6.1,364
"AZ",13.7,16.1,21.4,17.1,11.1,20.6,6.2,320
"CA",9.4,9.7,17.4,16.2,15.7,31.6,4.2,729
"CO",15.6,13.7,20.3,15.5,13.7,21.1,5.1,386
"CT",6.8,7.9,12.1,22.1,19.3,31.7,6,358
"DC",8.5,1.2,17.7,17.6,22.5,32.5,9.6,168
"DE",9.3,9.7,16.5,16.5,18.7,29.3,5.9,340
"FL",11.1,14,16.4,18,13.7,26.8,3.9,667
"GA",12.2,9.7,12.9,17.5,17.4,30.3,5,496
"HI",6.4,5.6,14.7,22.4,16.2,34.8,8.5,215
"IA",10.9,10.3,19.4,21.9,16.8,20.6,4.9,388
"ID",16.4,13.6,22.9,16.2,12.4,18.5,5.4,359
"IL",10.8,10.3,15.5,21.1,14.4,27.9,4.4,532
"IN",11.2,14.6,16.8,21.4,12.7,23.4,4.9,443
"KS",12.8,14.2,17.9,23.6,12.4,19.1,5.1,441
"KY",7.6,9.9,16.8,16.9,17.2,31.6,5.5,399
"LA",13.8,12.8,15.8,18.1,12.7,26.8,6.1,387
"MA",5,7.8,20.9,23.7,14.4,28.3,4.5,474
"MD",7.2,9.6,12.6,17.9,19.9,32.8,5.4,401
"ME",10.9,12.3,17.1,20.3,16,23.4,4.9,373
"MI",10.9,10.1,19.9,19.5,15.4,24.1,4.2,528
"MN",15,17.9,20.3,16.1,12.8,18,4.7,422
"MO",13.8,18.5,18.5,16,12.9,20.3,4.1,478
"MS",14.8,14.3,13.6,20.4,9.9,26.9,6.5,348
"MT",14.2,21,19.7,11.8,16.5,16.9,6.2,255
"NC",12.1,10.5,19.8,18.8,16.6,22.2,4.2,524
"ND",16.8,12.3,19.5,15.5,14.8,21.1,7,212
"NE",13.2,13.6,21.1,16,14.1,22,6.3,264
"NH",8.6,9.5,17.4,24.1,16.8,23.6,4.9,370
"NJ",6,9.3,17.7,21.3,15.9,29.7,4.4,539
"NM",13.3,10.1,12.2,20.4,18,26.1,9.2,210
"NV",13.2,17.6,13.4,14.9,15,25.9,5.4,395
"NY",5.8,8.4,17.3,20.1,15.8,32.6,4.3,624
"OH",10.3,15.4,16.7,18.6,13.9,25.2,4.2,529
"OK",12.5,11.3,16,21.5,10.9,27.8,6.6,333
"OR",11.7,15.7,14.7,18.3,16.1,23.4,4.7,410
"PA",11.4,14,19.3,19.8,14.3,21.2,3.7,566
"RI",6.8,13.8,18.4,18.7,17,25.5,5.8,318
"SC",10.3,12.9,20.2,20.7,15.4,20.5,5,423
"SD",16.7,12.6,16.8,14.2,16.3,23.4,6.8,230
"TN",14.5,13.1,13.2,21.2,12.2,25.8,4.9,456
"TX",8.7,9.3,12.7,22.1,14.2,32.9,5.1,582
"UT",18.1,12.2,17.8,25.1,11.9,14.9,6.2,312
"VA",9.3,10.7,14.8,18.2,21.1,25.9,4.2,511
"VT",6.4,8.1,23.1,25,14.4,23.1,6.7,242
"WA",7.2,12.9,12.3,18.5,19.4,29.6,5.1,435
"WI",9.7,13.1,20.6,22.1,16.2,18.4,4.1,549
"WV",11,10.7,19.4,21.5,16,21.4,5.5,327
"WY",28.7,18.1,9.8,13.4,4.4,25.6,11.5,115
