Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Closing K-12 schools 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",4.4,7.2,21.8,66.7,0.8,20182
"AK",8.8,11.8,23.3,56.1,10.3,134
"AL",3.8,6.5,20.8,68.9,6,382
"AR",4,9.3,28.6,58.1,7.1,364
"AZ",5,13.4,21.7,59.9,7.4,318
"CA",4.6,6.2,23.7,65.6,4.3,728
"CO",6.5,15.6,22.6,55.3,6.2,389
"CT",3,3.7,20.1,73.2,5.7,357
"DC",2.1,1.2,16.1,80.6,8.2,166
"DE",4.6,6.8,19.8,68.9,6,337
"FL",3.5,6.2,21.4,68.9,4.1,663
"GA",5.5,4.3,15,75.1,4.8,490
"HI",3.4,6.2,20.5,69.9,8.2,215
"IA",4.6,9.9,26,59.5,5.9,387
"ID",7.3,11,25.2,56.5,6.4,357
"IL",6.2,5.5,24.1,64.3,4.7,530
"IN",2.8,9.1,19.7,68.5,5.4,442
"KS",3,9.5,22.2,65.3,5.7,441
"KY",3.4,4,22.1,70.5,5.4,399
"LA",4.7,4.3,19.3,71.8,6.1,389
"MA",2.9,4.9,20,72.2,4.5,472
"MD",2,5.1,16.7,76.2,5,398
"ME",3.1,6.7,19.6,70.6,5.3,367
"MI",6,6,22.5,65.5,4.7,524
"MN",4.5,13.2,26.4,55.9,5.8,421
"MO",6.7,8.1,21.2,64,4.9,476
"MS",3.5,7.1,20.9,68.6,6.9,346
"MT",6.3,6.7,24.6,62.4,7.4,255
"NC",5.8,8.4,22.9,62.9,4.8,522
"ND",3.1,13.1,24.6,59.2,8.5,210
"NE",7.1,9.4,22.3,61.2,7.4,264
"NH",4.7,7.8,16.4,71.1,5.2,369
"NJ",3.8,5.8,15.9,74.5,4.2,540
"NM",3.5,3.7,27.5,65.3,10,210
"NV",6.3,8.2,20.9,64.6,5.9,396
"NY",2.1,6.6,20,71.4,4.1,622
"OH",3.4,7.4,25.2,64,4.6,528
"OK",2.2,8.8,20.7,68.2,6.9,329
"OR",5.5,11.8,24.5,58.1,5.5,406
"PA",5.5,8,23,63.4,4.4,564
"RI",1.8,4.7,19,74.5,5.8,317
"SC",4.5,8,20.6,66.9,5.8,422
"SD",3.5,9,29.1,58.4,7.9,229
"TN",4,8.3,19.2,68.4,5.2,453
"TX",3.3,6.6,20.3,69.8,5,578
"UT",4.8,9.9,25.2,60,7,313
"VA",7.2,5.7,21.6,65.5,4.6,508
"VT",3.9,6.5,23.1,66.6,7.3,240
"WA",2.3,7,25.1,65.5,5.3,433
"WI",5.1,7.2,21.8,65.9,4.7,546
"WV",1.6,7.8,16.8,73.8,5.9,324
"WY",13.7,14.6,20.5,51.2,12.8,112
