Do you approve or disapprove of the following measures which federal, state, and local governments could take to prevent the spread of coronavirus (COVID-19) in the next 30 days? - Tracking people’s cell phone location to find out who was in contact with a sick person 
"","Strongly disapprove","Somewhat disapprove","Somewhat approve","Strongly approve","Error Margin","N"
"National",34.1,22.1,23.6,20.3,0.9,20190
"AK",43.9,25.4,17.6,13.1,10.3,135
"AL",40.8,17,22.4,19.9,6.3,383
"AR",45.8,24,13.7,16.6,7.2,363
"AZ",37.2,17.4,24.1,21.2,7.3,317
"CA",27.2,21.9,26.3,24.6,4,729
"CO",35.8,26.9,19.9,17.5,6,387
"CT",30.8,24.4,22.7,22.1,6,357
"DC",20.7,15.2,38.5,25.6,10.1,166
"DE",42.8,19.2,19.4,18.7,6.4,339
"FL",31.7,20.2,24.1,24,4.2,664
"GA",33,22.6,21.8,22.6,5.2,491
"HI",30.8,24.1,22.4,22.7,8.2,216
"IA",38.8,23.6,22.6,15,5.8,387
"ID",45.3,24.8,15.7,14.3,6.4,359
"IL",36.3,21.8,24.9,16.9,4.8,529
"IN",37.8,24.1,23.9,14.2,5.6,443
"KS",30.3,26.6,24.4,18.6,5.5,442
"KY",33.4,24.6,23.1,18.9,5.6,400
"LA",37.8,18.7,18.7,24.8,6.6,389
"MA",25.5,23.5,28.1,23,4.5,472
"MD",30,22.6,25.4,21.9,5.3,399
"ME",40,22.6,20.4,17,5.6,371
"MI",34.5,26.1,23.5,16,4.7,523
"MN",36.2,22.5,26.8,14.5,5.6,420
"MO",37.6,19,25.6,17.9,5,476
"MS",37.6,22.6,16.5,23.3,7.2,347
"MT",40.1,19.7,23.6,16.6,7.4,256
"NC",32.9,28.4,19.2,19.5,4.7,523
"ND",25.1,27.3,21.8,25.8,7.7,210
"NE",41.2,22.2,23.9,12.6,7.5,263
"NH",36.9,19,24.1,20,5.5,370
"NJ",26,25.9,26.9,21.2,4.3,539
"NM",32.9,23.6,29.1,14.5,9.8,211
"NV",30.7,19.8,25,24.6,5.7,393
"NY",28.6,18.5,28.1,24.7,4.1,620
"OH",34.9,21.7,26.6,16.8,4.6,528
"OK",43.1,25.3,16.2,15.4,7.3,328
"OR",45.2,23.9,19.1,11.8,5.5,409
"PA",35.5,23.6,22.2,18.6,4.4,560
"RI",30.9,21,21.8,26.4,6.1,319
"SC",38.4,24.9,19.4,17.3,6,420
"SD",42.6,22.7,22.2,12.5,8,229
"TN",38.1,24.5,19.9,17.4,5.4,451
"TX",31.7,22.6,26.9,18.8,5.1,577
"UT",36.5,24.4,25.8,13.4,6.9,312
"VA",36.5,20.6,25.1,17.8,4.7,509
"VT",38.7,16.7,24.6,20,7.5,241
"WA",32.9,21.1,25.7,20.3,5.2,435
"WI",37,20.3,25.4,17.3,4.8,546
"WV",38,27.2,19.7,15.1,6.6,325
"WY",54.1,12,11.7,22.1,12.8,112
