How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Donald Trump 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",35.2,16,25.7,23.2,0.9,20184
"AK",30.8,20,32.2,17,9.7,134
"AL",25,14.3,31,29.6,5.9,383
"AR",27.5,12.8,26.6,33.1,6.8,360
"AZ",30.2,18.7,24,27.1,7,316
"CA",43.6,14.3,21.9,20.2,4.5,729
"CO",38.9,16.5,24.2,20.4,6.1,389
"CT",39.7,18.1,23.4,18.7,6.3,358
"DC",63.4,11.6,17.7,7.3,10,165
"DE",39.9,14.7,23.3,22.1,6.3,339
"FL",33.4,17.2,24.5,24.9,4.2,663
"GA",36.8,14.5,23.1,25.6,5.3,494
"HI",36.2,26.3,24.1,13.4,8.5,216
"IA",36.6,14.9,26.9,21.6,5.8,386
"ID",27.8,17.5,31.2,23.5,5.9,358
"IL",39.3,15.9,25.8,19,4.8,531
"IN",30.2,14.3,26.5,29,5.3,440
"KS",28.7,16.6,30.5,24.1,5.5,440
"KY",33.1,11.9,26.1,28.9,5.5,400
"LA",28.9,16.2,25.8,29.1,6.2,389
"MA",38.4,18.2,22.7,20.7,4.9,471
"MD",43,16.7,26.7,13.6,5.8,398
"ME",39.7,16.7,23.5,20.1,5.6,369
"MI",42.4,15.5,25.6,16.5,4.9,523
"MN",34.5,18.4,26.1,21.1,5.6,421
"MO",30.9,12.3,28.2,28.5,4.7,478
"MS",22.5,14.3,28.6,34.5,7,346
"MT",33.5,11.7,25,29.8,7.2,255
"NC",33.6,15.3,26,25,4.7,521
"ND",37.3,9.5,27.7,25.6,8.3,210
"NE",29.3,11.3,27.4,32,7.1,264
"NH",39.2,18.9,19.7,22.2,5.6,369
"NJ",32.7,16.7,29.4,21.1,4.5,538
"NM",41.4,13.9,27.2,17.4,10.3,210
"NV",36.9,17.4,24.3,21.5,5.9,397
"NY",39.1,17.2,24.3,19.4,4.4,621
"OH",32.5,13.4,27.5,26.6,4.5,526
"OK",26.2,19.9,23.8,30.1,6.8,331
"OR",42.8,14.5,24.8,17.9,5.4,410
"PA",33.8,16.7,25.9,23.6,4.3,563
"RI",42.1,16.2,25.7,16,6.6,318
"SC",31.7,14.2,26.6,27.5,5.7,423
"SD",33.5,14.6,28.8,23.1,7.7,226
"TN",30.2,14.2,26.7,28.8,5.1,452
"TX",33.2,17.6,27.1,22.2,5.1,576
"UT",25.6,12.1,32.6,29.7,6.7,313
"VA",38.6,15.5,22.1,23.8,4.7,508
"VT",43.8,14.8,28.6,12.8,7.7,240
"WA",48.8,14.8,19.8,16.6,5.5,432
"WI",41,18.6,22.4,17.9,4.9,548
"WV",20,11.6,36.8,31.6,6.5,324
"WY",16.2,7.7,32.5,43.6,12.7,113
