On the issue of voting by mail in your state, are you: 
"","Not at all confident","Not very confident","Somewhat confident","Very confident you know how the process works","Error Margin","N"
"National",15.2,21.9,34.8,28.1,0.9,20195
"AK",17,16.2,34.2,32.6,9.9,134
"AL",20.5,23.5,36.5,19.4,6.2,382
"AR",30.5,25,29,15.4,6.6,363
"AZ",9.4,10.6,27.3,52.7,7.6,316
"CA",7.7,13.2,31.9,47.2,4.5,727
"CO",8.1,16.7,24.2,51,6.3,389
"CT",17.3,26.6,36.5,19.6,6.2,358
"DC",10.5,27.8,37,24.7,9.9,168
"DE",16.6,26.2,35.2,22,6.2,339
"FL",11.4,18,34.3,36.2,4.3,663
"GA",13.8,21.3,38.9,26.1,5.4,494
"HI",12.2,20.5,39.1,28.1,8.7,216
"IA",9.5,23.3,40.2,27,5.9,386
"ID",16.3,20.5,30.4,32.8,6,358
"IL",13.9,25.2,37.2,23.7,4.8,530
"IN",18.9,24.3,33.9,22.9,5.5,442
"KS",14.2,22.3,35.1,28.4,5.7,440
"KY",22.6,26.6,35.5,15.2,5.6,399
"LA",23.8,25.2,33.6,17.4,6.4,388
"MA",12.3,25.7,39.8,22.3,4.9,475
"MD",14.9,20,37.7,27.4,5.6,401
"ME",18.9,21.4,31.9,27.8,5.4,371
"MI",12.8,22.8,32.1,32.3,4.6,527
"MN",13.8,24,41.8,20.4,5.8,419
"MO",18.7,25.7,33.2,22.4,4.8,479
"MS",29.8,26.8,29.5,13.8,6.8,345
"MT",13.4,10.9,27.6,48.1,7.6,255
"NC",20.6,25.3,34.2,19.8,4.8,522
"ND",7.9,19.7,41.8,30.6,8.5,212
"NE",16.4,16.4,36.4,30.8,7.3,263
"NH",15.9,26.1,36.5,21.6,5.5,370
"NJ",13.3,25.7,38.7,22.3,4.7,534
"NM",19.9,18.6,43.8,17.8,10.5,209
"NV",10.4,22.1,35.8,31.8,5.9,397
"NY",16.6,23.2,37.8,22.3,4.4,618
"OH",11.9,18.6,33.2,36.3,4.7,526
"OK",18.3,30.5,35.2,16.1,7,332
"OR",6.9,11.4,27.2,54.5,5.5,407
"PA",17.7,22.5,35.5,24.3,4.4,563
"RI",10.4,25.3,37.7,26.7,6.5,317
"SC",21.9,29.6,27.6,21,5.6,422
"SD",10.5,25.2,38.3,25.9,7.9,226
"TN",24.5,24.8,33.6,17.1,5.3,454
"TX",18.6,28.3,33.9,19.2,5.1,579
"UT",13.2,12.6,36.4,37.8,7,310
"VA",18.7,21.5,35.8,24,4.6,509
"VT",13.7,21.2,37.5,27.6,7.5,240
"WA",10.2,12.3,28.9,48.6,5.5,433
"WI",15.4,22.1,32.6,29.8,4.7,548
"WV",11.6,29.4,41.6,17.4,6.6,326
"WY",20,25.1,35.8,19.2,12.2,114
