Would the lifting of the federal government’s social distancing guidelines change how you go about your life? 
"","Yes, I would go out and meet people the way I did before the virus outbreak","Yes, I would go out and meet people more, but I would be cautious about it","No, I would stick to staying home and keeping away from people","No, I was never staying home or keeping away from people anyway","Error Margin","N"
"National",8.2,29.4,58,4.4,0.9,20241
"AK",8.1,29.4,55.4,7.1,10.4,134
"AL",10.8,25.9,60.3,3.1,6.3,384
"AR",6.8,30.9,56.9,5.5,7.1,363
"AZ",9.2,29.3,57,4.5,7.5,317
"CA",10.2,29.9,56.8,3.1,4.5,728
"CO",11.7,28.6,56.6,3.2,6.2,388
"CT",5.3,29.9,60,4.8,6.3,358
"DC",11.6,23.5,62.4,2.6,10,167
"DE",6.5,31.5,60.4,1.6,6.3,339
"FL",10.7,27.4,58.4,3.5,4.4,667
"GA",6.7,22.9,66.8,3.6,5.2,496
"HI",3.4,39.7,48.2,8.7,8.9,217
"IA",7.4,30.2,58.1,4.2,5.9,387
"ID",8.6,30.7,51.8,8.9,6.4,355
"IL",9.3,28.4,58.4,4,4.9,532
"IN",4.2,31.9,56.9,7,5.7,444
"KS",6.5,29,56.5,8,5.9,442
"KY",5.4,26.9,61.5,6.2,5.7,400
"LA",10.4,24.6,59.6,5.3,6.7,389
"MA",5.4,29.1,61,4.5,4.9,475
"MD",5,29.6,63,2.5,5.6,399
"ME",7.8,30.3,57.5,4.3,5.7,370
"MI",6.3,30.5,60.3,2.8,4.8,526
"MN",8.8,31.1,55.3,4.8,5.8,422
"MO",10.8,29.7,54.8,4.7,5.1,477
"MS",8.3,28.3,58.9,4.5,7.3,347
"MT",10.2,31.8,53.8,4.1,7.6,255
"NC",10.7,27.9,55.7,5.7,5,523
"ND",9.7,26.8,56.5,7.1,8.5,211
"NE",10,35,48.7,6.2,7.6,264
"NH",4.6,31.5,59.1,4.7,5.6,370
"NJ",5.5,36,54,4.5,4.8,540
"NM",4.7,33.4,59.1,2.8,10.3,211
"NV",13.2,29.2,54,3.6,6.1,395
"NY",8.7,29,59.6,2.7,4.5,623
"OH",7.9,29.3,58.5,4.4,4.7,529
"OK",5.4,28.2,59.7,6.6,7.2,332
"OR",6.8,32.5,53.6,7,5.5,410
"PA",8.7,31.2,55.4,4.7,4.5,566
"RI",8.5,27.5,62,2,6.5,315
"SC",8.3,29.3,56.8,5.6,6.1,422
"SD",2.3,37.8,57.3,2.6,8,227
"TN",6.9,30.7,59,3.5,5.5,456
"TX",6,23.6,66.2,4.2,5.1,580
"UT",8.3,36.2,49.3,6.2,7.1,312
"VA",8.4,28,59.7,3.9,4.7,510
"VT",4.3,35.2,52.5,7.9,7.7,241
"WA",9.6,29.8,56.7,4,5.5,436
"WI",5.1,31.1,60,3.8,4.9,549
"WV",6,22.5,68.5,3,6.2,327
"WY",7.2,40.5,41.7,10.5,12.6,114
