Would you approve or disapprove of the federal government lifting social distancing guidelines asking people to stay home to prevent the spread of coronavirus (COVID-19)? 
"","Strongly disapprove","Disapprove","Neither approve or disapprove","Approve","Strongly approve","Error Margin","N"
"National",18.1,26.2,19.9,20.6,15.2,0.8,20245
"AK",17.4,30.1,22.1,18.5,11.8,9.6,134
"AL",14.4,26.5,19.7,22.8,16.7,5.7,384
"AR",14.2,24.8,26.7,22.3,11.9,6.4,363
"AZ",12.7,24.9,21.7,20.6,20,6.5,318
"CA",17.8,26.3,14.7,20.2,21.1,4,730
"CO",14.2,26.7,22.7,21.5,14.8,5.6,388
"CT",18.1,33.2,18,18.4,12.3,6.1,358
"DC",25.1,19.5,20.7,16.5,18.2,9,167
"DE",23.9,30.2,13.9,19.5,12.5,6,339
"FL",16.1,25.3,17.9,23.2,17.5,3.9,666
"GA",22.2,24.1,17.9,19.6,16.1,4.7,493
"HI",18,25.4,20.9,22.1,13.5,7.7,217
"IA",14,29.6,21.3,23.9,11.1,5.5,387
"ID",15.9,25.9,23.9,25.6,8.7,5.6,357
"IL",17.9,28.5,20.9,20.2,12.4,4.5,531
"IN",15,26.6,23.8,22.6,12,5.1,444
"KS",15.1,24.4,24.7,21.2,14.6,5.1,442
"KY",18.7,27.6,21.4,17.7,14.6,5.3,401
"LA",20.8,23.2,20.1,16.2,19.7,5.7,389
"MA",23.9,27.4,20.3,15,13.4,4.4,475
"MD",24.5,24.4,20.5,17.4,13.3,5,402
"ME",18.1,27.4,21.3,19.4,13.9,5.1,371
"MI",23.4,24.1,18.9,21.2,12.4,4.2,528
"MN",17.3,24.5,19.2,26.2,12.9,5.2,420
"MO",19.4,21.5,22.8,19.1,17.1,4.3,478
"MS",11.6,19.5,26.1,26.6,16.3,6.5,348
"MT",11.8,33.4,19.3,24.2,11.3,7.2,255
"NC",19.2,23.6,19.8,20.7,16.8,4.3,523
"ND",19.5,22.9,19.3,25.5,12.8,7.5,212
"NE",22.5,25.1,19,19.5,13.9,6.6,263
"NH",23.9,30.6,19.9,14,11.6,5.3,370
"NJ",17.1,29.2,16.4,20.1,17.2,4.4,538
"NM",15.7,30.9,24.4,17.3,11.8,9.7,211
"NV",18.7,22.2,18.9,19,21.1,5.1,397
"NY",19.6,28.4,18.5,19.5,14,4.1,619
"OH",17.2,25.1,22.1,19.6,16.1,4.2,530
"OK",18,26.7,22.6,20.5,12.3,6.5,332
"OR",22.8,26.7,18.4,22.3,9.7,4.9,408
"PA",16.8,24.7,23.1,23.3,12.1,4,562
"RI",17.5,33.2,17.9,19.3,12.1,6.3,319
"SC",17.8,27.1,21.8,20.3,13,5.5,423
"SD",12.7,28,24.3,23.7,11.3,7.2,230
"TN",15.2,31.1,17.9,20.5,15.3,5.1,456
"TX",19.8,25.4,21.4,20.3,13.2,4.7,581
"UT",13.2,27.2,21.3,25.5,12.8,6.4,312
"VA",23.1,26.9,17.1,17.9,15,4.3,511
"VT",17.2,32.3,19.1,23.9,7.5,7.2,241
"WA",21.8,26.5,15.8,20.7,15.2,4.9,433
"WI",16.3,33.9,18.2,18.2,13.5,4.7,548
"WV",14.8,37.1,19.4,14.7,14.1,6.5,326
"WY",17.4,7.3,36.6,24,14.8,12.2,115
