Would you support making it easier to vote in November by mail? 
"","Strongly oppose","Oppose","Neither support or oppose","Support","Strongly support","Error Margin","N"
"National",9.7,6.3,23.8,22.4,37.8,0.9,20234
"AK",10,9.1,31.5,19.7,29.7,9.7,134
"AL",15.9,6,25.1,20.8,32.2,6,384
"AR",20.1,5.9,31.7,22.2,20,6.7,363
"AZ",7.7,3.9,20.1,24.6,43.7,7.5,317
"CA",4.6,3,19.9,20.5,52.1,4.5,728
"CO",5.2,4.2,20,22.1,48.5,6.3,389
"CT",10.9,5.3,21.2,27.2,35.3,6.2,358
"DC",4,7.6,14.1,29.4,44.9,10.2,168
"DE",11,6,23.9,17.2,41.9,6.4,339
"FL",6.5,7.2,22,22.4,42,4.4,663
"GA",9.1,6.4,19.8,24.3,40.5,5.4,495
"HI",2.7,3.2,30.8,22.1,41.2,8.8,215
"IA",6,4.2,26.2,22.7,41,5.9,386
"ID",10.1,10.5,23.2,22.4,33.8,6.1,358
"IL",12.9,6.3,22.2,20.9,37.6,4.8,530
"IN",12.5,7.7,27.2,22.7,29.9,5.3,442
"KS",12.4,7,25.8,17.3,37.5,5.8,442
"KY",11.8,9.6,24.9,20.6,33,5.5,400
"LA",18.6,5,22.9,26.5,27,6,388
"MA",7.6,6.3,24.5,26.6,34.9,4.8,475
"MD",8.8,5.4,22.4,20.7,42.7,5.7,402
"ME",12.7,8.9,19.6,22.1,36.8,5.5,373
"MI",10,8.5,21.5,20.1,40,4.8,526
"MN",11,6.5,27,26.2,29.2,5.3,421
"MO",12.8,6.8,21,22.5,37,5,478
"MS",17.3,8.2,30.3,19.5,24.7,6.8,346
"MT",8.1,7.9,24.9,14.8,44.3,7.5,256
"NC",15.9,10.1,22.4,21.8,29.7,4.6,525
"ND",9.8,5,18.4,26.1,40.6,8.4,212
"NE",12.6,6.6,22.1,20,38.7,7.4,263
"NH",12.2,6.3,22.6,21.9,37.1,5.6,369
"NJ",9.3,7.6,24.5,26.3,32.4,4.5,537
"NM",9.2,7.3,25.1,29.9,28.5,9.6,211
"NV",8.3,7.6,18.2,23.9,42,6.1,397
"NY",9.5,4,25.9,23.9,36.6,4.4,620
"OH",8.4,5.2,22.5,22.5,41.4,4.7,530
"OK",9.7,8.3,28.6,20.3,33.2,6.9,331
"OR",3.8,3.6,19,19.6,54,5.5,408
"PA",13.7,7.9,23.4,20.6,34.5,4.3,564
"RI",8.1,6.8,23.4,19.8,41.9,6.6,318
"SC",15.8,9.4,25.4,20.3,29.1,5.6,422
"SD",11.5,7.2,30.4,21.1,29.9,7.4,227
"TN",15.9,9.2,27.2,22.1,25.6,5,455
"TX",9.9,9.3,27.9,22.2,30.7,5,580
"UT",5.5,4.5,27.3,18.7,43.9,7.1,312
"VA",14.4,5.8,22.1,23.3,34.5,4.6,511
"VT",8,4.7,24.6,22.3,40.4,7.6,241
"WA",4.8,4.1,17.5,17.7,55.8,5.5,435
"WI",10.1,4,20.3,22.1,43.5,4.9,549
"WV",11.7,9.8,25.1,26.1,27.4,6,327
"WY",23.3,4.8,23.9,13.6,34.3,12.1,114
