In the last week, how closely did you personally follow the health recommendations listed below? - Disinfecting often-touched surfaces 
"","Not at all closely","Not very closely","Somewhat closely","Very closely","Error Margin","N"
"National",4.1,11.3,28.9,55.7,0.9,17958
"AK",8.9,12.8,39.5,38.8,12.9,103
"AL",3.5,12.7,28,55.8,7,352
"AR",4.8,15.3,27.6,52.2,7.3,296
"AZ",5.8,12.1,27.8,54.3,5.5,475
"CA",4.5,11.5,26.5,57.5,4.2,866
"CO",8.8,15.4,29.1,46.6,5.9,385
"CT",5.5,10.5,21.2,62.9,8.3,242
"DC",0,12.5,28.3,59.3,12.3,119
"DE",1.6,7.4,28.6,62.4,7.3,258
"FL",3,10.3,30.3,56.4,4.8,606
"GA",4,9.3,26.4,60.4,5.7,427
"HI",3.8,14.4,30.7,51.1,7.8,272
"IA",5.2,20.4,36.9,37.6,7.2,243
"ID",5,16,30.3,48.7,6.2,364
"IL",5.4,9.3,35.2,50.1,4.7,516
"IN",5.9,12.5,28.5,53.1,6.1,378
"KS",4.7,13.7,25.1,56.6,7.7,237
"KY",3.3,18.3,24.8,53.6,6.8,330
"LA",3.7,10.8,23.6,61.9,6.6,358
"MA",4.2,11,27.7,57.2,5.4,435
"MD",1.2,10.2,30.7,57.9,6,393
"ME",3.8,12.7,31.3,52.2,5.8,366
"MI",3,11,34.4,51.6,5.3,479
"MN",8,16.9,35.1,40.1,6.4,336
"MO",3.9,15.7,29.9,50.5,5.6,450
"MS",4.2,11.8,21.1,62.9,8.9,229
"MT",14.7,14.5,34.2,36.6,11.1,129
"NC",3.8,11.2,23.9,61.1,5.3,508
"ND",3.2,19,28.8,49,9.2,210
"NE",5,8.6,25.9,60.5,9.8,158
"NH",4,11.3,26.9,57.8,6,347
"NJ",2.9,8.9,28.7,59.5,4.7,524
"NM",5.3,6.3,34,54.3,11.2,163
"NV",2.7,8.8,27.9,60.7,7.4,280
"NY",3.1,10.2,25.9,60.8,4.6,613
"OH",5.5,9.4,36.6,48.5,5.3,477
"OK",4.8,8.6,34.3,52.4,7.4,282
"OR",6,11.2,31.4,51.5,5.5,412
"PA",3.6,12.9,30.2,53.3,4.6,540
"RI",2.9,10.7,19.8,66.6,8.7,176
"SC",4.1,10.4,26.2,59.2,6.2,345
"SD",7.5,21,25.1,46.4,9,178
"TN",2,7.3,29.1,61.6,5.7,388
"TX",3.8,10.1,28.7,57.5,4.9,617
"UT",1.6,14.8,30.9,52.8,8.2,271
"VA",3.5,10.2,25.5,60.8,5,454
"VT",4.9,10.1,30.2,54.8,8.9,163
"WA",4.2,13.1,29.9,52.8,5.1,491
"WI",5.8,11.5,34.8,47.8,5.9,415
"WV",5.2,6.8,27.9,60.1,9.2,195
"WY",10.9,20.6,27.4,41.1,11,107
