How concerned, if at all, do you currently feel about the following: - Family members getting coronavirus 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",8.2,13.4,33,43.1,2.3,0.9,17953
"AK",13.4,19.7,37.4,27.6,1.8,12.7,104
"AL",9.3,10.6,37.5,40.9,1.7,6.9,350
"AR",8.7,17.4,34.1,36.8,2.9,7.1,294
"AZ",9.6,12.4,30.3,44.4,3.4,5.5,471
"CA",6.9,13.4,33.5,43.4,2.8,4.2,865
"CO",11.8,14.4,35.6,35.9,2.3,5.6,384
"CT",7.8,6.1,29.4,56.1,0.7,8.5,241
"DC",3.3,5.7,35.5,51.5,4,12.5,119
"DE",5,14.1,31.2,48.4,1.3,7.4,263
"FL",10.1,12.4,32.9,42.1,2.5,4.8,602
"GA",7.5,13.4,35.7,40.7,2.7,5.8,428
"HI",8.2,12.8,29.6,46.3,3.2,7.8,272
"IA",7.3,17,35.3,38,2.5,7.3,242
"ID",14.8,18.2,29.2,36,1.8,5.9,365
"IL",8.4,16.8,33.8,38.3,2.6,4.6,513
"IN",8.2,16.1,34.9,36.4,4.4,5.9,373
"KS",5.4,19.9,33.7,39.5,1.5,7.6,234
"KY",6.2,14.6,37.1,41.5,0.6,6.7,329
"LA",8.5,11.4,28.9,48.2,2.9,6.8,358
"MA",4.1,10.5,30.2,54.1,1.1,5.4,434
"MD",4.1,12.7,34.7,45.7,2.7,6,394
"ME",7.7,15.4,35.5,37.5,3.9,5.6,369
"MI",9.1,12.5,31.7,44.9,1.7,5.2,480
"MN",10.5,11,33.2,44.2,1.1,6.5,337
"MO",10,16.6,35.5,35.6,2.2,5.3,454
"MS",8.6,16.9,25.1,47.1,2.3,9.2,229
"MT",15.3,19,41.7,22.2,1.7,11.3,130
"NC",8.3,14.3,32.7,42.7,1.9,5.4,506
"ND",10,11.1,37,36.7,5.2,8.9,208
"NE",9.5,15.7,29.6,44.1,1.1,10,157
"NH",6,12.1,37.7,42.6,1.7,6,350
"NJ",6.4,10.8,36.3,44.6,1.8,4.8,522
"NM",10.6,14.2,27.6,46.4,1.2,11.2,162
"NV",10.1,14.8,24.3,47.7,3.2,7.6,280
"NY",6.4,10.2,27.5,52.9,3,4.7,619
"OH",11.9,15,34.2,38.4,0.5,5.1,479
"OK",7.6,14.7,31.3,43.5,3,7.4,283
"OR",12.5,16.9,35.3,33.8,1.4,5.3,410
"PA",8.3,14.9,33.3,41.6,1.8,4.5,542
"RI",6.8,11.5,31.9,49.9,0,9.2,176
"SC",7.1,16.2,35.4,39,2.2,6.2,344
"SD",6.7,18.4,41.6,32.3,1,8.9,177
"TN",11.9,11.2,36.7,37.7,2.5,5.6,389
"TX",6.8,12.9,28.5,48.8,3,5,615
"UT",7.4,23,33.3,34.5,1.8,7.8,272
"VA",6.1,11,29.6,51,2.2,5.2,452
"VT",8.9,14,35.2,38.1,3.8,8.7,162
"WA",7.4,12.5,37.1,40.5,2.6,5,492
"WI",8.1,17.3,33.9,39.4,1.3,5.7,420
"WV",8,13.7,34.1,42.5,1.7,9.2,195
"WY",12.9,15.5,38.2,33.5,0,10.9,107
