How concerned, if at all, do you currently feel about the following: - Problems with your education or the education of your children 
"","Not at all concerned","Not very concerned","Somewhat concerned","Very concerned","Not applicable to me","Error Margin","N"
"National",9.2,9.7,17.9,19,44.1,0.9,17933
"AK",20.9,8.6,29,13.2,28.2,12,103
"AL",10,9.1,18.9,24.3,37.8,6.9,345
"AR",12,10.8,20.6,12.9,43.7,7.3,294
"AZ",7.9,7,17.8,17.1,50.2,5.6,470
"CA",8,9.9,19.5,20.6,41.9,4.2,866
"CO",12.1,9.8,19,14.5,44.6,5.8,388
"CT",4.8,10.8,15.3,24.6,44.6,8.6,240
"DC",12.3,13.7,17.2,20.7,36.1,12,120
"DE",8.7,6,16.7,18.4,50.1,7.4,260
"FL",11.6,8.5,18,17.1,44.8,4.9,599
"GA",11.5,8.9,18.3,22.6,38.7,5.7,428
"HI",10,8.3,15,21.6,45.2,7.8,270
"IA",10.3,12.2,14.1,16.8,46.6,7.5,238
"ID",9.1,8.2,19.6,16.9,46.1,6.1,367
"IL",9.2,10.9,17.8,18.5,43.6,4.7,514
"IN",8.2,8.9,16.5,16.4,50,6.2,373
"KS",9,14.2,22.3,15.1,39.4,7.6,236
"KY",9.1,8.2,22.2,15.8,44.6,6.8,325
"LA",9.6,9.9,14.6,21.1,44.9,6.8,358
"MA",5.4,9.1,20.6,19.2,45.6,5.4,435
"MD",6.7,8.3,18.5,23,43.5,6,396
"ME",6.8,8.8,14.9,12.7,56.7,5.7,369
"MI",6.2,8.6,19.9,16.1,49.3,5.3,482
"MN",7.8,8.6,13.4,14.9,55.3,6.5,337
"MO",12.1,9.6,18.9,13.6,45.9,5.5,452
"MS",12.9,10.7,14.3,22.8,39.2,9.1,227
"MT",11.5,20.5,9.9,10.2,47.9,11.5,130
"NC",8.6,8.9,15.7,21.1,45.7,5.4,511
"ND",17.8,11.5,13.1,7.7,49.9,9.3,208
"NE",14.7,15.4,13.7,12.8,43.4,10,156
"NH",4.5,10.2,17,15.1,53.3,6,347
"NJ",6.7,7.8,17.8,21.4,46.4,4.8,521
"NM",7.8,8.7,17.9,25.4,40.2,11.1,162
"NV",10.1,8,17,25,39.9,7.4,280
"NY",7,9.8,15.9,22.2,45.1,4.7,617
"OH",13.3,8,15.1,15.8,47.7,5.3,475
"OK",12.5,8.8,18.7,20.6,39.4,7.2,284
"OR",9.9,8.7,19.6,14.4,47.3,5.5,411
"PA",9,8.1,17.7,16.8,48.4,4.6,541
"RI",9.9,13.5,16,19,41.7,9.1,176
"SC",7.2,9.5,19.1,18.7,45.5,6.4,343
"SD",13.6,9,17.9,21.5,38,8.8,177
"TN",9.9,11.6,18.4,19.7,40.5,5.7,390
"TX",11.2,9.1,18.9,22.3,38.5,4.9,614
"UT",8.6,11.5,18.3,20.3,41.3,8.1,271
"VA",7.3,11.2,18.9,18.6,44,5.1,453
"VT",9.4,13.8,18.2,13.7,44.8,8.9,162
"WA",9,11.2,18.1,21.6,40,5,494
"WI",9.3,11.3,15.1,17.5,46.7,5.9,419
"WV",8.9,5.6,17,20.9,47.5,9.4,193
"WY",13.2,12.6,12.7,19.7,41.9,11.1,106
