In the last 24 hours, did you get any news or information related to the current coronavirus (COVID-19) outbreak from the following sources 
"","Friends and family","Radio news","Podcasts","Local television","Network television (e.g.  ABC, CBS, or NBC)","Cable television (e.g. CNN, Fox News, or MSNBC)","Late-night comedy shows (e.g. The Late Show with Stephen Colbert or The Daily Show)","Print newspapers (e.g. the New York Times or the Wall Street Journal print edition)","A news website or app (e.g. the New York Times or Fox News websites or apps)","A health website or app (e.g. WebMD)","A government website or app (e.g. CDC.gov)","An organization website or app (e.g. WHO.int)","A search engine website or app (e.g. Google, Bing)","A social media website or app (e.g. Facebook, Twitter, Snapchat)","Error Margin","N"
"National",46.4,19,6.3,50.3,42.8,34.3,8.4,10.1,27.3,9.7,17.6,7.3,19,37.7,0,1183
"AK",41.3,27,7.9,34.4,21.5,23.5,5.3,1.4,24.7,15,22,10.5,21.1,55,12.8,104
"AL",49.9,21.6,4.8,53.9,48.1,39.4,6.5,9.3,33.3,9.3,12,7.1,20.7,41.1,7,356
"AR",40.5,18.5,4,53.2,37.3,25.9,5.9,4.4,26.1,10,16.4,4.9,22.4,41.8,7.3,297
"AZ",50.3,20.4,5.1,48.2,38.1,34.3,6,9.3,27.2,11.4,21.1,8.6,19.4,38,5.5,477
"CA",43.4,19.8,6.9,47.1,45.7,35.1,8.6,11.2,27.1,10.2,18.5,8.7,21.5,38,4.2,877
"CO",41.3,18.9,9.4,41.5,35.6,27.5,10.5,9.4,26.4,7.5,14.6,8.5,12.9,33.3,5.8,390
"CT",45.6,21.2,6,55.8,46.2,42.6,13,12.6,27,12.8,13.3,6.7,25.7,38.1,8.6,243
"DC",53.5,16,11,41.3,44,38.2,8,9.5,30.3,11.5,27.7,9.9,33.7,42.3,12.5,120
"DE",44.8,13.4,5.7,47.4,45.6,45.1,5.8,10.1,26.7,5.6,13.8,4,19.7,33.3,7.4,263
"FL",45.2,19.3,6,53.2,43.1,41.1,8.8,13.3,24.6,11.4,14.1,7.7,14.3,37.2,4.8,607
"GA",46.3,18.7,4.7,47.4,40.4,37.8,7.5,8.9,27.9,9.3,15,7.3,17.1,40,5.8,433
"HI",45.9,26.5,5.7,60.6,38,34.3,11.9,14.3,27,6,17.2,6.9,24.7,38.5,7.8,272
"IA",47.7,17.5,7.5,50.7,41.2,29.1,7.5,7.9,26.6,9.1,16.4,7.7,16,40.3,7.5,244
"ID",46.1,16.8,6.2,45.2,39.3,24.3,8.1,8.8,32.2,7.5,14.6,4.6,17.5,36.4,6.1,370
