Thinking about how different people and groups are reacting to the coronavirus (COVID-19) outbreak, how would you say each of the following is reacting? - Ordinary people in your community 
"","Not taking the outbreak seriously enough","Reacting
about right","Overreacting to the outbreak","Error Margin","N"
"National",39,50.1,10.9,0.9,17769
"AK",32.6,52.7,14.8,13.2,103
"AL",46.6,42.9,10.6,7.1,344
"AR",46.6,39.1,14.2,7.3,293
"AZ",44.6,41.2,14.2,5.5,469
"CA",32.6,58.1,9.3,4.2,863
"CO",38.7,46.5,14.8,5.9,382
"CT",32.2,55.5,12.3,8.6,236
"DC",38.9,56,5.1,12.6,116
"DE",37.2,55.6,7.2,7.4,260
"FL",38.2,51.4,10.3,4.9,598
"GA",44.2,44.9,10.9,5.9,422
"HI",34.9,57.1,8,7.8,266
"IA",40.4,49,10.5,7.5,238
"ID",37.8,46.4,15.8,6.2,358
"IL",28.5,59.9,11.6,4.6,511
"IN",37.9,47.9,14.2,6.2,369
"KS",43.4,48.8,7.9,7.8,234
"KY",48.9,41,10.2,6.9,323
"LA",49.1,42.4,8.5,6.8,354
"MA",35.8,57,7.2,5.4,431
"MD",39.2,52.4,8.4,6,393
"ME",29.9,58.1,11.9,5.7,366
"MI",40.8,49.5,9.7,5.3,476
"MN",39.8,47.9,12.3,6.6,334
"MO",42.7,42.6,14.7,5.5,444
"MS",51.6,38.4,10,9.3,227
"MT",34.6,54,11.4,11.6,128
"NC",40,49.9,10.1,5.4,503
"ND",36.8,53.8,9.4,9.3,207
"NE",40.2,49.5,10.3,10,158
"NH",32.3,56.9,10.8,6,345
"NJ",32,58,10,4.7,521
"NM",36,47.3,16.7,11.4,160
"NV",40.9,45.7,13.4,7.5,277
"NY",35.2,57.3,7.5,4.7,613
"OH",38.1,46,15.8,5.3,473
"OK",48.2,37.3,14.5,7.4,281
"OR",34.1,52,13.9,5.5,409
"PA",36.3,53.4,10.3,4.6,540
"RI",37.2,54.3,8.5,9.2,174
"SC",44,44.8,11.3,6.4,336
"SD",34.3,52.1,13.6,9.1,174
"TN",46.6,43.5,9.9,5.8,385
"TX",46.5,42.9,10.6,5,601
"UT",39.7,46.5,13.8,8.2,269
"VA",37.5,50.7,11.8,5.2,449
"VT",26.5,67.6,5.9,8.4,160
"WA",33.6,53.5,12.8,5.1,486
"WI",40.5,48.5,11,5.9,414
"WV",47.6,44.6,7.9,9.4,191
"WY",28.3,62.5,9.2,10.9,105
