How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Joe Biden 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",26.4,25.5,34.3,13.8,0.9,17936
"AK",37.9,22.8,25.6,13.7,12.7,104
"AL",36.9,21.4,30,11.7,6.8,353
"AR",34.2,25.6,29.5,10.7,6.9,294
"AZ",26.8,20.8,40.2,12.2,5.4,476
"CA",19.6,25.9,38.2,16.3,4.1,866
"CO",27.2,27.9,31.6,13.3,5.5,385
"CT",32.6,23.1,33.5,10.8,8.1,241
"DC",11.7,26.9,36.1,25.3,12,120
"DE",25.6,20,32.2,22.2,6.9,262
"FL",27.1,21.3,33.6,18,4.6,602
"GA",25.2,24.6,35.6,14.5,5.6,428
"HI",25.3,27.8,39.7,7.2,7.7,271
"IA",23.3,33.8,27.6,15.3,7.1,240
"ID",39.6,25.5,25.7,9.3,6,368
"IL",23.9,24.8,37.1,14.3,4.6,512
"IN",28.7,27.7,35.3,8.3,5.9,376
"KS",30.2,22.7,33.2,13.9,7.3,236
"KY",27.4,34.6,29.1,8.8,6.5,328
"LA",31.6,21.9,37.2,9.4,6.6,358
"MA",16.8,25.6,41.1,16.5,5.4,436
"MD",19.3,24.6,38,18,5.9,392
"ME",28.7,28.6,33.9,8.9,5.5,369
"MI",22,29,33.8,15.2,5,477
"MN",22.9,32.8,35,9.3,6.3,332
"MO",33.7,26.1,29.7,10.5,5.3,441
"MS",32.2,15.2,33.6,19,8.7,227
"MT",41.7,21.7,30.3,6.3,11.3,130
"NC",26.9,26,32.4,14.6,5.1,508
"ND",34.6,28.5,31,5.9,8.8,210
"NE",31,25.7,27.2,16.1,9.3,157
"NH",22.6,25.6,37.4,14.3,5.8,349
"NJ",22.1,25.9,35.1,16.9,4.6,523
"NM",21.3,26,40.2,12.5,11.1,162
"NV",27.5,22.8,37.2,12.5,7.3,279
"NY",19.6,18.9,41.6,19.8,4.7,612
"OH",28.1,29.1,29.6,13.2,4.8,475
"OK",34.7,25.8,30,9.5,7,285
"OR",26.4,27,33,13.6,5.2,411
"PA",27.9,27.7,32.5,11.8,4.3,540
"RI",21.9,29.6,41.3,7.1,9.1,176
"SC",30.6,27.9,32.4,9.1,6,344
"SD",34.9,28.7,24.8,11.6,8.6,177
"TN",31.6,27.1,30.6,10.7,5.4,389
"TX",24.6,24.1,38.2,13.1,4.9,616
"UT",34,29.6,29.5,6.9,7.7,272
"VA",27.3,21.4,39.4,11.9,5,454
"VT",21.2,27.1,41.3,10.4,8.8,163
"WA",21.5,25.7,38.8,13.9,5,491
"WI",27.6,26.1,36.1,10.2,5.6,418
"WV",37.7,24,23.9,14.4,9.1,194
"WY",34.9,29,25.3,10.8,10.7,107
