How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The CDC (Centers for Disease Control and Prevention) 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",5.7,12,41.7,40.6,0.9,17958
"AK",8,25.1,26.7,40.2,12.9,104
"AL",10.8,12.2,41.8,35.2,6.9,354
"AR",8.9,14.5,43.1,33.5,7.2,294
"AZ",5.5,13.3,39.2,42,5.5,475
"CA",4.3,12,41.2,42.4,4.2,866
"CO",6.3,14.2,42.1,37.4,5.8,387
"CT",9.9,11.1,40.8,38.2,8.4,241
"DC",4.9,4.2,34.8,56.1,12.4,120
"DE",6.3,11.5,43.6,38.6,7.3,262
"FL",4.4,14.1,42.5,39,4.8,604
"GA",6.1,10.7,42.6,40.6,5.8,428
"HI",6.7,10.6,45.8,36.9,7.8,271
"IA",4.6,11.2,39.5,44.7,7.5,241
"ID",8.4,13.8,41.9,36,6.1,364
"IL",5.1,11.3,41.4,42.1,4.7,512
"IN",7,14.2,38.2,40.7,6,375
"KS",5.6,10.5,41.2,42.7,7.7,236
"KY",7.9,12.1,45,35.1,6.8,331
"LA",4.7,12,51.2,32.1,6.8,358
"MA",3.9,9.1,40.3,46.7,5.4,435
"MD",3.7,8.6,41,46.7,6,394
"ME",5.2,9,42.8,43.1,5.7,369
"MI",3.4,13.4,41.3,42,5.2,478
"MN",5.7,13.8,33.1,47.4,6.6,332
"MO",5.4,13.4,42.8,38.3,5.5,444
"MS",9.3,12.9,34,43.8,9.2,228
"MT",9.4,15.4,32.5,42.6,11.4,130
"NC",4.7,13.5,44,37.8,5.4,509
"ND",6.1,11,42.3,40.6,9.1,210
"NE",5.2,7.1,40,47.7,10,158
"NH",6.7,6.3,42.9,44.1,6,350
"NJ",3.7,13.1,45.5,37.8,4.8,525
"NM",7.8,10.8,40.8,40.7,11.1,163
"NV",5.2,13.9,38.5,42.4,7.5,279
"NY",5,10.4,43.6,41,4.7,615
"OH",10.2,13.7,35.4,40.7,5.2,478
"OK",10,13.8,39.3,36.9,7.2,285
"OR",6.2,11,41.6,41.2,5.4,409
"PA",7.5,11.6,42.6,38.4,4.6,539
"RI",1.2,9.7,42.2,46.9,9.2,178
"SC",4.2,14.8,49.2,31.9,6.3,346
"SD",6.1,10.6,42.4,40.9,8.9,177
"TN",7.5,12.2,41.5,38.8,5.7,386
"TX",3.2,11.3,46.3,39.2,5,619
"UT",6.5,11.1,41.6,40.8,8.1,272
"VA",6.8,11.2,42,40,5.1,454
"VT",3.3,4.8,42.7,49.2,8.9,162
"WA",5.5,13.2,42,39.3,5.1,491
"WI",5.4,12.8,38.8,43,5.8,419
"WV",4.6,12.2,49.1,34,9.4,194
"WY",10.7,15.1,29.1,45.1,11.1,107
