How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - Pharmaceutical companies 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",8.3,22.2,46,23.5,0.9,17975
"AK",11.8,25.8,39.4,22.9,12.8,104
"AL",8.3,24.2,43.7,23.8,7,352
"AR",10.1,18,51.4,20.5,7.3,296
"AZ",11.5,19.6,46.5,22.4,5.5,476
"CA",7.1,21.1,47.7,24.1,4.2,868
"CO",9.3,27.9,43.7,19,5.8,388
"CT",12.8,26.3,41.2,19.8,8.5,240
"DC",7,21.2,38.2,33.7,12.1,120
"DE",6.1,16.1,52.4,25.5,7.4,260
"FL",6.4,19.1,47.2,27.3,4.9,601
"GA",6.2,23,45.4,25.4,5.8,426
"HI",7.9,23.6,45.7,22.8,7.8,272
"IA",11.3,25.9,48.3,14.6,7.5,243
"ID",14,23.3,39.9,22.8,6,368
"IL",8,25.1,42.3,24.7,4.7,513
"IN",5.9,25,46.1,23,6.1,377
"KS",10.3,21.9,43,24.8,7.7,236
"KY",9.2,24,47.2,19.6,6.8,330
"LA",8.8,16.4,51.8,23,6.8,359
"MA",6.5,19.8,48.5,25.2,5.5,434
"MD",6.8,26.2,44.5,22.4,6,396
"ME",9.8,26.5,45.7,17.9,5.8,366
"MI",8.5,22.4,46.8,22.3,5.3,476
"MN",8.8,25.8,42.5,22.9,6.5,336
"MO",11,24.7,42.2,22.1,5.5,447
"MS",11.5,21,45.2,22.3,9.2,229
"MT",9.9,22.7,53.3,14.1,11.5,130
"NC",7.1,21.5,47.3,24.1,5.4,508
"ND",9.2,18.8,51.6,20.4,9.2,210
"NE",14.6,18.4,43.5,23.4,9.9,157
"NH",9.2,23.5,48.6,18.7,6,350
"NJ",4.6,22.4,47.7,25.2,4.8,526
"NM",6.7,29.1,43.4,20.8,11.2,163
"NV",10.5,23.2,41.2,25.2,7.4,281
"NY",4.8,18.7,45.9,30.6,4.7,617
"OH",9.3,23.5,46,21.3,5.3,475
"OK",11.8,27.1,42,19.1,7.3,287
"OR",10.2,30.6,40.6,18.6,5.4,411
"PA",7.8,20.7,46.2,25.3,4.6,543
"RI",10.2,25.9,45.3,18.7,9.1,178
"SC",7.5,23.9,52.1,16.4,6.3,346
"SD",9.2,24.4,47,19.4,9,177
"TN",9.6,21.8,44.4,24.1,5.8,390
"TX",7.9,18.7,52.3,21,5,615
"UT",12.5,24.7,38.1,24.8,7.9,273
"VA",6.9,18.7,45.6,28.8,5.1,452
"VT",10.2,31.2,42,16.6,8.9,162
"WA",9.8,28.1,40.8,21.4,5,493
"WI",10,24.8,47.6,17.6,5.9,418
"WV",5.5,19.4,50.3,24.7,9.3,195
"WY",9.8,34.8,33.3,22,10.7,105
