How much do you trust the following people and organizations to do the right thing to best handle the current coronavirus (COVID-19) outbreak? - The police 
"","Not at all","Not too much","Some","A lot","Error Margin","N"
"National",9.6,20.1,46.7,23.7,0.9,17974
"AK",8.2,20.6,48.1,23.2,13.1,104
"AL",8.7,23.8,44,23.5,7,353
"AR",11.4,28,42.1,18.5,7.2,295
"AZ",8.1,17.9,49.4,24.6,5.5,477
"CA",9,23.3,45.6,22.1,4.2,870
"CO",7.5,19.5,49.4,23.7,5.9,388
"CT",11.8,16.6,41,30.6,8.4,241
"DC",8.3,31,39.3,21.4,12.2,119
"DE",9.8,22.7,42.1,25.4,7.3,261
"FL",7.7,18.4,47.9,26.1,4.9,602
"GA",11.9,21.1,44.9,22.1,5.8,428
"HI",7.7,15.7,53.1,23.5,7.8,271
"IA",11,22.7,43,23.3,7.4,242
"ID",7.9,16.7,49.6,25.8,6.1,366
"IL",9.5,20,43.1,27.5,4.7,511
"IN",9.8,24,44.1,22.1,6.1,374
"KS",9,19.9,45.1,26.1,7.7,236
"KY",9.4,16.9,53.8,19.9,6.8,327
"LA",14.7,14,48,23.4,6.8,359
"MA",5.8,18,45.8,30.4,5.4,435
"MD",12.8,20.4,47.1,19.7,6,395
"ME",5.8,19.2,50.3,24.7,5.8,368
"MI",10.9,18.4,49.1,21.7,5.3,479
"MN",12.9,17.2,44,25.8,6.5,336
"MO",10.1,23.2,43.2,23.5,5.5,447
"MS",9.3,24.8,45.3,20.6,9.2,229
"MT",5.7,17.1,53.1,24.1,11.5,130
"NC",10.2,17,49.4,23.3,5.4,508
"ND",5.7,16,47.1,31.2,9.2,210
"NE",13.2,15.2,44.7,26.9,9.9,158
"NH",5.5,17.1,50.4,27.1,6,349
"NJ",8.1,18.1,48.5,25.3,4.8,527
"NM",13.9,18.2,52.1,15.8,11.2,163
"NV",11.2,19.4,43.6,25.9,7.5,280
"NY",7.7,15,50.9,26.4,4.7,618
"OH",13,18.9,46.1,22,5.2,476
"OK",11.2,25.3,47.7,15.7,7.4,286
"OR",9.4,23.5,43.6,23.4,5.4,411
"PA",8.3,19.5,48.8,23.4,4.6,543
"RI",8.4,21.9,46.3,23.4,9.2,177
"SC",9.7,21.1,47.9,21.2,6.3,346
"SD",6.9,16.7,54.2,22.1,9,177
"TN",10.1,17.8,44.3,27.8,5.8,388
"TX",5.7,22.3,48.4,23.6,5,614
"UT",10.2,19.5,43.3,27.1,8.1,272
"VA",11,23.1,42.8,23.1,5.1,453
"VT",8.3,14.3,55.9,21.5,8.9,163
"WA",9.8,20.9,48.7,20.6,5.1,493
"WI",9.2,22.3,49.2,19.4,5.9,417
"WV",7.9,24.9,45.3,21.9,9.3,195
"WY",13.6,15.7,42.1,28.6,11,107
