In the last 24 hours, how many people who are not part of your household did you meet face-to-face? 
"","0","1","2","3","4-9",">9","Error Margin","N"
"AK",25.2,9.5,18.1,9.2,20.1,17.9,11.4,104
"AL",29.8,10.4,14.2,11.6,21.2,12.9,6.4,355
"AR",27.5,9.9,19.8,9.7,16.9,16.2,6.5,296
"AZ",37.9,11.6,14.9,8.1,19.1,8.5,5.4,477
"CA",41.2,14.8,13.6,10.3,13.9,6.3,4.1,875
"CO",33.6,13.8,15.4,9.1,16.3,11.8,5.5,388
"CT",38.6,14.5,13,9.3,19.1,5.5,8.3,242
"DC",37.9,23.1,15.8,9.8,8.4,5,12.1,119
"DE",41,19.3,14.8,5.4,13.2,6.4,7.3,261
"FL",33.1,14.5,14,7.2,18,13.2,4.6,604
"GA",36.2,13.2,14.2,7.5,18.7,10.2,5.6,430
"HI",28.4,11.6,15.9,10,23.5,10.6,7.1,271
"IA",29.5,9.9,13.1,7.9,25.4,14.1,6.8,241
"ID",29.2,9.4,11.4,8.7,25.2,16.2,5.6,367
"IL",36.5,13.8,13.5,9.5,20.1,6.7,4.5,517
"IN",31.5,11.9,14.1,8.7,17.9,15.8,5.7,378
"KS",31.8,11.8,16.7,10.3,15.1,14.3,7.2,238
"KY",30.2,11.4,15.7,9.8,18.7,14.2,6.2,331
"LA",31.1,15.6,13.2,8.5,17.8,13.9,6.3,360
"MA",35.5,13.2,17.1,7.5,18.8,7.9,5.2,436
"MD",36.6,17.7,13.9,8.2,17.6,6,5.8,396
"ME",27.5,15.8,16.3,10.8,19.2,10.5,5.2,369
"MI",34,15.2,12.8,10.2,18,9.7,5,481
"MN",30.7,10.8,17.7,8.5,22,10.3,6.1,335
"MO",31.8,10.4,13.7,8.5,21.4,14.2,5.2,454
"MS",28.6,14.6,17.1,5.1,19.7,14.9,8.3,229
"MT",19.3,12,15.5,8,24.7,20.5,9.9,130
"NC",33.9,13.3,15.6,10.2,14.2,12.7,5.2,505
"ND",28.5,12.8,14.4,6.6,23.8,13.9,8.3,212
"NE",30.2,20.1,14.4,7.7,14.7,13,9.1,159
"NH",35.3,10.7,18.1,7.3,18.7,9.9,5.8,351
"NJ",41.1,14.1,12.8,8.2,15.9,7.9,4.7,524
"NM",34.4,16.9,11.5,11.4,18.8,6.9,10.7,163
"NV",44.6,12.5,11.7,9.3,13,8.9,7.5,281
"NY",43.6,12.1,16.1,7.5,14.7,6,4.7,618
"OH",33.7,12.4,11.3,11.5,18.3,12.7,5,477
"OK",29.9,12.5,14.9,7.2,16.7,18.8,6.8,286
"OR",28.1,10.4,14.6,10.5,22.8,13.7,4.9,411
"PA",33.1,13.9,12.6,7.4,20.8,12.2,4.3,542
"RI",39.9,11.2,7.6,8.2,25.2,7.9,9,178
"SC",26.6,14.1,14.4,8.5,22.8,13.6,5.6,346
"SD",28.2,14.1,13,8.7,18.1,17.9,8.1,178
"TN",33.6,12.9,14.5,9.2,16.9,12.8,5.5,390
"TX",39.2,9.1,15.2,11.5,15.7,9.3,4.9,619
"UT",29,10.5,17.4,9.4,20.2,13.6,7.4,273
"VA",35.9,12.7,14.8,8.9,20.3,7.4,4.9,455
"VT",29.1,16.1,21.1,7.3,16.6,9.7,8.1,162
"WA",40.1,16,13.9,8,13.4,8.6,5,494
"WI",26.8,9.8,17.6,13,19.9,12.9,5.2,419
"WV",33.8,9.9,11.2,12.8,17.3,15,8.9,193
"WY",34.1,8.3,7.1,11.2,20.9,18.4,10.5,108
