How soon after your state government lifts stay-at-home restrictions and permits businesses to open would you go shopping at a retail store? 
""," Immediately","One to two weeks","Two weeks to one month","More than one month","Will try to avoid these businesses as long as possible","Depends","Error Margin","N"
"National",17.9,17.1,16.3,11.1,23.2,14.3,0.8,18055
"AK",30.3,15.9,15,5.7,10.9,22.2,12.1,103
"AL",22.6,18,13.8,7.5,21.4,16.6,5.8,355
"AR",27.4,18.5,10.7,6.3,24.2,12.9,6.5,297
"AZ",16.3,16.8,13.6,12,26,15.3,4.9,477
"CA",16.6,17.3,16,12.6,24,13.5,3.6,874
"CO",18.4,19.8,12.7,11.7,24,13.4,5,387
"CT",13.6,13.5,21,17.1,22.1,12.8,7.1,241
"DC",14.8,11.6,21.4,13.3,20.1,18.7,10.2,120
"DE",17.8,20.1,14.8,14.7,21.5,11.2,6.1,262
"FL",17.1,18.9,16.8,14.4,20.6,12.2,3.9,606
"GA",16,15.2,13.3,14.1,27.3,14.1,5.2,431
"HI",17.7,14.5,18,10.4,18.7,20.7,6.3,272
"IA",22.5,16,12,13,23.2,13.4,6.3,242
"ID",28.7,17,12.4,6.1,17.2,18.6,5.5,369
"IL",22.1,15.1,18.6,13.8,18.4,12.2,3.9,520
"IN",21.9,19.7,13.5,9.4,20.9,14.6,5.1,378
"KS",16.7,18.7,19.1,12.6,17.7,15.2,6.1,236
"KY",17.5,16.2,18.7,7.2,24.5,15.8,5.8,331
"LA",16.7,14.8,19.9,11,24.1,13.6,5.8,360
"MA",12.4,18.6,20.7,11.5,23.2,13.5,4.6,436
"MD",13.5,17.1,17.5,10.5,24.2,17.2,5.2,399
"ME",24.6,20.1,15.8,8.5,18.6,12.3,5,369
"MI",18.6,14.3,17.7,11.3,21.1,16.9,4.3,481
"MN",19.9,16.1,12.1,11.4,24.9,15.6,5.7,337
"MO",19.5,18.8,13.4,8.2,22.7,17.3,4.7,451
"MS",14.1,13.6,14.4,11.8,30.3,15.9,8.4,230
"MT",25.2,28.8,8.4,12.1,9.7,15.9,10.4,130
"NC",16,13.1,17.8,11,29.2,12.8,4.9,510
"ND",23.1,15.3,15.6,8,21.3,16.8,7.7,212
"NE",21.1,15.8,13.5,3.1,28.4,18,9,159
"NH",14,16.6,15.3,9.6,28.9,15.7,5.5,350
"NJ",11.5,17.9,18.8,17.1,24.9,9.8,4.1,528
"NM",18.9,20.8,22,5.4,15.3,17.6,9.3,162
"NV",22.3,11.8,21.5,8.3,23.1,13,6.4,280
"NY",13.8,17.9,19.9,12.2,24.2,12,4,618
"OH",20,19.1,14.4,12.1,20.9,13.5,4.3,479
"OK",25.3,13.3,17.6,11.2,17.2,15.3,6.4,287
"OR",23.3,17.3,14.7,8,20.6,16.1,4.6,411
"PA",19.1,19.6,16.6,13.3,19.9,11.5,3.7,544
"RI",11.6,13.6,13,14.4,25.5,21.9,8,178
"SC",19,16.8,13.7,8.2,27,15.3,5.6,346
"SD",22.2,20.7,12.4,8.9,25.2,10.6,7.8,178
"TN",20.4,13.9,17.6,10.2,25.7,12.2,5.1,389
"TX",13.8,14.9,16,9.8,31.2,14.2,4.6,621
"UT",22.6,24,12,6.4,21.1,13.9,7,273
"VA",17.2,16.6,18.1,10.7,23.6,13.7,4.4,455
"VT",19.3,23.4,10.1,10.6,18.2,18.3,7.6,163
"WA",17.5,17.9,14.9,10.8,23.8,15.1,4.3,495
"WI",16.6,20.3,16.4,8.5,22.1,16.3,4.9,420
"WV",20.9,16.2,17.1,4.7,25.2,15.9,8.1,196
"WY",33.8,13.1,12.4,6.8,15.2,18.7,10.6,107
