How soon after your state government lifts stay-at-home restrictions and permits businesses to open would you go to a dine-in restaurant? 
""," Immediately","One to two weeks","Two weeks to one month","More than one month","Will try to avoid these businesses as long as possible","Depends","Error Margin","N"
"National",13.2,12.4,13.4,17.3,30.8,12.8,0.9,18033
"AK",23.9,17.8,6.9,10.3,23.3,17.8,11.2,104
"AL",18.3,14.8,11.3,13.3,29.2,13.1,6.4,355
"AR",19.3,16,12.2,10.7,28.9,12.9,6.6,297
"AZ",13.4,12.4,11.7,16.3,34.9,11.3,5.3,476
"CA",11.6,13.7,12.7,20.2,30,11.8,3.9,874
"CO",15.1,13.8,11.7,16.1,32.1,11.2,5.5,387
"CT",9.7,8.4,16,23.7,33.8,8.5,8.1,241
"DC",8.8,12.4,15.6,16.2,23.8,23.3,10.7,119
"DE",12.4,9.2,14.8,25.1,30.4,8.2,6.8,262
"FL",11.8,13.6,15,20.5,28.8,10.3,4.4,604
"GA",12.4,10.7,11.6,20.2,32.4,12.7,5.5,431
"HI",10,15.8,14.1,15.3,26.6,18.1,6.9,272
"IA",14.6,10.1,14.8,14.9,30.5,15.1,6.9,243
"ID",23.5,14.6,9.3,12.1,24.5,16.1,5.3,367
"IL",16.7,12.9,15.1,20,24.4,10.8,4,517
"IN",18.6,14,12.8,15.8,25.9,12.9,5.4,378
"KS",15.2,13.1,16.9,18.6,26.4,9.8,6.9,235
"KY",9.8,16.4,16.4,15.8,27.9,13.6,6.1,331
"LA",13.3,9.9,13.2,19,32.8,11.8,6.4,360
"MA",8,13,12.7,20.1,33.6,12.6,5.2,435
"MD",9.4,6.5,14,20,35.2,14.9,5.8,397
"ME",16.4,11.2,13.2,15.9,31.4,11.8,5.4,369
"MI",11.6,11,14.7,15.5,32.7,14.6,4.9,481
"MN",13.5,12.8,10.3,14.2,35.7,13.5,6.3,337
"MO",15.9,11.9,10.2,16,31.2,14.6,5.2,452
"MS",12.3,12.3,11.2,14.3,34.7,15.2,8.7,230
"MT",23,20.1,6.7,17.6,15.2,17.5,9.7,129
"NC",10.6,10.9,16.2,19.1,32.8,10.4,5.1,510
"ND",20.6,13.9,16.8,7.5,23,18.1,7.7,212
"NE",13,12.6,8.3,13.1,36.8,16.2,9.6,159
"NH",7.3,13.6,12.1,17.5,35.7,13.7,5.8,349
"NJ",7.2,13.2,12.3,22.8,33,11.5,4.5,526
"NM",7.1,23.3,12.3,20.1,20,17.2,9.5,163
"NV",20.7,9.5,10.5,17.6,29,12.8,6.9,280
"NY",10,10.7,15.8,20.1,31.1,12.3,4.4,616
"OH",14,10.2,15.1,15.7,30.4,14.7,4.8,478
"OK",15.9,15.3,10.4,17.4,26.4,14.5,6.5,287
"OR",18.1,11.7,13.8,18.1,25.1,13.3,4.8,411
"PA",13.1,11.2,16.5,19.5,28.9,10.8,4.2,543
"RI",8.8,6.2,13.2,19.1,37.3,15.4,8.9,178
"SC",16.2,9.2,11.2,15.1,34.8,13.4,6.1,345
"SD",14.8,8.3,17,15.5,31.6,12.9,8.4,178
"TN",19.1,12,13.1,13.1,29.7,13,5.3,390
"TX",11.4,11.9,13,14.5,39.5,9.6,4.9,619
"UT",18,19.2,11.4,14.8,22.3,14.3,6.8,273
"VA",12.2,13.1,14.7,18.8,29.9,11.4,4.7,454
"VT",12.4,14,10.5,18.4,32.1,12.6,8.3,163
"WA",15,11.7,13.1,16.6,26.3,17.3,4.5,494
"WI",12.9,11.1,11.6,17.3,30.5,16.6,5.4,419
"WV",16.2,13.7,13.4,10.3,28.7,17.6,8.4,196
"WY",18.9,10.3,15.2,9.9,31.6,14.2,10.4,107
