How soon after your state government lifts stay-at-home restrictions and permits businesses to open would you go use public transportation? 
""," Immediately","One to two weeks","Two weeks to one month","More than one month","Will try to avoid these businesses as long as possible","Depends","Error Margin","N"
"National",7.6,5.2,6.2,8.7,53,19.3,0.9,17988
"AK",15.2,2.6,4.1,9.4,38.6,30,12.8,103
"AL",8.7,5.4,5.4,4.8,55.2,20.6,6.9,355
"AR",9.6,6.3,3.6,6.2,53.6,20.7,7.3,296
"AZ",7.6,6.1,3.6,6.7,56.7,19.3,5.5,473
"CA",7.1,7.1,6.4,9.3,51.4,18.6,4.2,872
"CO",9.5,5.3,7.6,7.4,53.2,17,5.9,386
"CT",6.4,3.6,8.3,9,54,18.7,8.6,241
"DC",16.3,11.9,6.6,18.5,35,11.6,11.9,120
"DE",7.4,4,7.3,12.1,49.5,19.7,7.4,261
"FL",6.1,5.8,5.5,6.6,59,16.9,4.8,603
"GA",7.8,3.1,5,9.4,56.8,18,5.8,429
"HI",9.3,5.6,5.5,8.9,49.1,21.6,7.8,271
"IA",9.8,3.7,3.5,9.3,53.9,19.8,7.5,241
"ID",8.9,3.3,4.9,6.9,46.6,29.5,6.1,368
"IL",10.2,5.7,5.8,11,48.5,18.8,4.7,517
"IN",8.2,6.3,2.6,7.1,53.8,22,6.1,378
"KS",4,5.7,6.8,14.3,48.1,21.1,7.8,234
"KY",6.5,4,4,7.8,57.1,20.6,6.7,330
"LA",8.8,6.1,6.3,8.5,57.1,13.2,6.8,357
"MA",6.2,4.7,9.5,10.9,52.5,16.1,5.5,433
"MD",7.3,2.3,6.3,12.5,53.1,18.5,6,398
"ME",8.1,1.8,4.9,8.4,54.9,22,5.8,367
"MI",7.3,2.6,4.2,8.7,57.3,19.9,5.2,480
"MN",5.2,6.2,6.2,7.3,51.8,23.2,6.6,336
"MO",10.5,3.3,5.9,4.9,57,18.4,5.5,450
"MS",5.5,5.7,2.5,4.6,63.3,18.4,8.9,229
"MT",7.3,6.1,4.8,5.1,44.2,32.4,11.5,128
"NC",5.3,4.2,7.2,7.6,58.8,16.9,5.3,508
"ND",6,8.7,4,7.4,44.5,29.4,9.1,212
"NE",7.9,2.3,4.8,4.8,55.9,24.2,9.9,159
"NH",3.9,6.4,6.4,5.3,58.1,20.1,6,347
"NJ",7.2,5.1,8.5,12.9,47.9,18.5,4.8,529
"NM",11.2,3,4,8.8,42.5,30.4,11.2,162
"NV",10,3.2,4.4,7.8,48.4,26.2,7.6,280
"NY",8.5,9.8,8.2,14.2,45.1,14.2,4.7,618
"OH",9.1,3.4,5.1,6.7,54,21.7,5.2,477
"OK",5.8,4.3,8,6.8,57.1,18.1,7.3,287
"OR",11.5,1.6,6.5,11.4,48,21,5.5,409
"PA",6.9,4.7,5.6,10.6,52.1,20.1,4.6,541
"RI",5.9,1.3,3.4,5.4,63.2,20.7,8.9,176
"SC",4.6,3.5,2.5,4,65.3,20.1,6.1,344
"SD",7.4,4.1,3.1,10.1,54.8,20.5,9,177
"TN",6.9,4,8.2,7.8,52.2,20.8,5.8,387
"TX",5.9,5.9,5.3,7.7,58.2,17,4.9,618
"UT",10.8,7.1,6.9,7.2,46.4,21.5,8.1,273
"VA",6.2,4.7,7.5,9.3,51.5,20.9,5.2,454
"VT",7.6,6.3,0.6,10.1,56.4,19,8.9,162
"WA",8.6,2.8,8.1,9.4,52.2,19,5.1,491
"WI",7.1,4.2,4.8,5.7,57,21.3,5.8,419
"WV",6.9,6.2,5.1,5.3,53.2,23.3,9.3,195
"WY",7.1,5.1,2.6,4.7,57.3,23.2,11.1,107
